"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
181,MP08MH0181,JAJONE,1968,Local,Vidisha,TE,18.6,480,104,6880,,6330,I,108.67
182,MP08MH0182,KHURERA,1969,Local,Tikamgarh,TE,17.01,330,-,2666,1074,2398,I,122.86
183,MP08LH0183,MOONJWAR,1969,Local,Shivpuri,TE,13.71,810,-,5870,1403.92,5636,I,147.26
184,MP08MH0184,BURHA,1969,Local,Chhatarpur,TE,15.84,1410,146,10850,4391,10377,I,179
185,MP08MH0185,BHONHARI,1969,Local,Sagar,TE,16.46,767,-,886,-,781,I,30.47
186,MP08LH0186,KAKARHAI,1969,Local,Panna,TE,12.67,1440,-,618,-,564,I,29.73
187,MP08MH0187,KANHAIYA,1969,Local,Rewa,TE,15.52,1200,-,1037,-,975,I,84.6
188,MP08LH0188,PADAR,1969,Local,Rewa,TE,10.7,1509,-,1285,-,1200,I,1.88
189,MP08LH0189,BASIA FEEDER,1970,Local,Nowgaon,TE,11.79,1440,-,1054,-,979,I,38
190,MP08LH0190,MADAN SAGAR,1970,,,TE,10.6,1158,-,2580,,2440,I,234
191,MP08MH0191,VEER SAGAR,1970,Local,Tikamgarh,TE,26.83,420,-,26150,,14460,I,73.17
192,MP08LH0192,DHAMNOD NALLA,1971,Local,Barwaha,TE,11.27,1020,-,1238,470,1168,I,84.9
193,MP08LH0193,BANKUIYA,1971,Local,Rewa,TE,10.45,1320,-,1358,820,1288,I,0.2
194,MP08LH0194,CHHAYA SAGAR,1972,Local,Satna,TE,10.7,858,-,444,180,388,I,43
195,MP08LH0195,JAMUNIYA RAO,1972,Local,N'Garh,TE,10.05,1007.28,-,776,300,749,I,20
196,MP08MH0196,BAKIYA,1972,Local,Sidhi,TE,21,630,2920,3718,506,2478,I,110
197,MP08LH0197,KACHERI FEEDER,1972,Local,Nowgaon,TE,10.96,178,-,1105,523,975,I,56
198,MP08MH0198,VIRHANA,1972,Local,Satna,TE,18.3,762,-,3029,920,2879,I,75
199,MP08MH0199,MAUGANJ,1972,Local,Rewa,TE,17.72,1463,145,3819,1396,3400,I,0.76
200,MP08MH0200,BANCHOR,1972,Arialkha,Raisen,TE,19.65,310,400,7644,1635,7219,I,47
201,MP08MH0201,KULGARI,1972,Local,Satna,TE,18.59,1437,-,9400,1750,8761,I,121.09
202,MP08HH0202,BUDWA,1972,Local,Shahdol,TE,30.45,558,-,9220,2030,8610,I,101
203,MP08MH0203,CHHAPI,1972,Chhapi,Rajgarh,TE,17.08,1829,-,15740,4825,13540,I,1305
204,MP08HH0204,CHHILAR,1972,Chiller,Shajapur,TE,30.48,2866,683,34790,8460,31110,I,686.57
205,MP08LH0205,DHARAM SAGAR,1972,Local,Tikamgarh,TE,13.71,300,-,12090,-,11890,I,118.94
206,MP08LH0206,MAND,1972,Local,Mandla,T E,13.63,975,,1241,,1151,I,93
207,MP08MH0207,DADLA,1973,Local,Alirajpur,TE,15.06,285,-,1065,210,966,I,76.47
208,MP08MH0208,SARRO,1973,Local,Sidhi,TE,22.62,120,2600,2780,578,2600,I,24.78
209,MP08MH0209,AKHAJHIRI,1973,Local,Shivpuri,TE,15.4,2055,-,11710,4310,9870,I,268.68
210,MP08MH0210,KONCHA,1973,Local,Mungawali,TE,29.87,3169.93,-,21650,5380,18810,I,72920
