"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
331,GJ04MH0331,JOGPURA,1979,T- Narmada,Naswadi,TE,18.15,395,385.72,1881.4,3950,1791.3,I,160.6
332,GJ04HH0332,KADANA,1979,Mahi,Santrampur,PG,66,406,2040,1542000,16600,1203000,I & H,49497
333,GJ04MH0333,KHARIBERI TANK,1979,Localvangha,Vijaynagar,TE,16.5,689,35,1483,,1330,I,372
334,GJ04LH0334,LADOI,1979,Local Stream,Kalavad,TE,13,1765,,890,,890,I,190
335,GJ04MH0335,MACHHALIWAD,1979,Local Stream,Kalavad !,TE,16,962,,1237,,790,I,573
336,GJ04MH0336,PHOPHAL I,1979,Phopal,Jamkandorna,TE/PG,27.43,3770,,51820,30650,48820,I & S,4151
337,GJ04MH0337,UMRAPAR,1979,Local River,Bhuj,TE,27.05,1104,1070,1020,,1020,I,244
338,GJ04MH0338,BANDRA,1980,Local Stream,Bhuj,TE,16,388,,270,,224,I,116
339,GJ04MH0339,BHANDARIA,1980,Local Stream,Palitana,TE,17.5,340,,1480,,1360,I,210
340,GJ04MH0340,BHEMPURA,1980,Local Vangha,Malpur,TE,15.5,830,95,1110,,960,I,125
341,GJ04MH0341,BODI,1980,Local Vangha,Moidasa,TE,15,240,800,174,,174,I,60
342,GJ04MH0342,CHHAPARVADI-II,1980,Chhaparwadi,Jetpur,TE/PG,24.09,471,95,18880,1870,16760,I,6219
343,GJ04MH0343,GUGARIYANA,1980,Local River,Nakhatrana,TE,24.56,289.63,210,570,,570,I,157
344,GJ04LH0344,HADMATIA,1980,T/Sipu,Dhanera,TE,13.5,1042,147,3567,,2948,I,770
345,GJ04LH0345,JAGEDI,1980,Local Voklo,Jamngar,TE,12.3,70,,2160,,1840,I,430.97
346,GJ04MH0346,JAMLI,1980,T- Narmada,Chhotaudepur,TE,16,322,268.47,2153,470,2080,I,153.23
347,GJ04MH0347,JESOLA KAMALPUR,1980,Kotar,Lunawada,TE,25,165,248.53,1347,4000,1067,I,203
348,GJ04MH0348,KALIAKOTA,1980,River,Limkheda,TE,16,242,108.41,938,205,745,I,127
349,GJ04MH0349,MACHHUNDRI,1980,Machhundri,Una,TE,22.3,2077,2601.86,11440,,11440,I,5506
350,GJ04MH0350,MOTAKOTADA,1980,Local Vangha,Himmatnagar,TE,18,695,37,3269,,3069,I,326
351,GJ04LH0351,NALEJ,1980,T- Narmada,Chhotaudepur,TE,13.44,1344,601.68,2700,815.4,2600,I,280
352,GJ04MH0352,RAJAWAL,1980,Rajawal,Palitana,TE,19.38,3570,460,28210,8160,25840,I,4294
353,GJ04MH0353,RAMI,1980,Rami,Kawant,TE,26.52,510,6610,7080,1307,6610,I,659
354,GJ04LH0354,RATNAL,1980,Local Stream,Anjar,TE,14.6,1005,192.32,1670,250.63,1320,I,442.02
355,GJ04HH0355,RAVAL II,1980,Raval,Una,PG,53,940,1164,26730,2460,2400,I,5138
356,GJ04MH0356,RAVATSAGAR,1980,Local Kotar,Chhotaudepur,TE,20,1270,,2709,,2600,I,200
357,GJ04MH0357,SANOSARA,1980,T/Kankawati,Kachchh,TE,15.36,962,569,1270,408,790,I,872
358,GJ04LH0358,SERAI,1980,Local Stream,Serai,TE,12.93,1109,585.38,3821,1657,3660,I,287.5
359,GJ04MH0359,SHINGODA,1980,Shingoda,Una,TE,16.91,1773,652.6,16200,5600,15600,I,3309
360,GJ04MH0360,VAIDY,1980,Suron,Meghraj,TE,19.1,1008,402,13600,4000,12270,I,1090
