Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1021,MH09LH1021,PIMPALGAON TAPPA,1984,Local Nallah,Pathardi,TE,12.55,539,,1040,460,,I,81
1022,MH09MH1022,VAIRAGWADI,1984,Local Nallah,Gadhinglaj,TE,20.34,845,143,1500,299,1250,I,96
1023,MH09LH1023,CHINCHALA,1984,Local Nallah,Umrer,TE,13.28,822,161,2236,64.85,2154,I,96.93
1024,MH09MH1024,ZAPADE,1984,Local Nallah,Lanja,TE,25.06,279,166,1670,243,1633,I/S,104
1025,MH09MH1025,KUDKI,1984,Local Nallah,Shrivardhan,TE,24.3,347,207.36,1875,219,1606,I,106
1026,MH09MH1026,VESRAF,1984,Rupani,Gaganbawada,TE,19.21,603,22,3370,27,3310,I,106
1027,MH09LH1027,RANWADI,1984,Local Nallah,Narkhed,TE,14.08,365,115,1620,38.81,1380,I,106.63
1028,MH09LH1028,DONGARGAON,1984,Local Nallah,A'bad,TE,11.7,923,82,704,32,625,I,162
1029,MH09LH1029,BABULGAON,1984,Local Nallah,A'bad,TE,12.15,720,68,740,82.1,664,I,165
1030,MH09MH1030,JATEGAON,1984,Local Nallah,Peth,TE,18.94,424,,1730,,1670,,167.21
1031,MH09LH1031,DHABA,1984,Local Nallah,Gadchiroli,TE,10.58,1440,153,2530,849,2430,I,172.6
1032,MH09LH1032,DEULGAON KUMBHEPAL,1984,Local Nallah,Deulgaon Raja,TE,13.36,990,193,2340,,1630,I,175
1033,MH09MH1033,CHINCHWAD,1984,Local Nallah,Mulshi,TE,20.92,610,154,1530,23,1450,I,187
1034,MH09MH1034,MALGAON CHINCHPADA,1984,Panchwad,Kalwan,TE,23.39,288,,2.82,,2.72,I,188
1035,MH09MH1035,EKLAHARE,1984,Local Nallah,Dindori,TE,17.4,510,,3540,,3470,,188
1036,MH09MH1036,JAMBHURDE,1984,Local Nallah,Murbad,TE,25,400,322,3060,390.4,3000,I,207
1037,MH09LH1037,CHABRA,1984,Local Nallah,Hadgaon,TE,14.86,680,178,1820,,1720,I,208
1038,MH09LH1038,MANDVI,1984,Local Nallah,Jintur,TE,13,908,,1721,,1655,I,212
1039,MH09LH1039,KAWAD,1984,Local Nallah,Jintur,TE,14.1,815,,1872,,1751,I,215
1040,MH09MH1040,VARANDH,1984,Local Nallah,Mahad,TE,26,506,232,2168,,2084,I,219
1041,MH09LH1041,JUJGAVAN,1984,Local Nallah,Beed,TE,12.8,776,,789,262,785,I,227
1042,MH09LH1042,CHARTHANA,1984,Local Nallah,Jintur,TE,12.8,780,,1966,,1839,I,232
1043,MH09MH1043,PATHAVE,1984,Hatti,Satana,TE,17,405,345,2340,299.6,1740,I,235.02
1044,MH09MH1044,PHANSAD,1984,Local Nallah,Murbad,TE,25.65,337,239,2358,,2265,I,240
1045,MH09MH1045,PIMPOLI,1984,Mula,Mulshi,TE,22.13,401,188,1530,300,1410,I,257
1046,MH09MH1046,BHOSHI,1984,Local Nallah,Jintur,TE,15.82,853,,2000,,1953,I,263
1047,MH09LH1047,PANDHARWADI,1984,Local Nallah,Nilanga,TE,12.65,120,,2486,888,2326,I,285
1048,MH09MH1048,GID,1984,Local Nallah,Manora,TE,16,420,97,1500,352,1340,I,289
1049,MH09LH1049,GARKHEDA,1984,Local Nallah,Pachora,TE,12.92,1860,116,1457,662,1248,I,298
1050,MH09MH1050,NHAVI,1984,Local Nallah,Kadegaon,TE,17.48,995,134,2190,47,2010,I,314
