"Sl
No","Project
Identification Code",Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
90,UP13LH0091,VIJAI PUR,1983,Local,Mirzapur,TE,14.3,570,,559,,,I,0.57
91,UP13MH0092,CHITTAURGARH,1985,Bharushan Nala,Gonda,TE,15.3,11000,192400,424750,920000,387940,I,807.29
92,UP13MH0093,DHEKWAN,1985,Phatidari Nala,Mirzapur,TE,20.85,1700,50000,9900,13500,8330,I,367.9
93,UP13LH0094,KHAPRAR,1985,Khaprar,Jhansi,TE,11.2,1100,,3500,15000,2980,I,267.3
94,UP13LH0095,DONGARI,1986,Pahuj,Jhansi,TE,13.72,2760,,9920,19200,8320,I,618
95,UP13HH0096,MEJA,1987,Belan,Mirzapur,TE,40,28.5,,303120,47400,267340,I,7648.73
96,UP13LH0097,KUBA KHURD,1988,Local,Mirzapur,TE,10.33,1675,,1201,,,I,0.85
97,UP13LH0098,NARSON,1988,Narson,Robertsganj,TE,14.33,2340,,2860,,,I,173.77
98,UP13MH0099,SAKTESH GARH,1989,Local,Robertsganj,TE,15.66,880,,3286,,2341,I,3.12
99,UP13LH0100,SEMRI,1989,Local,Mirzapur,TE,14.8,666,,1983,,,I,1.98
100,UP13LH0101,REXAHAW A,1990,Bakhar,Robertsganj,TE,10.79,690,,1700,,849,I,1.7
101,UP13MH0102,SAJNAM,1990,Sajnam,Jhansi,TE,22.34,5147,,83500,237500,74250,I,2000
102,UP13MH0103,BAJIA,1992,Local,Robertsganj,TE,15.45,710,,1546,,1429,I,2.55
103,UP13LH0104,BAKIA,1992,Local,Robertsganj,TE,13.72,570,,699,,,I,1.13
104,UP13LH0105,GOINTHA,1992,Local,Robertsganj,TE,13.55,500,,885,,,I,1.13
105,UP13LH0106,JHARIA,1992,Local,Robertsganj,TE,12.74,770,,715,,,I,1.13
106,UP13LH0107,KHAIRATIA,1992,Local,Robertsganj,TE,10.77,155,,2120,,1581,I,1.95
107,UP13LH0108,LODHIGHAT,1992,Local,Robertsganj,TE,10.66,750,,854,,,I,1.02
108,UP13MH0109,MUIRPUR,1992,Local,Robertsganj,TE,15.3,581,,1454,,1183,I,1.42
109,UP13LH0110,POKHAR,1992,Local,Robertsganj,TE,12,508,,1533,,1292,I,2.57
110,UP13MH0111,SHAHJAD,1992,Shahjad,Lalit Pur,TE,29,4160,2624,130000,299300,96060,I,4000
111,UP13MH0112,TANAKPUR,1992,Sarda,TanakPur,PG,26.3,475,,,2350,7200,I,19824
112,UP13MH0113,URMIL,1994,Urmil,Mahoba,TE,25.56,4700,,116600,250300,60310,I,5664
113,UP13MH0114,GUNTA,2003,Gunta nala,Chitrakoot,TE,28.5,5700,,28800,7142.95,24500,I,1064
114,UP13MH0115,MAUDAHA,2003,Birma,Mahoba,TE,22,3480,1554,200000,54390,179000,I,111328
115,UP13VH0116,VIRAT SAGAR,U/C,Dhasan,Mahoba,,180.5,1550,,,,,,
116,UP13MH0117,GHOGHWA,U/C,Local,Mirzapur,TE,16,520,,3596,,1100,I,253.82
117,UP13MH0118,JAMATHUA,U/C,Jamathua nala,Mirzapur,TE,20.2,600,,2125,,1889,I,186.56
118,UP13HH0119,KANHAR,U/C,Kanhar,Robertsganj,TE/ER/ PG,39.9,3240,6400,323450,,127540,I,9180
119,UP13MH0120,KUSANDA TANK,U/C,Baghalya,Allahabad,TE,18,513,196,396,,,I,190
