Sl    No,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
151,KA06MH0151,Suvarnavathy Dam,1984,Suvarnavathy,Chamarajanagar,"PG,TE",25.9,1170.4,97.62,35679,4910,35650,I,830
152,KA06HH0152,Taraka Dam,1984,Taraka,H.D.Kote,"PG,TE",37.49,1272.5,640.81,111567,10940,90754,I,1132.6
153,KA06MH0153,Upper Mullamari Dam,1984,Mullamri,Basava Kalyan,TE,28.4,810,489.15,21220,3942,18880,I,1053
154,KA06HH0154,Votehole Dam,1984,Votehole,Hassan,"PG,TE",44.48,900,656,42758,5940,38680,I,577.33
155,KA06HH0155,Chakra Dam,1985,Chakra,Shimoga,ER,84,570,2265,222600,11500,133000,H,440
156,KA06MH0156,Chiklihole Dam,1985,Chiklihole,Somavarapet,TE,25.3,464.8,285.33,5097,1072.4,4729,I,555
157,KA06MH0157,Devarabillikere Tank,1985,Shagalihalla & Sulekere,Davanagere,TE,17.4,1204,454.61,2619,6475,2358,I,1698.99
158,KA06MH0158,Hosahalli Tank,1985,K.K.Halla,Mysore,TE,16.76,868.68,436.84,3240,93070,2940,I,100.24
159,KA06MH0159,Upper Kaneri,1985,Kaneri,Dandeli,"PG, TE",27,146.35,24.7,16330,2490,16150,H,1954
160,KA06MH0160,Biggerahalla Tank,1986,Tungabhadra Basin,Tarikere,TE,15.16,450,53,630,1890,579,I,44.06
161,KA06LH0161,Dasanahalli Tank,1986,Krishna /T.Bhadra,Hadagali,TE,11.83,780,14196,1243,1630,1120,I,123.4
162,KA06MH0162,Dinshi Tank,1986,Dinshi Nala,Gulbarga,TE,17.1,360,151.5,930.7,180,835.7,I,40
163,KA06MH0163,Theetha Dam,1986,Jayamangali,Tumkur,"PG,TE",22,1017,252.5,6850,1530,6290,I,590
164,KA06MH0164,Dandiganahally Tank,1987,North Pennar,Gowribidanur,TE,20.92,337,95.43,3119,398,2898,I,116.14
165,KA06MH0165,Gantenahalli Tank,1987,Suvarnamuki SS VI,C.N.Halli,TE,22.25,1020,210,3990,1096,3600,I,585.58
166,KA06MH0166,Nallur Amanikere Dam,1987,Gundlu,Gundlupet,TE,15.04,1802,11.5,6541,1950,5890,I,1005
167,KA06MH0167,Soudagar Dam,1987,Soudagar Nala,Yadgir,TE,27.03,600,716.5,8120,1240,7410,I,217.31
168,KA06VH0168,Supa Dam,1987,Kali Nadi,Dandeli,PG,101,331.29,1020,4178000,129000,3758000,H,2825
169,KA06MH0169,Ankamanhal Tank,1988,Krishna /T.Bhadra,Sandur,TE,21.29,278,8516,1930,408.6,1722,I,102
170,KA06HH0170,Beeranahalli Tank,1988,Local / Mullamari (K-6),Bidar,TE,30.02,485,684,6931,650,5798,I,444
171,KA06MH0171,Bhopalgod Belkone,1988,"Local, Manjara, Godavari",Bidar,TE,19.72,602,156.2,2360,161.6,2158,I,92.2
172,KA06MH0172,Changliar Tank,1988,Local / Mullamari  (K-6),Bidar,TE,17.89,505,105.91,1797,358.4,1653,I,66.7
173,KA06HH0173,Hulical Forebay,1988,Hulicalnala,Shimoga,TE,42,412,745,15000,9060,8700,H,*
174,KA06HH0174,Mani,1988,Varahi,Shimoga,"PG,TE",59,580,1000,961750,56000,883810,H,2825
175,KA06LH0175,Aheri-jumbagi,1989,Aheri-jumbagi,Bijapur,PG.TE,10.59,1018,64,1799,670,1501.91,I,306
176,KA06MH0176,Alagapura Tank,1989,Cauvery Basin,Mysore,TE,16.85,645,754.33,1050,270,940,I,46.6
177,KA06MH0177,Asundinala Tank,1989,Local Nala,Ranebennur,TE,15.7,1595,332.43,5500,2267.2,4570,I,707.9
178,KA06LH0178,Bidi Tank,1989,Local Nala Krishna /,Khanapura,TE,11.67,580,58.28,1212.91,320,1050,I,41.78
179,KA06MH0179,Gopinatham Tank,1989,Cauvery Basin,Kollegala,TE,18.16,402,176.4,2180,450,1900,I,222
180,KA06LH0180,Hebbal Tank,1989,Local Nala Krishna /,Khanapur,TE,12.64,530,56.9,638.73,133.2,550,I,14.46
