Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1741,MH09LH1741,RITHIMOHARDA,UC,Local Nallah,Tiroda,TE,14,1125,176,1360,773,1720,I,249
1742,MH09MH1742,DAHE,UC,Local Nallah,Wada,TE,15.83,606,1669,,584,,I,253
1743,MH09LH1743,SHINGARKHEDA,UC,Local,Bhusawal,TE,13.84,1465,140,940,54,850,I,261
1744,MH09LH1744,HIPPARGA,UC,Local Nallah,Tuljapur,TE,12.27,850,,1710,542,1560,I,261
1745,MH09LH1745,HIVARSHINGA,UC,Local Nallah,Bateda,TE,13.75,1060,,1430,469,1280,I,262
1746,MH09MH1746,SONKUND,UC,Sonkund,Bhandara,TE,21.53,660,79.67,3280,1170,2350,I,267.7
1747,MH09LH1747,DAVAN HIPPARGA,UC,Local Nallah,do,TE,12.1,1535,,2300,777,2150,I,272
1748,MH09MH1748,SHIWAN,UC,Local Nallah,Nashik,TE,28.1,975,479.57,3243,389,3211,I,284
1749,MH09LH1749,KADEGAON,UC,Local Nallah,,TE,11.1,915,94,,,1380,I,291
1750,MH09LH1750,WAGHUR,UC,Local,Nandgaon,TE,13.6,690,70,1220,467,1060,I,294
1751,MH09LH1751,SANGVIKATI,UC,Local Nallah,Tirora,TE,11.3,706,,1260,653,1070,I,309
1752,MH09LH1752,JANGAMWADI,UC,Local Nallah,Udgir,TE,14.28,1324,,1100,326,980,I,310
1753,MH09MH1753,BHIMALKASA,UC,Local Nallah,Bhandara,TE,25.14,596,157.87,3600,1337,3470,I,314.2
1754,MH09LH1754,SIDEWAD,UC,Local Nallah,Ashti,TE,10.15,810,,750,378,570,I,320
1755,MH09LH1755,MUNGAWAD,UC,Local Nallah,Patoda,TE,14,642,,1290,304,1090,I,339
1756,MH09LH1756,SATEWADI,UC,Local Nallah,Khatav,TE,13.6,730,93,1040,449,840,I,342.43
1757,MH09MH1757,WADNER,UC,Local Nallah,Shahada,TE,17.62,1036,19,2070,520,1870,I,345
1758,MH09LH1758,BANDARCHUWA,UC,Bandarchuwa,Gondia,TE,14.59,515,4758,4760,1184,4080,I,358.28
1759,MH09LH1759,MASLA,UC,Local Nallah,Tuljapur,TE,10.95,1380,,1560,630,1360,I,360
1760,MH09MH1760,KOLWADI,UC,Local Nallah,Kannad,TE,15.96,798,124,2260,668,2040,I,378
1761,MH09HH1761,BHAM,UC,Tapi,Dharni,TE/PG,67.5,10982,,1788000,1551.6,1576000,I,445
1762,MH09MH1762,KHALGAON,UC,Local Nallah,Ratnagiri,TE,18.61,292,158,,267,,I,445
1763,MH09MH1763,MATHUKUL,UC,Local Nallah,Beed,TE,15.39,982,,1760,61,1490,I,448
1764,MH09LH1764,DAHA,UC,Local Nallah,Partur,TE,12.8,763,115,2230,765,1930,I,478
1765,MH09LH1765,YENGAON,UC,Local,Bhusawal,TE,11.75,1149,,1660,,1220,I,479
1766,MH09LH1766,SOBALGAON,UC,Local Nallah,Kannad,TE,12,1534,204,2340,102,2110,I,485
1767,MH09LH1767,BABHULGAON,UC,Local Nallah,Hingoli,TE,12.25,986,,2450,,2150,I,486
1768,MH09MH1768,DALAIGUDA,UC,Local Nallah,do,TE,20.6,1086,177,5970,,5130,I,552
1769,MH09LH1769,MACHINDRANATH,UC,Local Nallah,Ambad,TE,12.1,990,119,2960,1227,2630,I,555
1770,MH09HH1770,SARANG KHEDA,UC,Waki,Sinnar,TE,34.5,1081,76.2,75800,7203,70550,I,563
