"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
301,MP08MH0301,DOULATPURA,1978,Local,Jhabua,TE,16.5,269,-,1380,130,1250,I,99.1
302,MP08LH0302,PUNGI,1978,Local,Pungi,TE,14.5,549,,365,142.2,333,I,25.3
303,MP08MH0303,BANDHA,1978,Local,Narsinghar,TE,20.37,145,28.5,2635,147,2130,I,26
304,MP08LH0304,PACHAMA,1978,Local,Betul,TE,12.91,750,,632,178,586,I,30.33
305,MP08MH0305,UMARGARH,1978,Local,Shahdol,TE,26.85,180,-,900,207,,I,14
306,MP08LH0306,MAWAI,1978,Kindri,,T E,12.86,524,,861,210,791,I,43
307,MP08MH0307,NARSINGHPURA,1978,Local,Jhabua,TE,15.25,340,-,2370,264,2151,I,211.05
308,MP08LH0308,BHAMAT,1978,Local,Jhabua,TE,11.89,204,-,1316,325,1131,I,66
309,MP08MH0309,BARGONA,1978,Local,Chhindwara,TE,15.68,383,66.33,1110,353,970,I,65.79
310,MP08LH0310,HIRAWAR,1978,Local,Shahdol,TE,13.14,575,11,1060,376,994.1,I,45.9
311,MP08MH0311,GOLAI,1978,Local,Golai,TE,18.3,944.8,,1169,526.3,1095,I,45.42
312,MP08MH0312,URDAN,1978,Local,Betul,TE,15,630,,2084,574,1950,I,79.72
313,MP08MH0313,UMARIYA,1978,Local,Dhar,TE,15.04,507.6,-,2480,630,2120,I,76
314,MP08MH0314,KALAPHATA,1978,Local,Barwaha,TE,16.46,270,-,2865,689,2570,I,253
315,MP08MH0315,PARSODI,1978,Local,Multai,TE,15.69,1125,,3193,735,2832,I,128
316,MP08MH0316,DEOKHOH,1978,Local,Tamia,TE,22.08,186,47.11,4080,833,3768,I,108
317,MP08LH0317,CHHOTI AMARAWALI,1978,Local,Multai,TE,12.04,609,,2470,862,2324,I / F,106
318,MP08LH0318,KHERIA PUNAWALI,1978,Local,Karera,TE,10.82,1067,-,1800,1000,-,I,170
319,MP08LH0319,BARDHA,1978,Local,Vidisha,TE,11,1035,148,3010,1078,2813,I,28
320,MP08MH0320,PAMPAWATI,1978,Local,Jhabua,TE,16.5,1143,-,6301,1293,5718,I/WS,225
321,MP08HH0321,JOHILA,1978,Johila,Anuppur,TE,30.28,1234.7,14112,8530,1420,8000,I,103.51
322,MP08MH0322,AMRABAD,1978,Local,Raisen,TE,16.46,894,38.49,2650,1466,2480,I,64
323,MP08MH0323,MANSURWARI,1978,,,TE,24.58,945,-,13280,1800,12160,I/W,255.63
324,MP08MH0324,BHAISAWAR,1978,Local,Satna,TE,16.92,2165,-,9980,1980,9388,I,282.9
325,MP08MH0325,KAZIKHEDI,1978,Local,Ujjain,TE,22.78,1419,-,7547,6854,6862,I,241
326,MP08HH0326,TAWA,1978,Tawa,Itarsi,TE/PG,57.91,1944.92,297.6,2310000,30800,2050000,I/Hydl,30800
327,MP08MH0327,MOHGAON,1978,Local,Ghansora,TE,22.36,300,124.9,2748,-,2523,I/W,90.56
328,MP08MH0328,KANSEL,1979,Local,Barwani,TE,16.91,320,-,1335,,1216,I,116.56
329,MP08MH0329,PIPRANI NO. 2 T,1979,Local,Dhar,TE,17.7,540,-,280,113,240,I,30
330,MP08MH0330,BARETHA,1979,Local,Baretha,TE,18.06,442,,540,122.3,425,I,41.12
