"Sl
No","Project
Identification Code",Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
1,UP13MH0001,BARWA SAGAR,1694,Barwa Nala,Jhansi,TE,21.03,1067,,10200,52000,,I,6877
2,UP13LH0002,MAGAR PUR,1694,Local Drain,Jhansi,TE,10.2,739.1,,2460,18130,,I,173
3,UP13LH0003,PACHW ARA LAKE,1694,Local,Jhansi,TE/PG,13.72,208,,6150,21093,5850,I,41.04
4,UP13MH0004,PARICHHA,1886,Betwa,Jhansi,PG,16.77,1174.59,,78760,80200,77170,I,21547
5,UP13MH0005,DHEKWAN,1909,Betwa,Jhansi,PG,18.97,2970,,57800,194300,,I,15177
6,UP13LH0006,PAHUJ,1909,Pahuj,Jhansi,PG,10.67,2040,1824,18250,402000,18210,I,1528.2
7,UP13LH0007,SUKHRA,1909,Sukhara Nala,Mirzapur,TE,12.2,1158,,7360,23067,7260,I,700.69
8,UP13LH0008,LACHURA,1910,Sunhari,Hamirpur,PG,14.94,542.3,,20640,218500,10560,I,14444
9,UP13LH0009,SIORI LAKE,1911,Lakheri,Hamirpur,TE,13.94,2306,,7820,19900,7600,I,452.4
10,UP13LH0010,PAHARI,1912,Dhasan,Not known,PG,10,580.95,,47800,80300,46000,I,12776
11,UP13MH0011,GANGAU,1915,Ken,Chhatar Pur,PG,16.15,826,,58472,149900,,I,13723
12,UP13LH0013,GHORI,1915,Ghori,Mirzapur,TE,13.87,1584,376,13790,314196,,I,335.48
13,UP13MH0014,KOTRA KHAMBHA,1915,Harai,Chitrakoot,TE,18,806,8100,3750,34000,3030,I,326
14,UP13MH0015,KHAPATIA,1916,Borera,Chitrakoot,TE,16,806,,8080,12600,5047,I,188.89
15,UP13MH0016,DHANDHRAUL,1917,Ghaghar,Robertsganj,TE,21,7305,1099,144144,314196,139504,I,1120
16,UP13MH0017,MAJHGAWAN,1917,Gunchi nala,Hamirpur,TE,19.43,1402,37800,25460,,,I,169.8
17,UP13MH0018,DONGIA**,1918,Garai,Mirzapur,TE,15.3,2012,,28330,70850,,I,529.89
18,UP13MH0019,BARWAR,1923,Bora,Jhansi,TE,20.4,2233,2933.8,33780,100640,31650,I,2831.3
19,UP13LH0020,RAMPUR KALYANGARH,1925,Local,Chitrakoot,TE,13,1000,,1850,,1170,I,110
20,UP13LH0021,BHAINSORA,1926,Marhwa Nala,Varanasi,TE,11.26,1850.61,,19830,,,I,340
21,UP13MH0022,JAIWANTI,1928,Jaiwanti,Chitrakoot,TE,15,3352,580,9430,81000,9146,I,439
22,UP13MH0023,KHANDEHA,1929,Dashrath Nala,Chitrakoot,TE,19.9,1200,207,26940,1080,25400,I,125
23,UP13MH0024,AUNJHAR,1930,Aunjhar,Chitrakoot,PG,17.6,1056,36500,6116,81000,5947,I,172
24,UP13LH0025,BARDHA,1930,Bardha Nala,Chitrakoot,TE,14.1,2800,,7800,24300,7325,I,383
25,UP13LH0026,KOHAR GADDI,1930,Bhabhar Nala,Balrampur,TE,10.5,2820,,12543,3107,10980,I,215
26,UP13LH0027,RAIPURA,1930,Arjun nala,Mahoba,TE,13,3509,,12453,,6289,I,283
27,UP13MH0028,LOWER KHAJURI,1949,Khajuri,Mirzapur,TE/ER/PG,18,640,,120370,,,I,1490
28,UP13MH0029,NAGWA,1950,Ghaghar,Robertsganj,TE,20.31,2810.19,,154480,54390,104110,I,2682.89
29,UP13MH0030,BHONKA,1951,Bhonka,Mirzapur,TE,15.3,2012,,8500,,2300,I,160
