"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
511,GJ04HH0511,SIPU,1990,Sipu,Dhanera,TE/PG,38.5,8200,5250,177800,25680,156000,I,8603
512,GJ04MH0512,VALI,1990,Local Khadi,Jhagadia,T E,20.91,435,161.82,867,650,838,I,96.57
513,GJ04LH0513,VANSAL,1990,Vansal,Chuda,TE/PG,12.8,3550,414,3980,2150,3340,I,596
514,GJ04HH0514,DMANGANGA,1991,Dmanganga,Dharampur,PG,58.6,2870,11845,567000,51440,502000,"I, S, H",22040
515,GJ04MH0515,KANKAVATI,1991,Kankavati,Jamnagar,TE/PG,18,2385,45,6810,3560,6390,I,2143
516,GJ04LH0516,MOTISAR,1991,Motisar,Gondal,TE/PG,10.5,2087,270,2700,1502,2450,I,759
517,GJ04MH0517,DAIMINISAR,1992,Dai,Jamjodhpur,TE/PG,25,3840,1246,11100,3230,8860,I & S,1982
518,GJ04MH0518,DHAMOD,1992,Kotar,Lunawada,TE,16,1160,742.4,650,4840,500,I,122.5
519,GJ04MH0519,FALKU,1992,Falku,Dhrangadhara,TE/PG,18.35,4710,1430,13020,2696,12690,I,4275
520,GJ04LH0520,GEBANSHAPIR,1992,Fulzer,Jamjodhpur,TE,13.7,221,,2030,,1830,I,458.72
521,GJ04MH0521,MACHHANALA,1992,Machhan,Jhalod,PG,25.44,2100,561,37910,7960,2916,I,3622
522,GJ04MH0522,RESHAMADI GALOL,1992,T/Bhadr,Jetpur,TE,17.1,171,163,2947,1200,2500,I,583.54
523,GJ04MH0523,SANI,1992,Sani,Kalyanpur,TE/PG,18.65,4350,567,45450,18200,37850,I & S,7174
524,GJ04MH0524,SONMATI,1992,Sonamati,Bhanvad,TE/PG,20.94,304,1512,5000,2000,4690,I,1577
525,GJ04MH0525,UBEN,1992,Uben,Bhesan,TE,18.87,4665,1166.07,5360,3083,5090,I,1550
526,GJ04MH0526,UMARIA,1992,Hadaf,Limkheda,PG,22,41,1157,13530,2360,11670,I,841
527,GJ04MH0527,VADAL,1992,T/ Shetrunji,Palitana,TE,17,164,598,598,150,598,I,100
528,GJ04LH0528,VADIYA,1992,Suravo,Vadiya-,TE,12.75,2476,359.66,11180,4.22,9660,I,1556
529,GJ04MH0529,KABUTRI,1993,Bhadar,Limkheda,TE/PG,18.7,544,361,9580,,9580,I,1530
530,GJ04LH0530,MEDHA CREEK TR,1993,Medha Creek,Porbandar,TE/PG,10.21,1305,214,2540,172,2540,I,3762
531,GJ04MH0531,NOLI,1993,Noli,Mangrol,TE/PG,18,1760,390,7008,120,7008,S,361
532,GJ04MH0532,VER II,1993,Ver,Mandvi,PG,28.7,1360,1358,38300,5810,37050,I,2155
533,GJ04MH0533,GHODADHAROI,1994,Ghodadharoi,Morbi,TE/PG,28.49,2801,360,8335,1874,6240,I,3144
534,GJ04HH0534,DHOLI,1995,Madhumati,Jhagadia,TE,36,1280,983,14170,1825,12560,I,
535,GJ04MH0535,MORARJI DESAI  SETU,1995,Tapi,Surat,PG,16,580,86,31000,18000,31000,S,24000
536,GJ04LH0536,MOTA-CHHAIDA,1995,Sodhedare,Botad,TE,11.5,842.5,610,610,4141.25,610,I,116
537,GJ04LH0537,RAIDY,1995,Raidy,Rajula,PG,14.4,1540,497,6930,2110,6565,I,2265
538,GJ04LH0538,SOGTHI,1995,Fulzer,Jamjodhpur,TE,13,92.5,3140,3140,,2520,I,56.35
539,GJ04HH0539,TAPPAR,1995,Sakara,Anjar,TE,31.7,4573,529.36,48810,11450,48555,S,2258.34
540,GJ04MH0540,LIMBALI,1996,Ghelo,Gadhada,TE,22.6,3150.6,1334.04,31840,,26700,I,5394
