"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
271,GJ04MH0271,KHODASAR,1975,Local Stream,Bhachau,TE,21.09,797.29,109.28,686,7119,580,I,179.24
272,GJ04MH0272,RANIPAT,1975,Balal,Muli,TE,29.5,3197,,9920,,8030,I,1426
273,GJ04MH0273,SORTHI,1975,Und,Porbandar,TE/PG,23.2,2010,326,6180,3300,4730,I & S,1427
274,GJ04MH0274,SURVANALLA,1975,Local Stream,Savarkundla,TE,18.5,171,,360,,340,I,68
275,GJ04MH0275,THARAWADA,1975,Local River,Nakhatrana,TE,17.2,581,204,470,,470,I,166
276,GJ04LH0276,THIKARIYALA,1975,T/Machhu,Wankaner,TE,13.2,651,67,1720,260,1490,I,24.72
277,GJ04MH0277,AMBAJAL,1976,Ambajal,Visavadar,TE,19.18,1472.8,382.56,10550,1859,9600,I,1030
278,GJ04LH0278,ANGIANAWA,1976,Local Stream,Nakhatrana,TE,10.5,416,,1116,,996,I,293
279,GJ04MH0279,BAUKHA,1976,Kayla,Bhuj,TE,15.5,468,190,550,,550,I,458
280,GJ04LH0280,CHACHKA,1976,Magadakivehla,Limbadi,TE,11,446,,2600,,1940,I,802
281,GJ04LH0281,DABHADA,1976,Kotar,Limkheda,TE,14,614,213.61,606,166,491,I,92
282,GJ04LH0282,DEMALI,1976,Kotar,Shahera,TE,13.12,760,334.23,908,2210,856,I,101.25
283,GJ04LH0283,DHARESHI,1976,Local Stream,Dayapar,TE,10.73,1570,371.3,2450,370,1850,I,715
284,GJ04LH0284,GODECHI,1976,T/Sukhbhadar,Chotila,TE,14,685,,1909,,1660,I,341
285,GJ04MH0285,GOKHALANA,1976,Local Vangha,Rajkot,TE,19,635,,510,,510,I,131
286,GJ04LH0286,HALARA,1976,Local Stream,Bhachau,TE,13.45,586,85.4,411,5781,317,I,96.84
287,GJ04LH0287,KAKARI MAHUDI,1976,Kotar,Khanpur,TE,13.97,810,,688,4550,611,I,159.44
288,GJ04LH0288,KANKAWEATI,1976,Godra,Surendra Nagar,TE,14,2982,3910,2447,,1907,I,642
289,GJ04MH0289,KASWATI,1976,Kaswati,Bhuj,TE,15.74,1454.5,54,8200,2130,7960,I,933.9
290,GJ04LH0290,KORIYANI,1976,Local River,Dayapar,TE,13.4,1150,331,2700,,N.A.,I,388
291,GJ04LH0291,LAFNI,1976,Kotar,Ghoghmba,TE,14.83,236,130.78,1107,1751,693,I,83.03
292,GJ04HH0292,MADHUVANTI,1976,Madhuvanti,Mendarda,TE,30.48,1219.32,412.5,13640,4530,13630,I,750
293,GJ04MH0293,MANJAL- RELADIA,1976,Local River,Naliya,TE,15.8,1200,440,770,,770,I,250
294,GJ04LH0294,MORCHBANA,1976,Local River,Dayapar,TE,13.87,580,252,680,,680,I,224
295,GJ04MH0295,NYARI-1,1976,Nyari,Rajkot,TE,18,4206,,2700,,2548,S,396
296,GJ04MH0296,RUPEN,1976,Rupen,Una,TE,27,579,,3410,,2820,,566
297,GJ04MH0297,RUPEN M.I.,1976,Rupen,Una,PG,17.46,660.05,146.24,3839.4,956.9,3412.7,I.,55.91
298,GJ04LH0298,SAVDI,1976,T/Demi,Tankara,TE,13,13,218,1730,,1360,I,470.34
299,GJ04MH0299,SURAVANALA,1976,Surava,S.Kundala,TE,18.29,168,33,370.4,8000,345.79,I,67.96
300,GJ04MH0300,SURJUMI,1976,River,Limkheda,TE,19,453,219.48,610,219,516,I,92
