"Sl
No",Project Identification Code,Name of Dam,Year of completi on,River,Nearest city,T ype,Height above low est foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillw ay capacity
91,RA11MH0091,SEI DIVERSION,1977,Sei,Udaipur,TE,32.61,1518,NA,45830,2925,38650,I,1756
92,RA11HH0092,PANCHANA,1980,Gambhiri,Karauli,TE,34.08,1163,NA,59450,9240,52650,I,5728.7
93,RA11MH0093,MORASAGAR,1934,Banas,Bamenwas,TE,11.56,132,NA,15720,5850,15720,I,383
94,RA11MH0094,DANDIA,1978,Tr. of Sukhri,Desuri,TE,17,750,NA,1338.4,176,1333.3,I,119
95,RA11LH0095,JUNA MALARI,1978,Tr. of Sumer,Sadari,TE,11.28,1950,NA,1755.8,26800,1685,I,126
96,RA11MH0096,ABHAYA PURA,1978,Bhimlat,Bundi,TE,15.64,1645,NA,7440,1719,7270,I,531
97,RA11MH0097,JETPURA,1978,Unli,Mandalgarh,TE/PG,21.5,480,NA,18540,3370,16390,I,1064
98,RA11LH0098,BORDA,1977,Local nallah,Banswara,TE,13.56,264,NA,1050,225,1000,I,64.5
99,RA11LH0099,LAMBA DABRA,1979,Local nallah,Ghatol,TE,13.92,141.76,NA,1240,263,1200,I,116
100,RA11MH0100,CHOTI-TANDI,1979,Local Nalla,Banswara,PG,18.5,112.6,NA,1915,550,1699,S,151
101,RA11LH0101,GOPALPURA,1979,Chambal,Kishanganj,ER/PG,17.43,3887,NA,32600,6290,31900,I,1175
102,RA11LH0102,JAGPURA,1980,Local nallah,Ghatol,TE,13,170,NA,1480,1810,1470,I,110
103,RA11LH0103,CHANDELAO,1980,West Banas,Abu Road,TE,10,765,NA,1585,_,1570,I,167.25
104,RA11LH0104,KANYAKHERI,1980,Local Nalla,Bhilwara,TE,10.5,3656,NA,4300,2376,3790,I,171
105,RA11MH0105,MODIA MAHADEV,1980,Local Nalla,Chittorgarh,TE,16.53,625,NA,3885,1150,3648,I,595
106,RA11MH0106,JHADOL,1980,Banas,Kotri,TE,15,1507,NA,10335,4430,9287,I,599
107,RA11LH0107,TITORA,1981,Local nallah,Jahazpur,TE,12,749,NA,1358,145,1231,I,144.89
108,RA11LH0108,ANWASA,1981,Local nallah,Bhilwara,TE/PG,13.84,744,NA,2820,953,2820,I,198
109,RA11MH0109,BABARA,1981,Tr. of Lilari,Sojat,TE,21,765,NA,3769.6,1940,3559.8,I,817
110,RA11LH0110,MORWANIA,1982,Local nallah,Ghatol,TE,11.11,453.8,NA,1140,NA,1080,I,85.16
111,RA11MH0111,GOYAKA PRASAD,1982,Local Nalla,Banswara,TE,17.91,463,NA,2217,510,1897,I/S,140
112,RA11MH0112,DEVLIYA,1982,Local nallah,Chittorgarh,TE,15.5,250,NA,2380,2400,2380,I,230
113,RA11HH0113,DAYA,1982,Tidi,Serada,TE,31.16,1130,NA,12400,1570,11200,I,620
114,RA11LH0114,MANDOL,1981,Banas,Bhilwara,TE,13.8,633,NA,6800,2194,6260,I/S,572
115,RA11HH0115,SOMKAGDAR,1983,Som,Kherwara,TE/PG,33,2172,NA,36100,3900,34440,I,3256
116,RA11MH0116,DAMTI KOKRA,1989,Local Nalla,Mandalgarh,PG,27.31,998,NA,4720,6377,4304,I,369
117,RA11MH0117,SARAN KHERI,1983,Local Nalla,Jhalra Patan,TE,17.29,960,NA,6230,2020,5720,I,330
118,RA11LH0118,WAGON,1992,Wagon,Dungla,TE/PG,20.2,3048,NA,40600,9600,37550,I,2477
119,RA11HH0119,MAHI BAJAJ SAGAR,1985,Mahi,Banswara,TE/PG,74.5,3109,NA,2180000,134000,1833100,I/G/S/H,23280
120,RA11MH0120,KUI SAGNA,1983,West Banas,Abu Road,TE,15.4,370,NA,1980,NA,1800,I,147
