Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
91,MH09LH0091,VAIRAG,1963,Local Nallah,Barshi,TE,10.65,534,113,1455,,1435,I,430
92,MH09MH0092,SINDPHANA,1963,Sindphana,Patoda,TE,19.05,1937,12593,12600,5068,10810,I,1857
93,MH09MH0093,SALEGAON,1964,Local Nallah,Deori,TE,17.27,178,42,3395,704.3,3364,I,86.93
94,MH09LH0094,DEOGAON,1964,Local Nallah,Jintur,TE,12.19,612,119,1538,,1377,I,315
95,MH09MH0095,KEDARNATH,1964,Local Nallah,Hadgaon,TE,17,1270,288,7000,,,I,793
96,MH09MH0096,EKBURJI,1964,Chandrabhaga,Washim,TE,23.7,830,566,14100,218,11960,I,1001
97,MH09MH0097,JIVREKHA,1964,Jivrekha,Jafarabad,TE,20,1868,177,7000,204,6130,I,1089
98,MH09MH0098,KHELOCAL NALLAHA,1964,KheLocal Nallah,aSillod,TE,21,759,588,13000,3678,11070,I,1518
99,MH09MH0099,UPPER DUDHANA,1964,Dudhana,JaLocal Nallaha,TE,18,2750,965,15000,445,13010,I,1912
100,MH09VH0100,KOYNA,1964,Koyna,Patan,TE,103,805,1555,2797400,11535,2640000,H,3883
101,MH09MH0101,OHER (HARSUL),1964,Local Nallah,Aurangabad,TE,16,,,,,,,
102,MH09LH0102,GORTHA,1965,Local Nallah,Bhokar,TE,12.8,760,,1482,,1358,I,124
103,MH09MH0103,MAHASANGVI,1965,Manjarai,Mahasangvi,TE,16.98,945,6748,6750,,5880,I,136
104,MH09LH0104,KOSTEWADI,1965,Local Nallah,Kandhar,TE,13.72,510,,836,,770,I,145
105,MH09LH0105,BHARTI,1965,Local Nallah,Tuljapur,TE,10.19,524,,638,20,550,I,282
106,MH09LH0106,BHATEGAON,1965,Local Nallah,Kalmanuri,TE,14.32,547,,1540,,1390,I,298
107,MH09MH0107,SONARI,1965,Local Nallah,O'bad,TE,16.5,938,,1490,453,1300,I,334
108,MH09LH0108,MADHUGONDA,1965,Local Nallah,Kalmeshwar,TE,11.28,1098,,4885,118.6,4618,I,438
109,MH09MH0109,AMBHORA,1965,Mahalungi,Sangammer,TE,17.2,625,198,2237,54,1897,I,733
110,MH09LH0110,SAPTNE,1965,Local Nallah,Madha,TE,12.01,1292,107,2830,,2720,I,1062
111,MH09MH0111,KADA,1965,Local Nallah,Ashti,TE,15.45,2374,9966,9990,550,8850,I,1554
112,MH09MH0112,HARNI,1965,Local Nallah,Tuljapur,TE,16.55,3059,,13580,317,11180,I,1647
113,MH09HH0113,GANGAPUR,1965,Godavari,Nasik,TE,36.59,3902,4612,215880,22860,203880,I,2293
114,MH09MH0114,CHANDANI,1965,Chandani,Paranda,TE,17.18,1920,289,20700,813,15220,I,3030
115,MH09HH0115,BOR,1965,Bor,Bori,TE,36.28,1158,2474,138750,13506,127420,I,3058
116,MH09HH0116,VIR,1965,Nira,Purandar,TE,35.81,3629,1384.4,287.49,31310,266000,I/H,5154
117,MH09MH0117,GHOD,1965,Ghod,Shirur,TE,29.6,3300,1020,216300,30992,154800,I,7419
118,MH09LH0118,RAJOKI,1966,Local Nallah,A'Morgaon,TE,10.13,560.83,-,1390,7.25,1270,I,69.03
119,MH09LH0119,AMTHANA,1966,Local Nallah,Bhokar,TE,12.77,727,,1231,,1160,I,151
120,MH09MH0120,PIMPARKHED,1966,Local Nallah,Partur,TE,15.2,555,,1540,115,,I,194
