Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1471,MH09MH1471,PATODA,1998,Local Nallah,Chikhali,TE,17.14,780,174,2480,96,2185,I,303
1472,MH09MH1472,UMARZARI,1998,Umarzari,Gondia,TE,18.5,1997,5522,6102,1751,5522,I,450
1473,MH09LH1473,ANEPEMDARA,1998,Local Nallah,Junnar,T.E.,14.34,375,2120,2090,1.78,1750,I,545
1474,MH09MH1474,MAHAKOSHI,1998,Ambavade,Bhor,TE,24,455,227.8,,,,I,563
1475,MH09MH1475,RAYANGAN,1998,Raingaon,Nawapur,TE,24.1,1498,709,7780,158,6900,I,642.8
1476,MH09MH1476,JALOD,1998,Local Nallah,Shirpur,TE,22.73,1077,211,2600,596.8,2110,I,742
1477,MH09MH1477,MANDAVE (SOLAPUR),1998,Local Nallah,Malsiras,TE,15.13,940,1744,7.74,498,1.65,I,755
1478,MH09MH1478,HATGAON-II,1998,Local Nallah,Chaligaon,TE,19.8,215,,2373,51,1690,I,795.69
1479,MH09HH1479,KASHYPI,1998,Kashyapi,Rajapur,TE,41.75,1291,2761,52690,2867,52430,I,799
1480,MH09MH1480,RANMALA,1998,Anwar,Ranmala,TE,17.34,1170,461,4610,109.8,4110,I,800
1481,MH09HH1481,RANIPUR,1998,Local Nallah,Shahada,TE,40,267,348,3480,50,1600,,809
1482,MH09MH1482,MANDVI,1998,Mandvi,Kinwat,TE,22.3,1180,,7077,,5560,I,839
1483,MH09MH1483,MASRUL,1998,Dhamna,Buldana,TE,17.71,1069,,9518,,,I,1069
1484,MH09MH1484,PURNANEOPUR,1998,Purna,Kannad,TE,16.6,2725,506,11380,3848,9340,I,1184
1485,MH09MH1485,PANDERI,1998,Local Nallah,Madangad,TE,23.31,225,317.57,,336,,I,1189.98
1486,MH09MH1486,PUNEGAON,1998,Unanda,Tasgaon,TE,24.14,1803,991,20399,3646,17750,I,1332
1487,MH09MH1487,SONWAD,1998,Sonwad,Sindkheda,TE,18.58,4699,614,12690,3434,9530,I,1349
1488,MH09MH1488,SHELDI,1998,Hadawedi Nalla,Khed,TE,19.5,400,202,,253,,I,1741
1489,MH09MH1489,GURDHAL,1998,Local Nallah,Udgir,TE,22.7,192,,3770,700,2820,I,1765.8
1490,MH09MH1490,NARANGI,1998,Local Nallah,Vaijapur,TE,16.5,,,13290,,,I,2296
1491,MH09MH1491,BOR DAHEGAON,1998,Local Nallah,Vaijapur,TE,16.7,,,13400,,,I,2510
1492,MH09HH1492,MUN.,1998,Mun,Khamgaon,TE,30.2,1466,1362,42480,4527,36830,I,3623
1493,MH09MH1493,BRAMHANWADA,1998,Local Nallah,Malegaon,TE,15.7,275,,1107,,988,I,
1494,MH09MH1494,KALAMSARE,1998,Local Nallah,Kalamsare,TE,16,2530,58,5930,80,5691,I,
1495,MH09MH1495,SONPALLI,1998,Local Nallah,Jalgaon,TE,20.47,542,,,,,I,
1496,MH09LH1496,SAOKHED BHOI,1998,Amna,DeulgaonRaja,TE,14.23,1230,,,,,I,
1497,MH09MH1497,NANDARI,1999,Local Nallah,Panhala,TE,26.4,443,364,3210,290.1,3110,I,99.5
1498,MH09MH1498,HARASHI,1999,Local Nallah,Wardha,TE,17.36,384,122,1700,317,1400,I,141
1499,MH09MH1499,KUMBHAWADE,1999,Local Nallah,Shahuwadi,TE,25.16,677,502,5060,450,5530,I,141.75
1500,MH09LH1500,KARADA,1999,Local Nallah,Risod,TE,12.57,1110,268,1192,61,1757,I,146
