"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
511,MP08MH0511,KUMHARWARA,1983,Local,Katni,TE,17.22,657,-,653,372,532,I,158.31
512,MP08MH0512,BHAMI,1983,Local,Barwani,TE,15.09,267,-,1272,383,1056,I,139
513,MP08MH0513,BHAMORIYA NALA,1983,Local,Ratlam,TE,16.44,335,-,1836,384,1527,I,132.54
514,MP08LH0514,MATAJI,1983,Local,Jhabua,TE,12.15,650,-,1784,403,1660,I,88
515,MP08MH0515,KAKARHAI,1983,Local,Jabalpur,TE,15,360,7.07,89,404,73,I,22.26
516,MP08MH0516,INDRA DAMAN,1983,Local,Bargi,TE,16.1,289.56,33.99,1075,460.1,950,I,61.22
517,MP08MH0517,LAKHNOUTE,1983,Local,Shahdol,TE,17.1,420,-,1470,464.7,1340,I,70.68
518,MP08LH0518,KARWANDI,1983,Local,Alirajpur,TE,12.55,250,-,1213,489.35,1064,I,127
519,MP08LH0519,BALASAMUND,1983,Local,Barwani,TE,12.4,360,-,1412,492,1112,I,131
520,MP08LH0520,KHAPA,1983,Local,Niwas,T E,12.97,645,_,807,537,750,I,90
521,MP08MH0521,SALIPURA,1983,Local,Barwaha,TE,16.1,762,-,2998,610,2721,I,113.5
522,MP08LH0522,BARBET NO.1,1983,Local,Jhabua,TE,14.4,740,-,2467,642,1913,I,112
523,MP08MH0523,KARJUNI,1983,Local,Dhar,TE,18.24,1026,-,1840,693,1692,I,101.37
524,MP08MH0524,BARKHEDI SILOKI,1983,Local,Shajapur,TE,21.65,1410,18.2,3742,1102,3372,I,123
525,MP08MH0525,CHORBURARI,1983,Local,Jhabua,TE,16.53,504,-,5240,1220,4450,I,105
526,MP08MH0526,KHINA,1983,Local,Kundan,TE,17.83,1905,-,4656,1240,4455,I,105
527,MP08LH0527,DABRI,1983,Local,Barwaha,TE,14.57,581,-,3819,1290,3444,I,177.7
528,MP08MH0528,DORAHA,1983,Utawali,Sehore,TE,25,875,-,18060,4959,15580,I,386
529,MP08MH0529,KHAMERI BAGSARI,1983,Local,Hata,TE,17.15,780,-,1480,6315,1378,I,38
530,MP08LH0530,AMERBEGWA,1983,Local,Khargone,TE,13.8,784,,,,1621,I,99.85
531,MP08MH0531,KARMAI,1983,Local,Sidhi,TE,17,110,1310,1408,,1260,I,51
532,MP08MH0532,ATHAWA,1984,Local,Alirajpur,TE,16.75,326,-,581,112,519,I,57
533,MP08MH0533,RANHGI,1984,Local,Dindori,T E,16.99,341.36,,324,120,275,I,46.21
534,MP08MH0534,KATHAWAD,1984,Local,Alirajpur,TE,16.07,453,-,864,157,763,I,85
535,MP08MH0535,AMLIPADA-2,1984,Local,Dhar,TE,15.37,505,-,691,199,615,I,56.3
536,MP08LH0536,KHORIPURA,1984,Local,H'bad,TE,11.95,1485,-,2820,200,2450,I,85.8
537,MP08MH0537,MONGRA,1984,Local,Dhar,TE,16.8,330,-,1013.14,202,900,I,142.52
538,MP08LH0538,KOSDUNA,1984,Local,Alirajpur,TE,10.9,715,-,209,214,185,I,15.45
539,MP08LH0539,KHAIKHEDA,1984,Local,Sehore,TE,12.5,675,-,736,232,685,I,29
540,MP08MH0540,SHUKHAR,1984,Local,Sidhi,TE,24.27,112,1880,2099,255,1883,I,92
