"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
481,MP08LH0481,KUDA,1982,Local,Shivpuri,TE,11.63,763,-,2330,10290,19730,I,148
482,MP08LH0482,MATUWA,1982,Local,Panna,TE,12.35,660,-,1720,-,1568,I,72.5
483,MP08MH0483,BODLI T-3,1982,Local,Dhar,TE,19.1,200,,520,,,I,35
484,MP08LH0484,MANEGAON,1982,Local,Chhindwara,TE,12.48,732,,1000,,,I,
485,MP08MH0485,SURSATOLA,1983,Local,,T E,15.85,520,,550,140,512,I,39.63
486,MP08MH0486,UNDRI,1983,Local,Alirajpur,TE,16.25,750,-,2451,144,2094,I,146
487,MP08MH0487,KELI,1983,Local,Barwani,TE,17.45,219,-,774,162,683,I,100.39
488,MP08MH0488,BOURANI,1983,Local,Dewas,TE,20.9,310,-,828.5,172.4,746.6,I,48.82
489,MP08MH0489,KOLKI,1983,Local,Barwani,TE,17.7,314,-,908,180,820,I,29.2
490,MP08HH0490,NANDO,1983,Local,Sidhi,TE,30.72,878,810,800,186,730,I,43
491,MP08MH0491,SUSTIKHEDA,1983,Local,Barwani,TE,16.08,314,-,931,188,787,I,102.4
492,MP08LH0492,GUDA,1983,Local,Alirajpur,TE,10.54,570,-,516,190,436,I,51
493,MP08LH0493,MEHRA SEONI,1983,Local,Mandla,T E,13.07,822,,650,190,598,I,30.24
494,MP08LH0494,LALAWADI,1983,Local,Amla,TE,13.1,840,,710,204,634,I,46
495,MP08LH0495,BAGDIA T. NO.2,1983,Local,Dhar,TE,12.4,540,-,530,212,482.2,I,33
496,MP08LH0496,BIRUL,1983,Local,Barwaha,TE,12.18,234,-,1575,220,1177,I,97
497,MP08MH0497,BODLI T-1,1983,Local,Dhar,TE,18.04,538,-,1418,231,1274,I,85
498,MP08MH0498,TIKARA,1983,Local,,T E,20.76,518,,889,234,824,I,41
499,MP08MH0499,BALUA,1983,Local,Sidhi,TE,18.98,780,1080,1190,235,1081,I,61.08
500,MP08MH0500,PADRAI,1983,Local,Sagar,TE,16.54,630,-,1024,240,964,I,30.34
501,MP08MH0501,UPDI,1983,Local,Barwaha,TE,15.39,210,-,1229,268,1102,I,89.93
502,MP08MH0502,UPPER SASLIAY,1983,Local,Barwaha,TE,18.47,414,-,1550,279,1340,I,101
503,MP08MH0503,BAGAN,1983,Bagan,Anuppur,TE,22.29,570,1020,917,280,892,I,25.85
504,MP08MH0504,RAMPUR,1983,Local,Jhabua,TE,15.35,420,-,1099,293,963,I,95
505,MP08LH0505,SITADONGARI,1983,Local,,TE,14.5,870,-,146,305,115,I,65.76
506,MP08MH0506,GODHANPATTAN,1983,Local,Anuppur,TE,17.12,330,1429,1240,309,1175,I,34.87
507,MP08LH0507,RAJUKHEDI,1983,Local,Dhar,TE,13.25,1040,-,837,314,733,I,79
508,MP08MH0508,AKHETPUR,1983,Local,Shahdol,TE,16.05,358,-,,315,1100,I,18
509,MP08MH0509,KABADIA,1983,Local,Chhindwara,TE,16.25,770,-,1200,330,1150,I,56
510,MP08LH0510,BAHNIAKHEDI,1983,Local,Shajapur,TE,14,1050,73,1226,371,1112,I,59.1
