"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
31,GJ04LH0031,VADATALAV,1916,Kotar,Halol,TE,10,2669.45,707.4,2389,,2302,I,47.86
32,GJ04LH0032,PRATAPPURA,1930,Khari,Vadodara,TE,10.67,2500,,4120,2600,4120,S,
33,GJ04LH0033,GANGASAGAR,1933,T Of Banas,BK,TE,12.5,198,,3022,8050,2719,I,84.96
34,GJ04LH0034,SHINEY,1934,Local Stream,Anjar,TE,11.5,,,12790,,12790,S,
35,GJ04MH0035,SOLSANDHA,1935,T Of Banas,Palanpur,TE,17,325,,1529,1800,1032,I,205
36,GJ04MH0036,WANDH,1938,Khari,Bhuj,TE,15,400,67,806,,781,I,74
37,GJ04LH0037,KHAREDI,1939,Kotar,Dahod,TE,12,600,156.24,425,770,380,I,119
38,GJ04MH0038,LER,1939,Pat,Bhuj,TE,15,366,317,1610,476,1576,I,124
39,GJ04MH0039,KHAROD,1941,Kharod,Mandvi,TE,23,419,104,9090,2588.5,8500,I,420
40,GJ04MH0040,LILPUR-I,1941,Lilpur,Rapar,TE,16.78,472,50,2530,,2530,I,267
41,GJ04MH0041,SANAVA,1941,Local River,Rapar,TE,15.55,1554,1220,1770,,1770,I,477.07
42,GJ04LH0042,AMBALA,1942,Local Stream,Shihor,TE,14,713.7,,2040,130,2040,I,254
43,GJ04LH0043,MAMUARA,1942,Local Stream,Bhuj,TE,10.5,1128,162,742,435,706,I,46
44,GJ04LH0044,DHANETI,1943,Local Stream,Kachchh,TE,13,1160,37,2510,455,2510,I,3760
45,GJ04LH0045,KALYANPAR,1943,Local Stream,Kachchh,TE,11.1,285,11,1500,205,1480,I,113
46,GJ04MH0046,KHENGAR SAGAR,1943,Bhukhi,Khengar Sagar,TE,17.65,747,543.36,9600,2518,8410,I,151.51
47,GJ04LH0047,SHIHAN,1943,Shihan,Khambhalia,TE,14.5,214,,11470,,11470,I,1104.34
48,GJ04MH0048,MACHHAPARO,1944,Pat,Bhuj,TE,17,266,35,700,,680,I,
49,GJ04MH0049,MADHAPAR I,1944,Pat,Kachchh,TE,16.23,162,487,1128,265,948,I,55.22
50,GJ04LH0050,VALAVAD,1944,Local Stream,Sihor,TE,13,526,3280,3680,,3290,I,605
51,GJ04LH0051,NANDHELAO,1945,Kotar,Dahod,TE,13,540,,1003,,746,I,93
52,GJ04MH0052,GHURAN,1946,Jhuran,Bhuj,TE,17,625,103,930,,883,I,110
53,GJ04MH0053,RAJADA,1946,Kharod,Rajada,TE,18.35,1127,1024.19,11640,2090,9930,I,803
54,GJ04MH0054,BADI-PADVA,1947,Maleshri,Ghogha,TE,15,774.7,,2560,901.49,2560,I,481
55,GJ04LH0055,KOTHARIYA,1947,T/Aji,Tankara,TE,11,,48,1853,,1853,I,152.5
56,GJ04LH0056,MESHWO WEIR,1948,Meshwo,Raska,PG,10.05,188,,,,,I,2124
57,GJ04LH0057,RANIPORDA,1948,Vehla,Thasara,TE,11,1640,,1745,,1727,I,405
58,GJ04LH0058,RATIA,1948,Local Stram,Bhuj,TE,13.5,884,,908,,871,I,96
59,GJ04MH0059,VIJAYSAGAR,1948,Rukmawati,Mandavi,TE,26.23,732,159,20820,,19177,I,653
60,GJ04MH0060,WANGIWAD,1948,Kotaer,Zhal;Od,TE,15,84,65,1020,,980,I,980
