"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
361,GJ04LH0361,VAVOR,1980,Local Stream,Kachchh,TE,10.12,1240,323,726,2959,640,I,184
362,GJ04MH0362,VIRPUR,1980,Virpurvangha,Bhiloda,TE,15,778,298.74,468,,435,I,80
363,GJ04LH0363,BEDI M.I,1981,T/Demi,Rajkot,TE,10.95,1095,70,1250,560,940,I,431
364,GJ04MH0364,HATHASANI,1981,T/Sukhbhadar,Jasdan,TE,20,220,69,1700,,1560,I,209.84
365,GJ04LH0365,KALIAKUVA,1981,Kotar,Godhra,TE,10.33,593.5,167.01,944,43.5,944,I,21.24
366,GJ04LH0366,MOTA KANTHARIYA,1981,Local Wangha,Bhiloda,TE,13.39,939,292,279,450,279,I,6.75
367,GJ04MH0367,MOYALAPAD,1981,Kotar,S'pur,TE,15.8,156.66,97.89,669,,597,I,129.44
368,GJ04MH0368,MUVAL,1981,Local Voklo,Jamjodhpur,TE,19.8,380,,2270,,2120,I,602.29
369,GJ04MH0369,NARA,1981,Nara,Dayapar,TE,28.05,534.92,534,39684,14380,38210,I,1712.15
370,GJ04MH0370,NAVABHETALI,1981,Localvangha,Bhiloda,PG,15,25,3.8,282,,282,I,62
371,GJ04LH0371,PANCHAVADA,1981,Local Stream,Shihor,TE,13.73,554,625,625,90,625,I,144
372,GJ04MH0372,SANDHARA,1981,Bhuj,Kachchh,TE,18.38,335,130,450,85,139,I,139
373,GJ04LH0373,SINGLA,1981,T- Narmada,Chhotaudepur,TE,13.42,342,148.94,3398,1100,3230,I,244.89
374,GJ04MH0374,SUVAG,1981,T/Aji,Padadhari,TE,15.87,790,249,3610,1350,3110,I,770.6
375,GJ04LH0375,THANAGALOL,1981,Saloliavenkala,Jetpur,TE,13,1913,,792,,707,I,157
376,GJ04MH0376,VANKADIAJANWA,1981,Kotar,Santrampur,TE,21,296,,2750,,1538,I,307
377,GJ04MH0377,AMALWANT,1982,T- Narmada,Jetpurpavi,TE,17.68,387,154.59,1677,400,1430,I,136.05
378,GJ04MH0378,BAGAD,1982,Bagad,Mahuva,TE,20.39,2346.46,2260.4,11180,4890,9670,I,2929
379,GJ04LH0379,DHANIYAWALA,1982,T- Narmada,Jetpurpavi,TE,12.95,515,192.39,878,195.2,850,I,41.38
380,GJ04HH0380,DHAROI,1982,Saraswati,Kheralu,TE/PG,46,1207,6908,90788,,90788,I & S,21662
381,GJ04MH0381,DHINGALWADA,1982,Kota,Santrampur,TE,22,439,,3301,,3113,I,289
382,GJ04MH0382,HARWANT,1982,T- Narmada,Kawant,TE,23.11,279,39.92,4916,454.7,4760,I,260.43
383,GJ04MH0383,HIRAN-II,1982,Hiran,Talala,TE,24.4,3107.85,1330,10030,2290,9790,I & S,3559
384,GJ04LH0384,JALIDA,1982,Local Vangha,Wankaner,TE,13,580,,226,,170,I,78
385,GJ04MH0385,KHARO,1982,Kharo,Palitana,TE,17.42,163.4,169,12240,1990,11840,I,3592
386,GJ04LH0386,KOTDA,1982,T/Sb,Jasdan,TE,11,1100,91,1390,520,1150,I,367.61
387,GJ04MH0387,MATHAL,1982,Dhadoth,Nakhatrana,TE,24.4,1660,322.58,10700,1760,9600,I,1260
388,GJ04LH0388,MESARIA,1982,T/Machhu,Wankaner,TE,14,570,,651,,651,I,158
389,GJ04MH0389,SAMARKUWA,1982,Kotar,Baria,TE,25,283,,1220,,970,I,145
390,GJ04LH0390,SANALA,1982,T/Keri,Jasdan,TE,14.7,147,118,1580,770,1420,I,335.07
