"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
841,MP08LH0841,BHANGRA NALLA,2002,Local,,TE,12.8,512,-,3730,885,2850,I,272.8
842,MP08MH0842,BANSKHEDA,2002,Local,Rajgarh,TE,19.75,915,85.5,3484,966.8,3071,I,176.28
843,MP08LH0843,AMA NALLA PARASWARA,2002,Local,,TE,13.72,330,33.9,3240,1170,2250,I,295
844,MP08MH0844,PIPLYAKALA,2002,Gunjari,Rajgarh,TE,20.38,975,175.5,4824,1200,4174,I,326.8
845,MP08MH0845,BARGOOR PUW,2002,Local,Seoni,TE,16.26,2241,29.95,9100,1650,8410,I,231
846,MP08MH0846,UPPER PALAKMATI,2002,Palakmati,Sultanpur,TE,22.71,210,169,11039,1943,10438,I,177
847,MP08MH0847,"RAJIV SAGAR
(MAKSUDANGARH)",2002,-,-,TE,27.19,700,,17675,2475,16130,I,788.52
848,MP08MH0848,BHAISATORI,2002,Sukait,Guna,TE,18.46,1350,281.17,8860,2810,8250,I,466.65
849,MP08MH0849,CHAMBLESHWAR,2002,Local,Neemuch,TE,16.01,2820,-,2030,4085,1310,I,550
850,MP08MH0850,NIMB TANK,2002,Local,Khandwa,TE,22.23,230,-,2750,5754,2472,I,94.07
851,MP08LH0851,SEMRIKALA,2002,-,,TE,12.1,750,,1960,-,-,I,53.37
852,MP08MH0852,KANHASAGAR,2002,Local,Chhindwara,TE,19.8,540,-,1710,-,-,I,50.04
853,MP08LH0853,KHAIRANA TANK,2002,,,TE,10.25,1345,,,,,,
854,MP08LH0854,RAJLI,2003,Local,Satna,TE,10.38,790,102.4,1468,259,1430,I,34.4
855,MP08MH0855,SHIVLALDHANA,2003,Local,,TE,16.55,233,,1280,269,1170,I,60.83
856,MP08MH0856,DEORI,2003,Local,Shahdol,TE,16.89,242.5,-,1400,317,,I,40
857,MP08LH0857,JUNAPANI,2003,Local,Mandsaur,TE,12.01,815,-,1580,418,1350,I,105.18
858,MP08MH0858,GANESHPURA,2003,Local,Rajgarh,TE,16.4,536,77.27,2148,719,1787,I,208.1
859,MP08MH0859,GHOGHATPUR,2003,Local,Rajgarh,TE,20.3,435,208.52,3881,730,3358,I,275.31
860,MP41MH0860,RAJGHAT SAGAR (PHE),2003,Bebus,,TE,25.5,1680,115000,96000,17000,80000,WS,3287
861,MP08MH0861,BORGAWAN,2003,Local,,TE,18.35,300,-,683,-,-,I,36.93
862,MP08MH0862,KARMOI,2003,,,TE,18.1,,,2070,,,I,72
863,MP08MH0863,MADHAR,2003,,,TE,16.11,690,-,,,,I,324
864,MP08LH0864,PARARIYA,2003,,,TE,11.15,,,3580,,,I,76.83
865,MP08LH0865,PADARIA,2004,Local,G/Ganj,TE,12.19,720,67,942,276,863,I,42
866,MP08MH0866,SAGONIKALA,2004,-,,TE,18.8,1005,,2370,-,-,I,63.45
867,MP08LH0867,BORGAON KODAROTI,2004,Local,Betul,TE,11.2,1038,,861,,-,I,37.24
868,MP08LH0868,GOPINATHPUR,2004,Local,Betul,TE,10.9,750,,-,,-,I,82.51
869,MP08HH0869,"UPPER WAINGANGA
(SANJAY SAROVAR)",2005,Wainganga,,TE,42.67,3871,-,507000,55360,410000,I/F/W,16648
870,MP30HH0870,INDIRA SAGAR (NHPC),2005,Nrmada,Khandwa,PG/TE,92,653,,1222000,913480,975000,I/Hydl,83534
