"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
571,MP08MH0571,SEMLI,1985,Local,Barwani,TE,17.8,185,-,970,188.4,864,I,108
572,MP08LH0572,BARBUSPUR,1985,Local,Niwas,T E,12,510,,700,208.17,671,I,
573,MP08LH0573,CHARGAON,1985,Local,,T E,13.77,720,,917,230,827,I,45.21
574,MP08LH0574,SILKHEDA,1985,Local,Sehore,TE,12.31,870,-,3070,233,2830,I,104
575,MP08LH0575,JHANDATOLA,1985,Local,Mandla,T E,11.95,467.85,,1110,270,950,I,79.95
576,MP08MH0576,CHHEWLA,1985,,,TE,18,465,-,1267,277,1207,I,45.59
577,MP08LH0577,KANDRA,1985,Local,Mandla,T E,14.17,500,_,1100,278,930,I,38.22
578,MP08LH0578,MANEGAON,1985,Local,,T E,13.36,552.3,,1006,287.17,831,I,51.17
579,MP08LH0579,KAROLI,1985,Local,Mandsaur,TE,14.76,480,-,1645,309,1432,I,63
580,MP08LH0580,MAJHOLI,1985,Local,Sidhi,TE,13.1,838,890,1029,316,970,I,54.71
581,MP08LH0581,BARBUSPUR,1985,Local,Mandla,T E,11.91,509,,1550,431,1450,I,52.37
582,MP08LH0582,CHILAM TEKRI,1985,Local,Shahpur,TE,10.36,365.65,,1050,462,972,I/F,44.32
583,MP08LH0583,BHARLA,1985,Local,Ujjain,TE,10.44,1320,-,1555,478,1113,I,56
584,MP08MH0584,KOKA,1985,Local,Satna,TE,22.9,222,-,3190,492,3058,I,78.9
585,MP08LH0585,LOLKI,1985,Local,Shajapur,TE,10.1,576,66,1350,564,1186,I,76
586,MP08LH0586,HARDUAPONDI,1985,Local,Javera,TE,12.98,6161,-,2250,575,2029,I,128
587,MP08MH0587,SALKANPUR,1985,Local,Sehore,TE,18.94,912,-,2406,625,2264,I,33.22
588,MP08LH0588,KOHDARH,1985,Local,Khandwa,TE,12.62,435,-,1438,696,1260,I,808
589,MP08LH0589,BHOURI,1985,Local,Sehore,TE,13.35,1071.68,-,2430.68,759,2269.68,I,47
590,MP08LH0590,KALYANPURA,1985,Local,Bhopal,TE,11.33,900,86,2680,934,2448,I,55
591,MP08LH0591,NAYA PURANA,1985,Local,Mandsaur,TE,14,2225.04,-,4176.8,1043.36,3515.15,I,235
592,MP08MH0592,BHIKARKHEDI,1985,Local,Barwaha,TE,20.85,613,-,10391,1539,7728,I,343
593,MP08MH0593,BUNDALA,1985,Local,Multai,TE,27.3,855,,20415,3633,18325,I,838
594,MP08HH0594,SANJAY SAGAR,1985,Local,Raghogarh,TE,40.85,630,-,37500,4870,35160,I,1556
595,MP08HH0595,SUKTA,1985,Local,Pandhana,TE,32,2133,-,89500,12065,70845,I,2634
596,MP08LH0596,GIDWASAN,1985,,,TE,12.15,97,,1530,,,I,
597,MP08HH0597,RUTHAI (GOPI KRISHNA,1985,Local,Guna,TE,40.15,670,-,85010,,78106,WS,2605
598,MP08MH0598,PAKHADIA,1986,Local,Chhindwara,TE,22.83,633,-,2280,51.46,2156,I,110
599,MP08MH0599,BICHOLI,1986,Local,Alirajpur,TE,16.31,207,-,491,90,414,I,45
600,MP08MH0600,LIMBI,1986,Local,Barwani,TE,18.63,181.5,-,510,98.77,468,I,65.2
