Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1681,MH09MH1681,AUTAD,UC,Local Nallah,Kalyan,TE,19.95,521,2232,,339,,I,47
1682,MH09MH1682,KUMAME,UC,Local Nallah,Malvan,TE,20,95,61.61,,378,,I,47
1683,MH09MH1683,SAI,UC,Local Nallah,Panvel,PG,26.4,307,296.46,,242.9,,I,55.4
1684,MH09MH1684,MANAKUHI,UC,Local Nallah,Gondia,TE,21.97,478,59.28,850,190,860,I,60.67
1685,MH09MH1685,KHARSAI,UC,Local Nallah,Mhasala,TE,29.6,247,195,,12,,I,63
1686,MH09MH1686,SERPUR,UC,Local Nallah,Gondia,TE,20.4,660,77.71,910,324,880,I,64.27
1687,MH09LH1687,VYPHADPITESUR,UC,Local Nallah,Hingana,TE,10.2,508,94,1080,367.6,810,I,66.93
1688,MH09LH1688,MAISDODAK,UC,Local Nallah,Morgaon,TE,11.41,583,,850,,820,I,67
1689,MH09MH1689,ALYANI,UC,Local Nallah,Murbad,TE,20.4,516,279,,429,,I,70
1690,MH09MH1690,PURADA,UC,Local Nallah,Bhandara,TE,21.16,579,94.85,1630,475,1600,I,80.16
1691,MH09MH1691,PURKABODI,UC,Local Nallah,Bhandara,TE,20.34,1107,125.67,1460,590,1420,I,84.39
1692,MH09LH1692,SILLI AMBADI,UC,Local Nallah,Bhandara,TE,12.82,1380,7220,1270,765,1220,I,87.3
1693,MH09LH1693,MAHUR,UC,Local Nallah,do,TE,14.04,790,177,1710,,1660,I,88
1694,MH09MH1694,CHATEGHAR,UC,Local Nallah,Vasai,TE,19.5,385,171,,2.47,,I,89
1695,MH09LH1695,SALIMBA,UC,Local Nallah,Kinwat,TE,10.2,534,116,1410,,1350,I,95
1696,MH09LH1696,SHIRSOLI-2,UC,Local,Jamner,TE,10.12,848,,790,35.6,,I,95
1697,MH09MH1697,JUNEWADI- II,UC,Local Nallah,Gondia,TE,22.28,506,73.82,1320,350,1230,I,95.39
1698,MH09MH1698,OTAV,UC,Local Nallah,Kankawali,TE,27.3,330,392.17,4800,650,4732,I,96.95
1699,MH09LH1699,PIMPRI (MAN),UC,Local Nallah,Risod,TE,11.46,480,,1190,46,1134,I,101
1700,MH09MH1700,NANHI,UC,Local Nallah,Hingana,TE,19,835,173,1730,,1360,I,101.6
1701,MH09MH1701,ASNAS,UC,Local Nallah,Wada,TE,22.96,292,178,,190,,I,105
1702,MH09MH1702,WADERU,UC,Local Nallah,Kanakvali,TE,24.8,264,235,,316,,I,108
1703,MH09MH1703,PALANDAR ZAMINDARI,UC,Local Nallah,Gondia,TE,23.38,346,39.9,1620,583,1560,I,112.2
1704,MH09LH1704,MANGRUL,UC,Local Nallah,do,TE,12.88,722,,1190,401,1100,I,117
1705,MH09MH1705,PIMPALGAON,UC,Local Nallah,Kinwat,TE,16.2,796,129,2350,,2280,I,117
1706,MH09MH1706,KARLI,UC,Local Nallah,Bhandara,TE,23.26,301,53.48,1890,725,1810,I,117.12
1707,MH09MH1707,JAMBRUNG,UC,Local Nallah,Khopoli,PG,27.2,563,393.15,,259,,I,119.47
1708,MH09LH1708,AMGAPADA,UC,Local Nallah,Warud,TE,12,735,111,1010,,620,I,129
1709,MH09LH1709,TEMBHURWALTRI,UC,Local Nallah,Chandrapur,TE,11.19,910,,1240,1066,860,I,131.03
1710,MH09LH1710,ARLI,UC,Local Nallah,Tuljapur,TE,12.35,771,,890,369,810,I,132
