"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
1,CG03LH0001,KHAPRI TANK,1908,Local,Durg,TE,11.11,2410,,12480,4720,,I,337
2,CG03LH0002,KURUD,1909,Local,Raipur,TE,10.21,1981,,262800,105,5710,I,149
3,CG03LH0003,PINDRAWAN TANK,1909,Local,Raipur,TE,10.82,2012,,13200,419,,I,237
4,CG03MH0004,DARRITOLA,1910,Local Nalla,Kusmi,TE,15,1219,384,2540,9430,2215,I,5028
5,CG03LH0005,DHANRAS,1911,Local,Kota,TE,11,450,175,1666,405,1600,I,112
6,CG03LH0006,AMACHUWA TANK,1917,Local,Kota,TE,11.88,223,98,1677,451,1566,I,94
7,CG03MH0007,TANDULA TANK,1920,Tandula &Sukhanalla,Balod,TE,21.95,4350,,,46102,312300,I,1973
8,CG03HH0008,MURRUM SILLI,1923,Silliari,Dhamatari,TE,34.15,2591,1619,165340,25250,161913,I,1132
9,CG03LH0009,KUMHARI,1927,Local,Raipur,TE,11.87,2076,325,11380,3992,1134,I,251
10,CG03HH0010,MANIYARI,1930,Maniyari,Lormi,TE,34.15,2095,1050,151179,25270,147613,I,986
11,CG03MH0011,KHARANG,1931,Kharang,Ratanpur,TE,21.3,2214,1057,195153,38074,192321,I,994
12,CG03MH0012,GONDLI TANK,1956,Local,Balod,TE,28.4,1100,,,23870,17612,I,651
13,CG03MH0013,DHARA,1961,Local,Dongargarh,TE,15.26,807,36.94,5136,1145,5080,I,74
14,CG03LH0014,NAWANGAON,1961,Local,Raipur,TE,10.06,1415,,3937,27.8,1130,I,
15,CG03LH0015,THAKURDIYA TANK,1961,Local,Mahasamund,TE,10.21,983,,3522,132,2939,I,
16,CG03MH0016,KESHWA TANK,1962,Local,Mahasamund,TE,24.69,475.49,,18030,3780,17850,I,98.54
17,CG03HH0017,DUDHAWA,1963,Mahanadi,Kankar,TE,30.53,2907,2856,288680,44868,284112,I,521
18,CG03HH0018,SARODA TANk,1963,Local,Kawardha,TE,36.61,469,,31150,4093,30150,I,27
19,CG03MH0019,NAWAGAON TANK,1965,Local,Rajnandgaon,TE,17.68,771,,4530,742,4420,I,235
20,CG03LH0020,MUDIYAN TANK,1966,Local,Dongargarh,TE,12.65,823,30.86,12030,3340,11590,I,244
21,CG03MH0021,SURHI,1966,Local,Rajnandgaon,TE,21.03,2166,,22150,4250,21620,I,336
22,CG03LH0022,THALKA TANK,1966,Local,Raipur,TE,10.97,701,,1130,,,I,36
23,CG03LH0023,BELBEHRA TANK,1967,Local Nalla,Janakpur,TE,14.16,1035,289,178,145,167,I,43
24,CG03LH0024,GHUGHWA,1967,Local,Raipur,TE,13.4,2317,371,3077,1373,3080,I,
25,CG03MH0025,HASDEO BARRAGE,1967,Hasdoo,Korba,TE,17.08,283.76,,80100,25900,81100,I,19820
26,CG03HH0026,KHARKHARA,1967,Kharkhara,Balod,TE,37.9,1463,,171628.12,24292,141584,I,816.08
27,CG03LH0027,BHOPALI TANK,1968,Local Nalla,Ambikapur,TE,12.19,900,48,1136,340,1122,I,172
28,CG03LH0028,CHOURASIYA,1968,Local,Pendra,TE,12.47,1097,205,1756,645,1618,I,57
29,CG03LH0029,DHAWANPUR,1970,Local,Kota,TE,10.1,1204,98,782,358,702,I,40
30,CG03MH0030,KEDAR NALA TANK,1971,Kedar,Sarangarh,TE,20.11,793,437,16888,2015,16569,I,245
