"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
391,GJ04MH0391,SHAMALKUAV,1982,Kotar,Ghoghmba,TE,25.1,282.5,428.81,1220,3309,970,I,144.7
392,GJ04MH0392,SULLYAT,1982,Kotar,Morwa (H),TE,16,261,167.04,1172,5874,144,I,239.08
393,GJ04MH0393,ABHALWAD,1983,Zangarda,Jafrabad,TE,18,477,,1891,,1562,I,585
394,GJ04MH0394,BANGORIA,1983,Local Khadi,Bharuch,TE,17,820,144,1708.7,,1615,I,151
395,GJ04MH0395,BERACHIYA,1983,Nyara,Naliya,TE,22.54,2010,187.4,6860,1800,5510,I,1690
396,GJ04MH0396,BHANGORIA,1983,Local Khadi,Netrang,T E,16.54,820,221.4,1696,975,1620,I,158.45
397,GJ04MH0397,BHARAD,1983,Bharadia,Dhari,TE,19.5,425,16,917,,818,I,250
398,GJ04HH0398,BHUKHI,1983,Bhukhi,Nakhatrana,TE,31,1550,476.7,15580,1550,14580,I,1490
399,GJ04MH0399,DARIA,1983,Local Khadi,Jhagadia,T E,15.85,440,86.48,1032,635,838,I,108.18
400,GJ04LH0400,DEDARANI,1983,Local Stream,Dayapar,TE,14.1,801.95,132.73,1460,280.45,1220,I,470.43
401,GJ04MH0401,DHOLERKHAM,1983,Local Khadi,Netrang,T E,15.85,187,37.55,1730,400,1660,I,139.96
402,GJ04LH0402,FARERA,1983,Satnera,Una,TE,10.9,595,47.08,579.9,234.7,525.6,I,114.25
403,GJ04MH0403,GODHATAD,1983,Mitiariwali,Dayapar,TE,24,1060,1060,13979,6060,12580,I,1641.4
404,GJ04MH0404,ISHWARIYA,1983,Saran,Jasdan,TE/PG,15.7,2147,455,5246,4032,4850,I,1377
405,GJ04MH0405,JANGADIYA,1983,Kharipur,Naliya,TE,21.94,990,159.06,9040,2150,6850,I,1446.8
406,GJ04MH0406,JUNACHAY,1983,Local Stream,Dayapar,TE,15.8,443,153.83,330,99.8,250,I,104.77
407,GJ04MH0407,KELIA,1983,Kharera,Navsari,PG,28.1,814,1638,18100,3185.5,17350,I,1181
408,GJ04MH0408,KUNDANPUR,1983,T- Narmada,Jetpurpavi,TE,15.35,672,146.79,1138,180,1100,I,103.36
409,GJ04MH0409,LAKHIGAM,1983,Dhanki-Khadi,Mandvi,TE,17.9,662,,4892,1390,4685,I,434
410,GJ04LH0410,LUDVA,1983,Mandvi,Kachchh,TE,14.7,980,204,910,380,790,I,252.21
411,GJ04HH0411,MITTI,1983,Mitti,Naliya,TE,31.5,4405,373.4,17400,5780,14720,I,5920.15
412,GJ04MH0412,MOBHNESS,1983,Dhatarwadi,Khambhala,TE,20.5,380,,2832,,2120,I,845
413,GJ04MH0413,NAGARPIPLALIA,1983,Ruparel,Paddhari,TE,15,169,,1133,,1000,I,238
414,GJ04MH0414,PIGUT,1983,Tokri,Valia,TE,20.65,1470,,7520,1500,10230,I,285
415,GJ04MH0415,PITH GAJIPUR,1983,T Of Sabarmati,BK,TE,20,370,,1886,3500,1728,I,262.25
416,GJ04MH0416,RAIPUR,1983,T- Narmada,Jetpurpavi,TE,17.2,260,130.38,2234,400,2140,I,173.97
417,GJ04MH0417,SONWADI,1983,T Of Banas,BK,TE,16.63,325,,1529,39063,1032,I,205.32
418,GJ04MH0418,TALVADA,1983,Kotar,Kadana,TE,21.5,312,351.33,824,3200,600,I,101
419,GJ04MH0419,TURKHA,1983,Localnalla,Botad,TE,16,1041,64,1220,,860,I,513
420,GJ04LH0420,VADALI,1983,T/Bhadr,Upleta,TE,13.9,1390,68,1050,489.4,950,I,216.77
