"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
61,CG03LH0061,ADPATHER TANK,1979,Local Nalla,Raipur,TE,13.85,1200,143,4714,2186,4128,I,205
62,CG03LH0062,KHALLARI TANK,1979,Local,Mahasamund,TE,10.08,704,,1311,490,1164,I,44
63,CG03LH0063,MARODA TANK,1979,Local Nalla,Raipur,TE,11.5,1410,110,1381,440,1301,I,39
64,CG03HH0064,R.S. SAGAR,1979,Mahanadi,Dhamtari,TE/PG,30.5,1830,1776,910500,95400,766890,I/H/S/F,17230
65,CG03LH0065,SONPUR -1,1979,Local,Kanker,TE,10.41,792,93,841,237,753,I,41
66,CG03MH0066,BALLAR RESERVOIR,1980,Local Nalla,Kasdol,TE,26.88,1008.88,,39670,5460,36670,I,606.64
67,CG03LH0067,BARPARA TANK,1980,Local Nalla,Ramchandrapur,TE,12.4,840,184,272,267,171,I,41
68,CG03LH0068,CHAKER NALLA,1980,Local,Kawardha,TE,12.65,900,,403,142,375,I,28
69,CG03LH0069,GUNDERDEHI TANK,1980,Local Nalla,Raipur,TE,10.06,1351,,2772,769,2659,I,112
70,CG03LH0070,KHARKHARA TANK,1980,Local Nalla,Raipur,TE,13.39,1380,114,4012,9192,3666,I,181
71,CG03LH0071,KHUNAL(KHUNSI) T,1980,Local Nalla,Balampur,TE,10.97,274,47,4740,347,4410,I,180
72,CG03LH0072,KOINARI TANK,1980,Local Nalla,Balarampur,TE,11.28,1110,204,1620,580,940,I,210
73,CG03LH0073,KOTHARI TANK,1980,Local,Korba,TE,13,660,117,6160,1100,4416,I,68
74,CG03MH0074,MANKESHWARI,1980,Local,Kanker,TE,15.23,676,162,848,275,786,I,52
75,CG03MH0075,PUTTA TANK,1980,Local Nalla,Lakhanpur,TE,17.93,870,110,1595,290,1108,I,90
76,CG03LH0076,RUSE TANK,1980,Local,Rajnandgaon,TE,11.5,2660,91.77,10185,3429,9180,I,145
77,CG03MH0077,TAMDAND TANk,1980,Local Nalla,Khadgawan,TE,17,425,170,1100,214,1010,I,17
78,CG03MH0078,TUNGAL TANK,1980,Local,Dantewada,TE,20.52,480,,1460,400,1275,I,138
79,CG03LH0079,AMABEDA,1981,Local,Kanker,TE,10.67,518,71,1249,383,1129,I,81
80,CG03LH0080,CHHUWARI PALI  T.,1981,Local,Baramkela,TE,12.8,579,135,9210,127,1143,I,115
81,CG03MH0081,JHUMKA TANK,1981,Local Nalla,Baikunthpur,TE,29.8,2860,3365,2331,3505,2290,I,448
82,CG03MH0082,KODAR PROJECT,1981,Kodar,Mahasamund,TE,23.32,2359.15,894.63,160350,13880,147020,I,623
83,CG03LH0083,KOSMI TANK,1981,Local Nalla,Raipur,TE,11.5,765,65,631,170,532,I,56
84,CG03MH0084,NAWKERRA TANK,1981,Local,Tapkara,TE,18.89,518,97,247,63,207,I,19
85,CG03LH0085,SAJAPANI TANK,1981,Local,Kansabel,TE,13.6,570,133,1140,297,1079,I,38
86,CG03LH0086,SHIVEPUR TANK,1981,Local Nalla,Ramanujnagar,TE,10,600,88,230,105,220,I,103
87,CG03MH0087,BANJARIDAND TANK,1982,Local Nalla,Khadgawan,TE,17.92,780,344,1960,673,1800,I,73
88,CG03LH0088,BISRAMPURI,1982,Local,Jagdalpur,TE,12.4,600,,141,552,136,I,45.9
89,CG03LH0089,CHILPUTI,1982,Local,Kondagaon,TE,11.71,540,,860,3307,800,I,53.73
90,CG03MH0090,GATATOLA TANK,1982,Local,Dongargaon,TE,15,330,14.85,1306,58,1090,I,15
