"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
121,GJ04HH0121,MACHHU I,1960,Machhu,Wankaner,TE/PG,32.43,1445,286,68950,20230,68950,I & S,11272
122,GJ04MH0122,SHETRUNJI,1960,Shetrunji,Palitana,TE,16.46,3894.59,591.03,308680,67340,299900,I & S,56410
123,GJ04LH0123,DEDHIA,1961,Local Stream,Dedhiya,TE,12.97,2021.34,860.76,2940,1157,2510,I,456.53
124,GJ04MH0124,DEMI I,1961,Demi,Tankara,TE/PG,17,4023,567,22174,5504,22100,I,1225
125,GJ04MH0125,DHOBIYARA,1961,Local Stream,Babara,TE,15,190,,1579,,1252,I,203
126,GJ04MH0126,FULZAR I,1961,Fulzar,Kalavad,TE/PG,25.41,1932,529,11360,4370,11220,I,1274
127,GJ04LH0127,JADAWAS,1961,Local River,Rapar,TE,13.91,883,825,2420,,2420,I,245
128,GJ04MH0128,KODOLI,1961,Local Stream,Abdasa,TE,17,808,108,3506,,3283,I,541
129,GJ04MH0129,MEVASA,1961,Local River,Rapar,TE,21.5,878,1240,8250,,8250,I,1445
130,GJ04LH0130,PHOT,1961,Phot,Tappar,TE,14.14,1421,699.53,2303,797,2020,I,304.5
131,GJ04LH0131,VAYOR,1961,Local River,Naliya,TE,12.8,960,429,1120,,1120,I,154
132,GJ04LH0132,BHMIRYA,1962,Vahela,Balasinor,TE,11.8,396,,13727,720,12428,I,1010
133,GJ04LH0133,DHRUFANIA,1962,Localstream,Lathi,TE,11,549,,1491,,1313,I,354
134,GJ04MH0134,GHELO(I),1962,Ghelo,Babara,TE,21.18,883,1003.45,6110,1800,5890,I,1190
135,GJ04LH0135,GUHEDIA,1962,Vahela,Balasinor,TE,12.2,1920,,45872,4240,45872,I,9000
136,GJ04MH0136,KOYADAM,1962,Vahela,Virpur,TE,18.68,175,,25465,138,24168,I,9900
137,GJ04LH0137,KUNDOL TANK,1962,Kundolvaga,Bhiloda,Te,11,320,,1430,,1416,I,236
138,GJ04HH0138,LIMDI BHOGAVO I,1962,Bhogavo,Sayala,TE/PG,42.68,2744,879,22483,8520,21973,I & S,1472
139,GJ04MH0139,CHANG,1963,Chang,Bhachau,TE,18.31,1440.36,363.4,6943,1957,6470,I,606
140,GJ04LH0140,CHAVADKA,1963,Local River,Nakhatrana,TE,10.68,173.3,80,1560,,1560,I,196
141,GJ04MH0141,EKALIA,1963,Localstream,Sihor,TE,17,314,,2680,,2570,I,329
142,GJ04MH0142,FARADI,1963,Mandvi,Kachchh,TE,17.4,2017,466,6179,1720,5494,I,502
143,GJ04MH0143,GHELO(S),1963,Ghelo,Jasdan,TE,19.41,883,351.29,15750,2.85,15120,I,878
144,GJ04MH0144,PIPRALA,1963,Piparala,Dhari,TE,15,701,,1362,,1137,I,245
145,GJ04MH0145,SAPADA,1963,Bhageri,Jamnagar,TE,20.47,1828,,7110,2440,6550,I,807
146,GJ04LH0146,SHIVSAGAR,1963,T/Keri,Jasdan,TE,13.55,220,,3630,1400,3290,I,499.49
147,GJ04MH0147,THORALIA MI TANK,1963,T/Shetrunji,Talaja,TE,18,640,,3640,,3280,I,535
148,GJ04MH0148,UMRI,1963,T/Sabarmati,Danta,TE,17,154,19,1513,,1365,I,312
149,GJ04MH0149,VAMAKA,1963,Vamaka,Bhachau,TE,21.25,183,145,680,,680,I,212
150,GJ04LH0150,WADATHARAWADA,1963,Local Stream,Anjar,TE,12.5,1018,,1008,,819,I,288
