Sl    No,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
31,KA06MH0031,Kanva Dam,1946,Kanva,Channapatna,TE,22.57,1422,212.29,23880,4370,22710,I,395
32,KA06LH0032,Boodikere Tank,1950,Local halla,Channagiri,TE,12,540,141.9,1490,329,1350,I,85.81
33,KA06MH0033,Bullapura Tank,1952,Kumadavati River,Hirekerur,TE,18,114.6,18.62,706.2,80.1,642,I,21.7
34,KA06LH0034,K.Honnamachanahalli,1952,Local Halla,Kunigal,TE,10,630,127.26,5210,1111,4750,I,93.98
35,KA06LH0035,Yerakasandra Tank,1952,Local Halla,Tumkur,TE,10.6,600,157,5600,971,5300,I,149.62
36,KA06HH0036,Tungabhadra Dam,1953,Tungabhadra,Hospet,"PG,TE",49.39,2443,1164,3157497,349230,3157497,"I,H",18408
37,KA06MH0037,Neerasagara Dam,1955,Bedtinala,Hubli & Dharwad,TE,24.6,1158.25,761,28924,4387,26170,S,1048
38,KA06MH0038,Areshankar,1957,Areshankar,Bijapur,PG.TE,19.2,1189,129.32,8586.45,2250,7218.7,I,1036.39
,KA06MH0039,Chickkahole,1958,Chickkahole,Chamarajanagar,"PG,TE",27.53,756,53.08,10648,1620,10534,I,765
40,KA06MH0040,Ramanahalli tank,1958,Krishna Basin,Sindagi,TE,16.5,1619,830.37,14469,4620,7787,I,2377
41,KA06HH0041,Nugu Dam,1959,Nugu,H.D.Kote,"PG,TE",43.58,637.65,342.96,154042,14129,129850,"I,H",566
42,KA06LH0042,Parashuramapura New Tank,1959,Malenurahalla,Challakere,TE,12.19,1650,106,5200,2690,4270,I,604.64
43,KA06MH0043,Kalasakoppa Tank,1960,Kalasakoppa,Bagalkot,PG.TE,15.8,585,96.87,6820.3,2700,6481.2,I,237.86
44,KA06LH0044,Babaleshwara Tank,1961,Krishna Basin,Sindagi,TE,12.11,975,91.14,1905,7288,1362.8,I,681.86
45,KA06MH0045,Jawahar Dam,1961,Shiruguppi,Nippani,"PG,TE",21.64,676.16,221.32,1840,400,1270,S,291.62
46,KA06LH0046,Makhanpur Tank,1961,Makhanpur,Bijapur,"PG,TE",13.75,951,71.29,2694.4,970.6,2530,I,353.96
47,KA06LH0047,Nagathan Tank,1961,Nagathan nala,Bijapur,PG.TE,10.63,1125,68.5,2775.02,1295,2412.57,I,249.18
48,KA06LH0048,Gundwan tank at Site-2,1962,Gundwan  -II,Bijapur,PG.TE,11.21,690,52.07,1840.5,704.2,1721,I,465.58
49,KA06MH0049,Rakkaskop Dam,1962,Markandeya,Belgaum,"PG,TE",26.34,358.37,431.38,16620,3500,16116,S,311.53
50,KA06MH0050,Gayathri Reservoir,1963,Suvarnamuki,Hiriyur,"PG,TE",17.07,1021.53,9500,27600,7930,18100,I,442
51,KA06MH0051,Ambligola Tank,1964,Vrushbhavathi,Shikaripur,TE,20.77,881,12300,12390,4450,11700,I,262.68
52,KA06LH0052,Basavapattana,1964,Basavapattana,Bagalkot,PG.TE,14.16,90,18.29,1373.4,458,1263.4,I,241.96
53,KA06MH0053,Dharma Reservoir,1964,Dharma Nala,Mundagod,TE,23.25,1448.2,1789.93,23240,6530.6,22240,I,707.81
54,KA06LH0054,Krishyal Tank,1964,Krishyal,Bijapur,PG.TE,10.91,730,71.29,1618,704.8,1458.65,I,85.83
55,KA06HH0055,Linganamakki Dam,1964,Sharavathy,Shimoga,"PG,TE",61.26,2749.29,4080,4435350,317280,4293940,H,6834
56,KA06LH0056,Sulkod Tank,1964,Sulkod Nala,Bijapur,PG.TE,10.9,762.2,69.81,1341.3,577.1,1220,I,576.83
57,KA06HH0057,Talakalale Dam,1964,Sharavathy,Shimoga,PG,62.48,353.6,320,129610,7680,13790,H,232
58,KA06HH0058,Bhadra Dam,1965,Bhadra,Shimoga,"PG,TE",76.81,1708,2525000,2025870,117250,1785000,"I,H,S",3020.95
59,KA06MH0059,Hebbahalla Dam,1965,Hebbahalla,H.D.Kote,TE,19.2,996.65,982.73,11978,3160,8190,I,311.5
60,KA06LH0060,Kadatana Begewadi Tank,1965,Local Nala,Khanapur,TE,13.55,594.5,42.4,1041.9,344,910,I,69.37
