Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1261,MH09LH1261,WALKESHWAR,1991,Local Nallah,Nagpur,TE,10.5,1422,,2145,96.35,2074,I,124.91
1262,MH09MH1262,OTURVAGHADARA,1991,Ramnagar,Junnar,TE,15.48,402,,0.99,,0.95,I,127.28
1263,MH09MH1263,SHIVANI,1991,Local Nallah,Shirala,TE,16.23,1014,138,1.69,357,1.5,I,132
1264,MH09MH1264,TALOSHI,1991,Local Nallah,Igatpuri,TE,20.75,317,,1390,,1350,,138
1265,MH09LH1265,SURABARDI,1991,Local Nallah,Nagpur,TE,11.74,945,,2365,75.39,2285,I,140.04
1266,MH09MH1266,GHONSHI,1991,Local Nallah,Udgir,TE,15.55,820,103,1240,35,1160,I,150
1267,MH09MH1267,DATTAPUR,1991,Local Nallah,Kalamb,TE,15.18,404,,1680,,1600,I,154
1268,MH09LH1268,BHURIKAVATHE,1991,Local Nallah,Akkalkot,TE,14.8,,,1840,,1840,I,161.62
1269,MH09LH1269,GAULANE,1991,Local Nallah,Nahik,TE,14.76,601,,1040,,930,,200.3
1270,MH09MH1270,SAWANGIMALI -1,1991,Local Nallah,Mehkar,TE,18.65,403,173,1730,313,1623,I,214
1271,MH09MH1271,JAHUR,1991,Local Nallah,Mukhed,TE,15.02,939,152,1470,,1330,I,231
1272,MH09MH1272,ADARE,1991,Local Nallah,Kankawali,TE,29.8,445,547,3424,250,3289,I,242.81
1273,MH09LH1273,KUNJUR-II,1991,Local,Bhusawal,TE,10.98,1290,,1100,,930,I,243
1274,MH09MH1274,PENDHARI,1991,Local Nallah,Wani,TE,16,470,134,2718,554,2568,I,244
1275,MH09MH1275,KHAIRE,1991,Local Nallah,Mahad,TE,28.09,253,215,2150,23,2017,I,339
1276,MH09MH1276,KUTTARWADI,1991,Kinhariver,Pathardi,TE,15.52,1600,,1820,,,I,550
1277,MH09MH1277,FONDSHIRAS,1991,Local Nallah,Malshiras,TE,16.03,430,13,2940,,2940,I,725
1278,MH09MH1278,VIDRUPA,1991,Vidrupa,Shindkhed Raja,TE,16.36,690,,,,,I,920
1279,MH09LH1279,TERVANMEDHE,1991,Local Nallah,Sindhudurg,PG,13,274,242,2025,660,585,I/H,1307
1280,MH09MH1280,LAMKANI,1991,Panzara,Dhule,TE,19,1086,223,3340,106,2850,I,1820
1281,MH09MH1281,TITHAWALI,1992,Local Nallah,Vaibhavwadi,TE,18.1,225,107,1733,1210,1723,I,34.17
1282,MH09MH1282,NAGYASAKYA,1992,Panzan,Nandgaon,TE,23.09,1440,292,15620,4050,11240,I,51.55
1283,MH09MH1283,PEDGAON,1992,Local Nallah,Hingoli,TE,15.58,202,,972.2,,915.9,I,90.67
1284,MH09MH1284,KHIRAD,1992,Local Nallah,Kalwan,TE,19.99,230,132.41,1400,210,1330,I,123
1285,MH09MH1285,NANDURDE,1992,Local Nallah,Shirpur,TE,21.06,545,360,3890,,3890,I,130
1286,MH09MH1286,SANAMTEMB,1992,Local Nallah,Sawantwadi,TE,21.3,670,67,2450,1700,2390,I,181.71
1287,MH09MH1287,CHINCHWAD,1992,Local Nallah,Peth,TE,21.3,374,217,2020,38,1980,,183.29
1288,MH09LH1288,METHI,1992,Local Nallah,Sindkhede,TE,10,2200,82,1000,,680,I,192
1289,MH09MH1289,VIHIRGAON,1992,Local Nallah,Pandharkawada,TE,15.54,930,317,3179,989,3027,I,226
1290,MH09LH1290,PIMPALGAON,1992,Local,Jamner,TE,10.06,540,,980,69.5,900,I,238
