"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
721,MP08LH0721,KALYANPUR,1991,Local,Anuppur,TE,11.19,690,943,802,405,642,I,40.75
722,MP08MH0722,BHAMAT,1991,Local,Ratlam,TE,26.5,370,-,2770,428,2470,I,130
723,MP08LH0723,KHOKHARA,1991,Local,Chicholi,TE,11.92,778,,1104,438,933,I,58
724,MP08LH0724,AMGAON PONGER,1991,Local,,TE,13.36,853.65,-,1893,568,1550,I,141.51
725,MP08LH0725,TAKLIKHEDA,1991,Local,Dewas,TE,10.55,1260,-,1715.3,665.5,1557.2,I,77
726,MP08MH0726,MANJIKHEDI,1991,Local,Sehore,TE,19.76,832.1,-,2740,690,2556,I,88.46
727,MP08LH0727,AGAR AGARI,1991,Local,Biaora,TE,11.5,1676,-,2301,855,2108,I,78
728,MP08MH0728,UMRA NALLA,1991,Local,Chhindwara,TE,18.6,1020,220.23,3032,886,2604,I,124
729,MP08MH0729,CHINNOD,1991,Local,Karera,TE,15.51,465,-,2013,920,1668,I,144
730,MP08LH0730,BHAWANIKHEDA,1991,Local,Vidisha,TE,11.37,330,73,2450,955,2282,I,40
731,MP08MH0731,DEOGAON,1991,Local,Tamia,TE,17.43,1410,142.17,412,1383,378,I,182.8
732,MP08LH0732,GARETHIA,1991,Local,Bhopal,TE,14.9,2438.42,448,14822,5340,12680,I,201
733,MP41HH0733,GAMBHIR (PHE),1991,Gambhir,Ujjain,PG/TE,32,1230,637200,637200,9900,6372,WS,6950
734,MP40MH0734,TONS BARRAGE(MPSEB),1991,Tons,Satna,PG,20.5,4855,-,35427,22050,31600,Hydel,13868
735,MP08LH0735,HYDRAYASAHA,1991,Local,Mandla,TE,13.33,754,-,1100,-,-,I,-
736,MP08MH0736,UNNAI,1991,Local,Jhabua,TE,15.7,360,,2007,,,I,103.97
737,MP08MH0737,KALAPIPAL,1992,Local,Jhabua,TE,28.1,450,-,2010,35,1780,I,104.05
738,MP08MH0738,BHORWADA TANK,1992,Local,Barwani,TE,18.74,310,-,449,99.1,445,I,309.09
739,MP08MH0739,UMARHAR,1992,Local,Sidhi,TE,18.1,230,1250,1225,125,1110,I,68
740,MP08MH0740,GOVINDPURA,1992,Local,Raghogarh,TE,16.43,526,-,797,243.1,760,I,42.59
741,MP08MH0741,NOOSA,1992,Local,Dindori,T E,18.68,701,,920,260,814,I,59
742,MP08MH0742,BORI,1992,Local,Shajapur,TE,15.63,703,80,1147,380,1054,I,51
743,MP08MH0743,JHAMDHAR,1992,Local,Sidhi,TE,17.37,235,1396,1522,430,1399,I,66
744,MP08MH0744,MORDHI,1992,Local,Alirajpur,TE,15.9,495,98,1855,475,1553,I,131
745,MP08LH0745,KORAR,1992,Local,Sidhi,TE,14.8,420,1440,2019,499,1888,I,25
746,MP08MH0746,KHAPABIHARI,1992,Local,Chhindwara,TE,18.7,680,90.78,1513,668,1387,I,65.93
747,MP08MH0747,BHAMORI TANK,1992,Local,Bhamori,TE,16.15,406,-,364,862,245,I,174.28
748,MP08LH0748,DHAMOI,1992,Local,Jhabua,TE,10.06,440,-,7345,863,6672,I,429.5
749,MP08MH0749,RANIPUR,1992,Local,Gho'dongri,TE,23.86,774,,9650,942,9350,I,
750,MP08MH0750,BISHANDA,1992,Local,Sidhi,TE,23.5,141,5983,6539,1020,5983,I,152
