"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
151,GJ04LH0151,BARANDA,1964,Local River,Dayapar,TE,13.45,725.57,111.73,1630,283.02,1300,I,351.83
152,GJ04MH0152,BHADAR,1964,Bhadar,Gondal,TE/PG,29.26,4429,1735,188140,44650,187910,I & S,5660
153,GJ04MH0153,BURKHAN,1964,Burkhan,Naliya,TE,16.01,927,510,2690,,2690,I,402
154,GJ04MH0154,HASANPUR,1964,Lol,Junagadh,TE,21.53,408,2839,8530,,8389,S,488
155,GJ04MH0155,KANZARA,1964,Phot,Kanazara,TE,15.77,1093,807.83,2940,1100,2050,I,637
156,GJ04LH0156,RAKHADI,1964,Local Stream,Kachchh,TE,13.02,2110,909,2070,492,1870,I,484
157,GJ04MH0157,THORIALI-LIMDI-BHOGAVO,1964,Limbadi,Sayla,TE,20,2740,1099,30000,,22000,I & S,1471
158,GJ04MH0158,VASATAVA,1964,Khari River,Bhachau,TE,22,157,102.76,1960,303.48,1740,I,232
159,GJ04LH0159,WAGHA PADDHAR,1964,Local Stream,Kachchh,TE,12.79,609,247,630,116,510,I,230
160,GJ04MH0160,BHADRA,1965,Local Stream,Kachchh,TE,15,1671,1065,5240,3639,4240,I,814
161,GJ04HH0161,DANTIWADA,1965,Banas,Dhanera,TE/PG,61,4832,1418,464000,,444000,I & C,
162,GJ04MH0162,KAMALPURRNAKA,1965,Kotar,Lunawada,TE,24,186,,1877,,1222,I,203
163,GJ04LH0163,KATHODIA,1965,Kotar,Godhara,TE,12,1780,,528,,481,I,42
164,GJ04LH0164,PIPARALA,1965,Piparala,Dhari,TE,14.69,701.22,102,1255.73,570,1139.3,I,244.97
165,GJ04MH0165,ROJKI,1965,Rojki,Mahuva,PG,24.46,1627,,12000,1900,8270,I,1094
166,GJ04MH0166,SANKROLI,1965,Sankaroli,Vadia,TE,19,1670,1108,11000,,10300,I,1019
167,GJ04MH0167,WASTHAWA,1965,Wasthava,Bhacau,TE,25,284,,2200,,1955,I,281
168,GJ04MH0168,BALAMDI,1966,Bqalambhadi,Kalawad,TE,18,366,175,8370,,7422,I,941
169,GJ04LH0169,BAMBHANKA,1966,Local Stream,Rapar,TE,11.68,1335.57,127.26,1558,544,1274,I,308.74
170,GJ04LH0170,DHAMNOD,1966,Kotar,Shahera,TE,12,725,269.7,1890,82.5,1800,I,146
171,GJ04MH0171,SURKHAN,1966,Surkhan,Kachchh,TE,20,978,46,4020,418,3180,I,1289
172,GJ04LH0172,ABHLOD,1967,Kotar,Dahod,TE,10,1408,241.47,650,571,600,I,104
173,GJ04LH0173,DEVALIA,1967,Local Stream,Kachchh,TE,13,2514,77,1660,683,1270,I,234
174,GJ04MH0174,DIJIO,1967,Wangha,Khedbrahma,TE,22,731,30,1726,,1330,I,228
175,GJ04LH0175,FACHARIA,1967,Local Stream,Facharia,TE,10.76,627.99,201.42,470,127,320,I,118.93
176,GJ04MH0176,KHODIYAR,1967,Shetrunji,Dhari,TE,29.26,500.09,47.57,11650,2260,11300,I & S,2409
177,GJ04LH0177,RATADIA,1967,Local Stream,Ratadia,TE,10.48,1805,503.74,1300,2209.5,1115,I,117.17
178,GJ04MH0178,SAPDA,1967,Bhageri,Jamnagar,TE/PG,26.82,2172,650,5560,780,5270,I,807
179,GJ04HH0179,SHETRUNJI KHODIAR,1967,Shetrunji,Dhari,TE/PG,36.5,497,167,32220,,32220,I & S,2409
180,GJ04MH0180,VARTU- I,1968,Vartu,Bhanvad,TE/PG,28.34,2331,585,11800,3430,11560,I,1557
