"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
1,GJ04LH0001,BHADHAKA,1868,Kotar,Goddhra,TE,14,81,,1440,,1028,I,202
2,GJ04MH0002,PANELIA,1882,Local Stream,Jasdan,TE,15,573,,755,1700,755,I,260
3,GJ04LH0003,REVANIA,1882,Goma,Jasdan,TE,10,554,,2182,,2182,I,172
4,GJ04MH0004,AJWA,1892,Surya,Vadodara,TE,17.07,4390,,63430,14000,63430,S,243.84
5,GJ04MH0005,LALPARI,1895,Lalpari,Rajkot,TE,18,734,,9600,,7936,I & S,1050
6,GJ04MH0006,VERI,1900,Veri,Gondal,TE,15,2385,562,10252,3578,6175,I & S,1644
7,GJ04MH0007,KHAMBHALA,1901,Tokaniya,Ranavav,TE,21.03,700,,15365,2688,15328,S,344
8,GJ04LH0008,VIJARKHI,1901,Fulzar-Nani,Jamnagar,TE,11,1341,,10020,,10010,I,453
9,GJ04MH0009,ADHIA,1902,Beti,Jasdan,TE,15,1829,,2970,,2040,I,429
10,GJ04MH0010,ALANSAGAR,1902,Bhadar,Jasdan,TE,19,655,,12740,,12606,I,487
11,GJ04LH0011,HANSHTHAL,1902,Local Voklo,Khambhalia,TE,12,122,5640,5640,,3940,I,390.76
12,GJ04LH0012,MOLDI,1902,T/Machhu,Chotila,TE,12,1440,3115,2265,,2265,I,181
13,GJ04LH0013,RAJAVADALA,1902,Bundanpuri,Jasdan,TE,11,650,,1900,,1900,I,377
14,GJ04MH0014,MOTA  ANKADIA,1903,Local Stream,Amreli,TE,15,2005,216,1189.46,650,1114.69,I,242
15,GJ04MH0015,CHIMNABAI-LAKE,1906,Rupen,Kheralu,TE,15,4840,,17880,,17880,I,
16,GJ04MH0016,PANELI,1906,Fulzar,Upleta,TE,15,3330,613,19820,3700,12635,I,1180.05
17,GJ04MH0017,ANANDPAR,1907,T/Aji,Rajkot,TE,15,231,43,2266,2400,1900,I,
18,GJ04MH0018,KUVADWA,1908,T/Machhu,Rajkot,TE,16,534,108,2020,1580,2020,I,24
19,GJ04LH0019,SAVLI,1910,Local Stream,Kapadvanj,TE,11,2301,,4875,,4875,I,204
20,GJ04MH0020,DHANORA,1911,Local Stream,Savli,TE,15,1829,37.99,3570,,3050,I,425.17
21,GJ04LH0021,MOTA BANDHARIA,1911,Salal,Amreli,TE,10,2843,,1682,,1590,I,840
22,GJ04MH0022,MUVALIA,1911,Dudhimoti,Dahod,TE,20,544,622,6783,,4036,I,1019
23,GJ04MH0023,DOSWADA,1912,Mindhola,Songadh,TE,17.38,573,,4950,1333,4746,I,899
24,GJ04MH0024,LIMLA,1912,Khari,Prantij,TE,15,427,231,8350,1700,8350,I,1503
25,GJ04LH0025,VANGROLI,1912,Vehla,Thabra,TE,11.5,2126,,5999,,5595,I,218
26,GJ04LH0026,ZINZARI,1912,Vehla,Thabara,TE,11.5,2126,,5999,,5595,I,218
27,GJ04MH0027,FAKIRWADI,1913,Local River,Bhuj,TE,18.11,408,253,980,,980,I,65
28,GJ04LH0028,DHAMELI,1914,Local,Lathi,TE,12.5,640,,1987,,1694,I,
29,GJ04MH0029,RAMDHANI,1914,Local,Sihor,TE,18,275,,2040,,2040,I,306
30,GJ04LH0030,PICHHAVI,1916,Sangavad,Kodinar,TE,10.5,2866,,5069,,5033,I,499
