"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
91,MP08MH0091,ARI,1952,Local,,TE,19.5,1585,,15300,3115,12890,I,240
92,MP08LH0092,NOONPANI,1952,Local,Damoh,TE,12.15,670,-,750,-,700,I,61.6
93,MP08LH0093,SIRSA,1953,Koil,Gwalior,PG,11.89,780,-,7381,278.9,7206,Feeder,37.13
94,MP08MH0094,GOPALPURA,1954,Local,Mandsaur,TE,18.9,792.48,-,5657,2007,5269,I,216
95,MP08LH0095,SARLAI,1955,Local,Barwaha,TE,10.66,165,-,1118,110,1078,I,50.96
96,MP08MH0096,POIADONGER,1956,Local,Mandsaur,TE,19.26,751,-,2197,107.4,2061.2,I,104
97,MP08LH0097,DHANDIBADA,1956,Local,H'bad,TE,10.3,754,-,767,263,710,I,40
98,MP08LH0098,GHATERA,1956,Karnari,Vidisha,TE,14.6,1560,468,3580,1041,3481,I,91
99,MP08MH0099,MOLA DAM,1956,Local,Ashok Ngr.,TE,25,667.57,-,13050,2150,11700,I,396
100,MP08MH0100,SAMPNA,1956,Sapana,Betul,TE,21.95,1790,,16903,2538,14305,I,159.3
101,MP08MH0101,DUKRIKHEDA,1956,Local,H'bad,TE,18.67,1981,,12229,35220,11518,I,369
102,MP08MH0102,JITUDHANA,1956,Local,Betul,TE,20.54,390,-,973,,,I,61.35
103,MP08LH0103,KADODIA,1957,Local,Ujjain,TE,10.06,840,-,1105,337,1065,I,72
104,MP08LH0104,BARBATPUR,1957,Local,Goharganj,TE,10.08,800,-,1031,370,963,I,40
105,MP08LH0105,BANDA BEDRA,1957,Local,N'Garh,TE,12.2,731.32,-,2454,717,2429,I,77
106,MP08LH0106,RAIPURA,1958,Local,Sehore,TE,10.3,1415.38,-,1307,550,1245,I,38.5
107,MP08LH0107,SUDRA,1958,kuhynala,Raisen,TE,11.58,445,-,1646,657,1520,I,97
108,MP08LH0108,SHIVGARTH BEDLI,1958,Local,Ratlam,TE,14.86,492.5,-,4323,740,4085,I,136
109,MP08LH0109,DHAMDHUSAR,1958,Charua,Goharganj,TE,10.05,1100,-,2577,1108,2435,I,82
110,MP08LH0110,DAHOD,1958,Bhoghvi,Goharganj,TE,13.73,780,-,19364,6040,17665,I,533
111,MP08LH0111,JALHERIDHANA,1958,Local,Javera,TE,14.2,355,-,1000,-,720,I,98
112,MP08LH0112,PIPARIYA JUGRAJ,1959,Local,Javera,TE,11.27,797,-,510,283,430,I,78.8
113,MP08MH0113,MOTI NALLA,1959,Local,Damoh,TE,15.64,732,-,2900,494,1700,I,163.5
114,MP08MH0114,GAGAN,1959,Local,Barwaha,TE,18.28,880,-,8340,1530,7933,I,366
115,MP08MH0115,JABERA,1959,Local,Damoh,TE,20.03,1587,-,4050,1821,3390,I,147.5
116,MP08HH0116,MORWAN,1959,Local,Mandsaur,TE,31.08,1133.85,-,16460,3210,15760,I,219
117,MP08LH0117,LILGI RESERVOIR,1960,Local,Satna,TE,13.72,960,-,2209,460,2010,I,171
118,MP08MH0118,JALGAON,1960,Local,Baihar,TE,16.46,725,96.84,2330,587,2170,I,39.16
119,MP08LH0119,CHAWARPANI,1960,Local,,TE,12.95,1456,-,3750,1110,3600,I,202.53
120,MP08LH0120,SAMALDO,1960,Local,Dhar,TE,12.9,823,-,4880,1260,4680,I,198
