Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
991,MH09LH0991,WALWAD,1983,Local Nallah,Barshi,TE,14.68,822,118,1190,,920,I,440
992,MH09LH0992,TAWADI,1983,Local Nallah,Barshi,TE,11.9,1811,76,1230,,1040,I,440
993,MH09LH0993,NIMGAON (MADHA),1983,Local Nallah,Madha,TE,10.4,1202,96,1720,,1460,I,446
994,MH09MH0994,KESHAVSHIVANI,1983,Local Nallah,Shindkhed Raja,TE,16.1,588,140,2384,731,2128,I,464
995,MH09LH0995,GORMALE,1983,Local Nallah,Barshi,TE,10.87,660,,1740,,1400,I,547
996,MH09MH0996,DUDHEBHAVI,1983,Local Nallah,Kavathemahakal,TE,19.33,480,26,3980,30,3450,I,568
997,MH09MH0997,PANCHANADI,1983,Local Nallah,Dapoli,TE,27.52,250,109.61,1738,209.12,1461,I,731
998,MH09MH0998,BELAPUR BADGI,1983,Kas,Akola,TE,19.93,1212,151.39,2677,488,2345,I,740
999,MH09LH0999,DARFAL BB,1983,Local Nallah,Northsolapur,TE,12.15,,,2890,,2890,I,744.96
1000,MH09LH1000,CHANDAI,1983,Chandai Nalla,Varora,TE,11.91,1830,181,13200,523,10690,I,842.85
1001,MH09LH1001,MAMDAPUR,1983,Local Nallah,Barshi,TE,14.5,1189,101,2520,,1830,I,878
1002,MH09MH1002,SORDI,1983,Local Nallah,Jath,TE,18.08,620,219,4400,712,3350,I,921
1003,MH09MH1003,ALANDI,1983,Alandi,Nasik,TE,29.3,1690,2782,29600,55900,27820,I,1002
1004,MH09MH1004,TURORI,1983,Turori,Latur,TE,17.5,1387,355,7660,2210,5737,I,1096
1005,MH09MH1005,BORNA,1983,Borna,Ambejogai,TE,22.3,866,460,10908,2191,9060,I,1249
1006,MH09HH1006,WADAJ,1983,Meena,Junnar,TE/PG,30.7,1875,1009,36000,467,33200,I,1426
1007,MH09LH1007,CHARGAON,1983,Chargaon,Varora,TE,14.4,3065,428,21700,12921.9,19866,I,1450.5
1008,MH09LH1008,POTHARA,1983,Pothara,Hinganghat,TE,14.21,2220,318,38400,13900,34720,I,1732
1009,MH09HH1009,BURAI,1983,Burai,Sakri,TE,30.6,1013,168,21330,31440,14210,I,2149
1010,MH09HH1010,ERAI,1983,Erai,Chandrapur,TE/PG,30,1620,985,226500,58000,193000,S,2610
1011,MH09HH1011,BHATSA,1983,Bhatsa,Shahapur,TE/PG,88.5,959,18250,976150,2725,942115,I/S,5342
1012,MH09MH1012,LOWER PUS,1983,Pus,Mahagaon,TE,28,3346,6167,81160,15890,59630,I,5437
1013,MH09MH1013,VIBHUTIWADI,1983,Local Nallah,Atpadi,TE,16.21,1027,141,1.32,338,1.15,I,
1014,MH09LH1014,HANJAGI,1983,Local Nallah,Akkalkot,TE,12.1,811,144,1630,,1420,I,
1015,MH09MH1015,KALAMBA,1983,Katyani,Kolhapur,TE,16.26,1237,,2750,631,,I,
1016,MH09LH1016,CHORKANDA,1983,Local Nallah,Chandrapur,TE,12.22,1029,,2050,,,I,
1017,MH09MH1017,KARLE,1984,Local Nallah,Shrivardhan,TE,23.5,413,225.07,2080,237,2050,I,38
1018,MH09MH1018,KAWADASAR,1984,Local Nallah,Dindori,TE,18.15,340,169.5,1680,61,1650,,57.99
1019,MH09MH1019,AUSARE,1984,Local Nallah,Karjat,TE,20.62,552,170,1960,281,1730,I,58
1020,MH09MH1020,DHASAI,1984,Local Nallah,Murbad,TE,20.5,597,242.92,5012,1139.3,4470,I/S,60.35
