Sl    No,Project Identification Code,Name of Dam,Operated & Maintained by,Longitude of dam,Latitude of dam,Year of completion,River,Nearest city,seismic zone,Type of dam,"Height above
lowest foundation (m)",Length of dam (m),Volume content of dam (103 m3),Gross Storage capacity (103 m3),"Reservoir
Area (103 m2)",Effective Storage capacity (103 m3),Purpose,Designed Spillway capacity (m3/sec)
82,OR10MH0082,PRATAPPUR,,"800 - 24' - 00"" E","190 - 46' - 20"" N",1983,Vansadhara,Muniguda,-,TE,24,563,172.5,869,830,830,I,121
83,OR10MH0083,PUJILADU,,"830 - 30' - 00"" E","200 - 07' - 15"" N",1983,Pujiladu nalla,adanpur Ramp,-,TE,18,823,94,570,150,460,I,71.6
84,OR10MH0084,RAMIALA,,"650 - 35' - 59"" E","210 - 06' - 43"" N",1983,Ramiala,Kamakhyanaga,-,TE,25.35,480,514.16,86000,14750,75250,I,1845
85,OR10LH0085,BAUTIA NALLA,,"850 - 38' - 00"" E","210 - 24' - 10"" N",1984,Bautianalla,Anandpur,-,TE,12.04,731.52,83,560,231,450,I,74
86,OR10MH0086,BHALLUGHAI,,"840 - 36' - 00"" E","190 - 13' - 00"" N",1984,Bhallugahi,Chikiti,-,TE,16.15,635.8,149.87,1080,275,870,I,80
87,OR10LH0087,GARH,,"860 - 03' - 00"" E","200 - 17' - 00"" N",1984,Garh nalla,Anandpur,-,TE,12.95,688,,2720,562,1982,I,194
88,OR10MH0088,GAYAPATHAR,,"850 - 19' - 00"" E","200 - 18' - 00"" N",1984,Gayapathar nalla,Bhapur,-,TE,16.74,1328,163.27,710,260,530,I,73.05
89,OR10LH0089,GURLIJORE,,"840 - 07' - 36"" E","220 - 03' - 07"" N",1984,Gurlijore,Sundargarh,-,TE/PG,12.19,593,56.23,2180,604,2060,I,205
90,OR10MH0090,JAMBONALA,,"830 - 36' - 00"" E","210 - 49' - 30"" N",1984,Jambonalla,Jharsuguda,-,TE,15.24,365.76,137.56,1444,460,1190,I,95.95
91,OR10MH0091,JHARABANDHA,,"820 - 47' - 00"" E","210 - 02' - 30"" N",1984,Trb to Ong.,Padampur,-,PG,19.8,51.75,10.51,1292,7450,952,I,614
92,OR10MH0092,KHAJURIA,,"850 - 25' - 45"" E","210 - 18' - 45"" N",1984,Khajuria nalla,Keonjhar,-,TE,17.73,670.8,123,870,297,750,I,88
93,OR10MH0093,KHANDIJHARAN,,"820 - 53' - 00"" E","200 - 46' - 00"" N",1984,Khandijharan,Paikamal,-,TE,17.03,1310.64,219.52,1980,558,1630,I,147.22
94,OR10MH0094,KUSUNPUR,,"850 - 48' - 20"" E","200 - 33' - 20"" N",1984,Bada genguti,Athagarh,-,TE,16.13,892.1,36.7,2260,780,2030,I,303
95,OR10HH0095,REMAL,,"850 - 86' - 00"" E","200 - 10' - 00"" N",1984,Remal,Anandpur,-,TE,39,1814,1020,19260,1980,15700,I/S,963
96,OR10HH0096,RENGALI,,"850 - 02' - 00"" E","210 - 17' - 00"" N",1984,Brahmani,Angul,-,PG,70.5,1040,789,5150000,378400,4400000,I/H,46960
97,OR10MH0097,TALASARA,,"840 - 07' - 00"" E","200 - 21' - 00"" N",1984,Bandajore nalla,Sundargadh,-,TE,25.82,1095,507.75,19850,3510,16650,I,820
98,OR10MH0098,TIKARPADA,,"830 - 07' - 50"" E","190 - 52' - 00"" N",1984,Sagada,Bhawanipatna,-,TE,15.2,373,120,748,190,600,I,73
99,OR10MH0099,BADABANDHA,,"850 -2 1' - 00"" E","200 - 51' - 00"" N",1985,Karanjinalla,Tangi Chowdwa,-,TE,15.22,1006,216.29,840,186,540,I,102.5
100,OR10MH0100,DUMERBAHAL,,"820 - 41' - 00"" E","200 - 51' - 00"" N",1985,Trb to Ong,Nawapara,-,TE,21.75,380,65.09,22300,7558,19320,I,815
101,OR10MH0101,GOHIRA,,"840 - 34' - 10"" E","210 - 28' - 10"" N",1985,Gohira,Sambalpur,-,TE,28,3550,,73000,1050,65350,I,1840
102,OR10LH0102,HANUMANTIA (Khurda),,"850 - 00' - 33"" E","200 - 06' - 20"" N",1985,Hanumantia,Khurda,-,TE,14.47,853,197.62,1132,18600,1330,I,66.5
103,OR10MH0103,PIPAL NALLA,,"830 - 14' - 00"" E","190 - 52' - 45"" N",1985,Tel,Bhawanipatna,-,TE,23.57,480,253,2380,445,2270,I,223.85
104,OR10MH0104,SARAFGARH,,"830 - 45' - 45"" E","220 - 10' - 45"" N",1985,Ichha,Sundagarh,-,TE,26,309.5,236.65,13750,2330,12150,I,695
105,OR10HH0105,UPPER KOLAB,,"820 - 37' - 00"" E","180 - 47' - 00"" N",1985,Kolab,Jeypore,-,PG,55,646,478.51,1215000,122000,935000,I/H/S,10020
106,OR10MH0106,ASHOK NALLA,,,,1986,Kharja nalla,Banpur,,TE,22.08,625,279.05,570,126.34,440,I,24.42
107,OR10MH0107,BAGHIRIJHOLA,,"830 - 02' - 02"" E","190 - 12' - 26"" N",1986,Gadagada nalla,Kasipur,-,TE,28.52,480,239.51,1440,141,1140,I,90.56
108,OR10MH0108,HANUMANTIA (Keo),,"850 - 24' - 00"" E","210 - 24' - 30"" N",1986,Hanumantia nalla,Keonjhar,-,TE,15.53,640,141,2434,703,2430,I,294
109,OR10MH0109,JAIGARH,,"840 - 36' - 00"" E","200 - 58' - 26"" N",1986,Jaigarh nalla,Angul,-,TE,19.31,246.88,112,1160,197.42,860,I,122.89
110,OR10MH0110,JAMUNABANDHA,,"850 - 32' - 00"" E","200 - 29' - 00"" N",1986,Gadagadi nalla,Tigiria,-,TE,15.39,866.2,214.37,540,674,530,I,144.8
111,OR10MH0111,KHASBAHAL,,"820 - 49' - 30"" E","200 - 12' - 00"" N",1986,Artatrana nalla,Khariar,-,TE,23,1075,128,40415,506,28720,I,1745
112,OR10MH0112,LIARD,,"820 - 47' - 48"" E","200 - 07' - 15"" N",1986,Baranjore nalla,Khairiar Road,-,TE,16.66,533.4,177,1230,270,970,I,270
113,OR10MH0113,RANDA,,"850 - 17' - 00"" E","190 - 65' - 00"" N",1986,Kusumi,Ranapur,-,TE,16.7,1098,247.96,2270,700,1800,I,170.36
114,OR10LH0114,RUNUGAON,,"840 - 16' - 00"" E","220 - 18' - 00"" N",1986,Sapai,Sundargarh,-,TE/PG,14.23,865,138.26,430,218,430,I,70.75
115,OR10MH0115,SATIGUDA(UKP),,,,1986,Sati Nalla,Jeypore,-,TE,26.14,1144.15,,1750,567,1520,I,424
116,OR10MH0116,SUHAGI,,"840 - 58' - 00"" E","200 - 33' - 20"" N",1986,Suhagi Nalla,Narasinghpur,-,TE,21.34,2270.55,687.13,8770,11336,7200,I,764.1
117,OR10MH0117,DEOJHARAN,,"840 - 09' - 15"" E","210 - 13' - 50"" N",1987,D.Nalla,Sambalpur,-,TE,15.58,478.53,168.22,1800,390,1370,I,103.28
118,OR10LH0118,GAIKHAI,,"830 - 31' - 00"" E","200 - 58' - 00"" N",1987,Gaikhai nalla,Nayagarh,-,TE,13.95,690,140.81,2120,193,1730,I,179.56
119,OR10MH0119,KANJHARI,,"850 - 43' - 30"" E","210 - 35' - 30"" N",1987,Kanjhari,Keonjhar,-,TE,29.5,1244,,40520,5160,34520,I,2286
120,OR10LH0120,POKHARIA,,"860 - 04' - 00"" E","220 - 28' - 30"" N",1987,Pokharia,Rairangpur,-,TE,12.8,183,83,1470,581,1100,I,138.44
121,OR10HH0121,SANKUNDESWAR,,"840 - 10' - 00"" E","210 - 35' - 00"" N",1987,Harada nalla,Sambalpur,-,TE,15.85,280.4,90.91,1100,269,840,I,120.28
122,OR10HH0122,SUNEI,,"860 - 28' - 00"" E","210 - 27' - 00"" N",1987,Sunei River,Baripada,-,TE,30,1789,1468.31,70000,7770,61600,I/H,2874
123,OR10MH0123,BANKABAL,,"860 - 18' - 00"" E","220 - 10' - 30"" N",1988,Bankabal,Baripada,-,TE,23.8,1840,628,28260,7700,25780,I,1790
