Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
811,MH09MH0811,KANDALGAON,1980,Local Nallah,Karveer,TE,19.41,670,165,1700,,1650,I,98
812,MH09LH0812,KURHA,1980,Local Nallah,Wardha,TE,10.55,1020,105,1950,710,1870,I,124
813,MH09MH0813,KHOCH,1980,Local Nallah,Mokhada,TE,22.5,430,245,2990,4140,2000,I,134
814,MH09MH0814,MANIVALI,1980,Local Nallah,Murbad,TE,18.4,643,213,4810,1133.6,4700,I,136
815,MH09LH0815,URKUNDAPAR,1980,Local Nallah,Bhivapur,TE,13.41,913,177,4936,63,4751,I,143.25
816,MH09LH0816,WAHAD,1980,Local Nallah,Kandhar,TE,13.5,660,72,895,,812,I,144
817,MH09LH0817,GANESHPUR,1980,Local Nallah,Maharkhed,TE,13.84,588,105,1060,312,980,I,154
818,MH09LH0818,DHAMANGAON DESHMUKH,1980,Local Nallah,Buldana,TE,14.7,1284,189,1840,591.21,1300,I,175
819,MH09LH0819,MANORA,1980,Local Nallah,Chandrapur,TE,11.2,890,76,1815,894,1695,I,183
820,MH09LH0820,BRANJALA,1980,Local Nallah,Bhokardan,TE,10.65,1260,88,1130,7,1030,I,197
821,MH09LH0821,NER,1980,Local Nallah,JaLocal Nallaha,TE,11.25,1174,93,1150,53,1040,I,217
822,MH09MH0822,PIMPARI (KD),1980,Khanday,M Pir,TE,15.2,555,138,1460,380,1340,I,227
823,MH09MH0823,RAHUD (CHANDWAD),1980,Tirdi,Nasik,TE,18.55,482,106.15,890,229,790,I,239.73
824,MH09MH0824,ADIVALI,1980,Local Nallah,Shahapur,TE,25.52,386,149,2220,304,2000,I,245
825,MH09MH0825,KELEWADI,1980,Local Nallah,Sangamner,TE,17.24,330,105,910,234,,I,345
826,MH09LH0826,WAGHI,1980,Local Nallah,Risod,TE,14.9,762,,2800,107,2600,I,359
827,MH09MH0827,SONDHEGHAR,1980,Palgad,Dapoli,TE,22.85,260,110,2840,620,2406,I,395.16
828,MH09MH0828,JAGDARI,1980,Local Nallah,Shindkhed Raja,TE,19.03,491,282,3030,516,2815,I,433
829,MH09LH0829,SHEVADE,1980,Local Nallah,Sindkheda,TE,10.5,1380,259,1302,,1103,I,442
830,MH09LH0830,MIRWAD,1980,Local Nallah,Jath,TE,14.4,1130,14,1580,53.16,1390,I,450
831,MH09MH0831,TALEGAONGHOGAON,1980,Southmand,Karad,TE,21.18,740,101,1590,,1380,I,504
832,MH09LH0832,HULJANTI,1980,Local Nallah,Mangalwedha,TE,12.25,807,14,1350,,1000,I,535
833,MH09LH0833,RUI CHATRAPATI,1980,Gopal Ganga,Parner,TE,10.77,420,16.73,1350,46,1070,I,565
834,MH09MH0834,SUKHANI,1980,Local Nallah,Ahmedpur,TE,16.82,1080,128.63,3830,925,3540,I,577
835,MH09MH0835,VADGAON (SATARA),1980,Mand,Khandala,TE,21.7,526,138,2970,,2560,I,638
836,MH09LH0836,KOLHE,1980,Local Nallah,Pachora,TE,12.75,1920,220,2625,,2209,I,670
837,MH09LH0837,TIKONDI (I),1980,Local Nallah,Jath,TE,14.65,1077,165,3235,65.52,2806,I,695
838,MH09LH0838,MHASWA,1980,Local Nallah,Parola,TE,14.5,1257,108,4338,627,3528,I,890
839,MH09MH0839,SAKHALINALA,1980,Sakhali nalla,Ner,TE,18.6,1108,357,7260,1685,5994,I,953
840,MH09MH0840,WHATTI,1980,Whatti,Ahmedpur,TE,17.3,1609,161.77,9512,61.15,7660,I,997
