Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
571,MH09MH0571,PAWASHI,1976,Reninalla,Kudal,TE,17.4,435,80,3256,729,3030,I,284.58
572,MH09LH0572,DEBRUL,1976,Local Nallah,Gangapur,TE,10,1400,,1975,,1789,I,290
573,MH09MH0573,MANDWA,1976,Mandwa,Dharni,TE,15.9,304,166,2920,6.77,2750,I,290
574,MH09LH0574,MANYARKHADA,1976,Local Nallah,Jalgaon,TE,12.1,797,,1718,55,1646,I,309
575,MH09LH0575,PARDESHWADI,1976,Local Nallah,Gangapur,TE,10.5,2460,,2190,,2000,I,323
576,MH09MH0576,RAGHUCHIWADI,1976,Local Nallah,O'bad,TE,16.55,646,,5670,552,1340,I,354
577,MH09MH0577,TONGALPHODI,1976,Kharpani,AnjangaonSurji,TE,16.8,540,137,1440,264,1210,I/S,395
578,MH09MH0578,SHALGAON,1976,Local Nallah,Kadegaon,TE,15,900,,2280,,2060,I,406
579,MH09MH0579,TALSANGI,1976,Bhavani,Mangalwedha,TE,15.24,792,,2420,,2420,I,411
580,MH09MH0580,ASOLA,1976,Local Nallah,Manora,TE,18,2959,153,3560,701,3310,I,414
581,MH09MH0581,KHAPERKHEDA,1976,Kasari,Shahada,TE,18.3,495,770,2700,,2450,I,424
582,MH09LH0582,MOTEWADI,1976,Local Nallah,Shirur,TE,13.07,533,9,1090,,830,I,479
583,MH09MH0583,GOVAPUR,1976,Behedi,Kalwan,TE,25.38,275,281,3540,270,1970,I,480.95
584,MH09MH0584,BORDAIVAT,1976,Bhardi,Kalwan,TE,18.6,318,132.8,1971,392,1654,I,509.77
585,MH09LH0585,SENAD,1976,Senad Nalla,Mahagaon,TE,11.5,825,179,2300,500,2070,I,516
586,MH09MH0586,RAIWADI,1976,Local Nallah,Kavathemahakal,TE,20.35,867,203,2160,,1880,I,523
587,MH09MH0587,OTUR,1976,Markand,Kalwan,TE,21.36,441,149.54,2820,462.78,2120,I,660.18
588,MH09MH0588,DEVBHANE,1976,Bhat,Dhule,TE,16.4,1106,88,2830,,2348,I,728
589,MH09MH0589,PANCHADHARA,1976,Panchadhara,Wardha,TE,27.41,1035,656,9680,1670,8750,I,809.1
590,MH09MH0590,KANHOLIBARA,1976,Krishna,Hingana,TE,21.05,1365,115.3,22213,333,19820,I,1141
591,MH09MH0591,DIGHANCHI,1976,Local Nallah,Atpadi,TE,15.8,880,169,4000,,3330,I,1301
592,MH09HH0592,VIR BAJI PASALKAR,1976,Mosi,Velhe,TE/PG,63.4,785,10550,374000,24200,275000,I/H,1416
593,MH09HH0593,ALWANDI,1976,Vaitarna,Igatpuri,TE,37.8,2548,930,353750,37130,331110,I,1420
594,MH09HH0594,ADHALA,1976,Adhala,Akola,TE,40,623,1437,30000,2306,27600,I,1582
595,MH09MH0595,TIRU,1976,Tiru,Osmanabad,TE,21,1851,311,23320,690,15401,I,1985
596,MH09HH0596,KAMTHIKHAIRY (PENCH),1976,Pench,Nagpur,TE,32,1876,4928,230000,23653,180000,I/S,12000
597,MH09HH0597,JAYAKWADI,1976,Godavari,Paithan,TE,41.3,10415,13410,2909000,39800,2170000,I/H,18153
598,MH09LH0598,DAHIFAL,1976,Local Nallah,Bhoom,TE,12.1,1326,,1863,747,1694,I,
599,MH09LH0599,CHINCHOLIJOGA,1976,Local Nallah,Ausa,TE,12.49,1221,186,2642,969,2381,I,
600,MH09LH0600,PENTIPAKKA,1977,Local Nallah,Gadchiroli,TE,11.79,638,,883,520,535,I,66
