Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
691,MH09LH0691,NITRUD,1978,Local Nallah,Majalgaon,TE,10.28,1290,,1688,,1569,I,217
692,MH09LH0692,WANGI,1978,Local Nallah,Majalgaon,TE,12.05,872,,1637,,1506,I,220
693,MH09LH0693,DASKHED,1978,Local Nallah,Patoda,TE,13.32,635,,1040,100,921,I,221
694,MH09LH0694,AMBA,1978,Local Nallah,Gevrai,TE,13.66,840,,1647,538,1516,I,225
695,MH09LH0695,ANDHORA,1978,Local Nallah,Andhora,TE,13.14,1162,94.98,1580,533.52,1450,I,231
696,MH09MH0696,TELEWADI,1978,Tr.of Shastri,Sanganeshwar,TE,23.34,370,135,2122,405,2042,I/S,231.8
697,MH09LH0697,MUNGSAPUR,1978,Local Nallah,Kannad,TE,13.25,1140,,1339,,1195,I,254
698,MH09LH0698,CHINCHOTI,1978,Local Nallah,Majalgaon,TE,13.4,1458,,2011,834,1865,I,258
699,MH09LH0699,JANUNA,1978,Local Nallah,Barshi Takali,TE,11.95,390,150,11310,404,1180,I,260
700,MH09MH0700,NANGOLE,1978,Local Nallah,Kavathemahakal,TE,15.45,636,128,1850,,1290,I,260
701,MH09MH0701,KONDGAON,1978,Local Nallah,Sudhargad,TE,22.75,400,330.19,3940,567,2790,I,280
702,MH09LH0702,ACHLER,1978,Local Nallah,Omerga,TE,13.5,135,,1127,335.3,964,I,286.28
703,MH09LH0703,GANGOTI,1978,Local Nallah,Man,TE,14.4,890,,1790,,1350,I,327
704,MH09LH0704,SATARA,1978,Local Nallah,Vaijapur,TE,12.05,1226,,1380,314,1165,I,334
705,MH09LH0705,NIMGAON,1978,Local Nallah,Gevrai,TE,10.62,817,,2117,,1895,I,343
706,MH09LH0706,SAJATPUR,1978,Local Nallah,Beed,TE,12.7,1130,,2487,821,2288,I,345
707,MH09LH0707,GHANWATPUR,1978,Local Nallah,Ghanvatpur,TE,11.7,902,161.28,2530,,2530,I,348
708,MH09MH0708,BRAHMANGAON,1978,Local Nallah,Brahmangaon,TE,15,1097,1662,1660,48,1455,I,354
709,MH09LH0709,DIGHOL,1978,Local Nallah,Kaij,TE,11.14,1460,,2230,770,1490,I,372
710,MH09MH0710,KHATKALI,1978,Local Nallah,Beed,TE,18.9,457,,2270,494,2050,I,372
711,MH09MH0711,GHOTA,1978,Local Nallah,Barshi Takali,TE,15.75,329,84,1650,575,1460,I,384
712,MH09MH0712,KHANAPUR,1978,Local Nallah,Majalgaon,TE,20.4,1435,,2990,481,2780,I,385
713,MH09MH0713,KANERWADI,1978,Local Nallah,Ambajogai,TE,21.96,332,3294,3290,54,3054,I,403
714,MH09MH0714,KAREWADI,1978,Local Nallah,,TE,22.96,,,3290,,,I,403
715,MH09LH0715,TANDULWADI,1978,Local Nallah,Kaij,TE,12.35,1210,,2720,1114,2490,I,410
716,MH09MH0716,RENGEPAR,1978,Goredoh,Deori,TE,17.17,1080,183,3760,1316,3340,I,410.88
717,MH09LH0717,CHATGAON,1978,Local Nallah,Majalgaon,TE,14.7,1428,,3667,,3405,I,440
718,MH09MH0718,MAKARDHOKADA,1978,Amb,Umrer,TE,18.81,1645,652.87,21356,322,19931,I,450
719,MH09MH0719,SHIVANI,1978,Local Nallah,Beed,TE,17.14,677,487,2680,560,2392,I,462
720,MH09MH0720,SHIRVALWADI,1978,Local Nallah,Akkalkot,TE,16.1,600,,3280,,2950,I,462
