"Sl
No","Project
Identification Code",Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
60,UP13MH0061,CHANDRAPRABHA,1966,Chandra Prabha,Varanasi,TE,23.83,1600,13200,113257,53364,93445,I,1132.57
61,UP13MH0062,GIRGITAHI,1966,Ramsutia nala,Balrampur,TE,15.18,4800,95000,9250,257380,,I,365
62,UP13LH0063,GULARIA,1966,Gularia Stream,Allahabad,TE,11.2,3200,1400,330,3050,329,I,260
63,UP13LH0064,KEOLARI,1966,Keolari,Hamirpur,TE,11.73,23000,,7570,25667,7230,I,254.06
64,UP13HH0065,MOOSAKHAND,1967,Karmnasa,Varanasi,TE,33.53,2967,175700,155771,1154515,110440,I,6164.57
65,UP13MH0066,PILI,1968,Pili,Bijanapur,TE,19,9230,253300,55300,1150000,54275,I,963.17
66,UP13MH0067,BARWATOLA,1969,Barwa,Chitrakoot,TE,19,3815,51400,24500,91050,17630,I,628.37
67,UP13LH0068,JOGENDRA,1970,Jogendra,Robertsganj,TE,10.04,1313,,1422,,,I,1.94
68,UP13LH0069,LALI,1970,Local,Robertsganj,TE,10.69,1030,,776,,,I,0.71
69,UP13MH0070,OBRA,1970,Rihnd,Robertsganj,TE/ER/PG,29.23,1956.76,140000,211050,,,Thermal,17000
70,UP13LH0071,RAJBAN,1970,Local,Robertsganj,TE,11.35,1023,,736,,,I,2.04
71,UP13LH0072,SARAI GARH,1970,Local,Robertsganj,TE,10.82,735,,735,,,I,1.13
72,UP13MH0073,CHANDRAWAL,1973,Chandrawal,Hamirpur,TE,18.2,5724,52900,34731,119200,30665,I,1252
73,UP13MH0074,JAMNI,1973,Jamni,Lalit Pur,TE,26.22,5400,,92490,247235,84020,I,2521.25
74,UP13LH0075,JHARO KHAS,1974,Local,Robertsganj,TE,12.65,905,,3541,,1785,I,3.54
75,UP13LH0076,RAMPUR PINDARIA,1974,Local,Mirzapur,TE,10.3,1260,,1212,,,I,7.25
76,UP13LH0077,BARKACHHA,1975,Local,Mirzapur,TE,14.56,570,,1742,,,I,2.04
77,UP13LH0078,GARHW A,1975,Garhwa,Chitrakoot,TE,13,980,107,2255,,1841,I,107
78,UP13MH0079,JARERA,1975,Jarera Nala,Chitrakoot,TE,15.99,347,,2590,,2552,I,114.17
79,UP13MH0080,MARO,1975,Maro,Chitrakoot,TE,16,568,115,6754,13900,5471,I,174
80,UP13MH0081,MURTA,1975,Local,Robertsganj,TE,15.8,585,,1042,,760,I,0.85
81,UP13MH0082,MURTIA,1977,Local,Mirzapur,TE,18.26,1135,,2453,,2052,I,3.97
82,UP13MH0083,ADWA,1978,Adwa,Mirzapur,TE,20.48,7906,22000,33100,166700,57770,I,3530
83,UP13LH0084,DEORI,1978,Local,Robertsganj,TE,12.26,930,,2227,,2011,I,1.75
84,UP13MH0085,KARGARA,1978,Local,Robertsganj,TE,16.84,1410,,1515,,1195,I,1.25
85,UP13LH0086,BERBETA,1979,Bhatwa Nala,Mirzapur,TE,10.5,535,,3076,,2947,I,2.98
86,UP13LH0087,CHIGAURI,1979,Local,Robertsganj,TE,10,1750,,1535,,1237,I,2.95
87,UP13MH0088,BACHARA,1980,Bachara Nala,Allahabad,TE,18.5,660,153,7390,1440,7390,I,151
88,UP13LH0089,KHABHW A,1983,Local,Mirzapur,TE,10.3,1250,,530,,,I,0.74
89,UP13MH0090,ROHINI,1983,Rohini,Lalit Pur,TE,17.82,650,,12110,,,I,290
