"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
1,MP08MH0001,TEKANPUR,1895,Local,Gwalior,TE,16.47,975,-,8293,2780,7438,I / WS,424.65
2,MP08LH0002,SARRA,1896,,,TE,13.4,743.71,,3378,1010,2763,I,
3,MP08LH0003,JAWAHARGARH,1899,Local,Sabalgarh,TE/PG,10.67,1052,-,3823,2183,3433,I,642
4,MP08LH0004,KHANPURA,1907,Local,Raghogarh,TE,14.45,720,-,4270,1064.5,3850,I / WS,113.2
5,MP08LH0005,DINORA,1907,Local,Karera,TE,12.19,3109,-,2050,-,131.44,I,13200
6,MP08LH0006,BIRPUR,1908,Local,Sabalgarh,TE,13.49,2255,-,5469,1792,5462,I,422.85
7,MP08LH0007,ANTALWASA,1908,Local,Ujjain,TE,11.89,1560,-,5830,2160,4943,I,256
8,MP08LH0008,BELGAON,1909,Local,Baihar,TE,10.67,1125,62,650,102,618,I,71.45
9,MP08LH0009,BASINKHAR,1909,Local,Baihar,TE,10.36,600,15.29,323,340,314,I,26
10,MP08LH0010,LOKPAL SAGAR,1909,Local,Panna,TE,10,2130,-,637,-,,I,51
11,MP08LH0011,BITHLEE,1910,Local,,TE,10.36,586.75,44.74,1354,620,1303,I,78.84
12,MP08LH0012,RECHHAI,1910,Local,Javera,TE,10.05,1390,-,1740,770,1670,I,76
13,MP08LH0013,KAMERA,1910,Local,Sabalgarh,TE,12,1584,-,3370,1420,3070,I,184
14,MP08LH0014,KOTA,1910,Local,Sabalgarh,TE,12.34,914,-,4493,1852.5,4106,I,125
15,MP08MH0015,ROOMAL,1910,Dargada,Seoni,TE,17.37,1290,,6400,2027.5,5690,I/F,130.39
16,MP08LH0016,JUMNERA,1910,Local,Javera,TE,11.76,1165,-,1312,-,1280,I,63.43
17,MP08LH0017,DONGER BODI,1911,Local,Baihar,TE,10.05,693,-,1190,311,1110,I,78
18,MP08LH0018,ADNER,1911,Local,Karera,TE,12.2,1280,-,7440,1880,7193,I,147.5
19,MP08LH0019,NAGDAGAJORA,1911,Local,Pichor,TE,10.98,210,-,3580,3580,3191,I,396.48
20,MP08LH0020,GORKHA BANDHA,1912,Local,Katni,TE,11.74,1280,-,1250,-,1052,I,-
21,MP08LH0021,PANAGAR,1912,Local,Jhabua,TE,11.12,570,,1710,-,1700,I,73.35
22,MP08LH0022,CHIRAIPANI,1913,Local,Damoh,TE,11.95,1575,-,2700,460,2517,I,132.5
23,MP08LH0023,KHERIA,1913,Local,Gwalior,TE,12.19,660,-,2945,743.9,2384,I,532
24,MP08LH0024,PIPREHETA,1913,Local,Katni,TE,11.9,109.72,,2870,1613,2800,I,100.86
25,MP08LH0025,JHALONI,1913,Local,Pichor,TE,13.5,540,-,3864,1730,3793,I,312.33
26,MP08LH0026,DHAPORA,1913,Local,Shivpuri,TE,12.5,1687.5,-,6234,2030,6154,,198.17
27,MP08LH0027,RAJGARH,1914,Local,Kha'dhana,TE,10.37,640,-,2270,640,2260,I,96
28,MP08LH0028,MAJHGAWAN,1914,Local,Damoh,TE,14.88,1112.8,-,4050,1022,3850,I,41.95
29,MP08LH0029,PILLOWA,1914,Sank,Morena,TE/PG,13.79,658,-,16315,6712.5,9645,I,1377
30,MP08MH0030,KOTWAL,1914,Asan,Morena,TE,19.98,1158,-,91550,18390,90382,SR,4918
