Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1561,MH09MH1561,YESTER,2000,Local Nallah,Ahmedpur,TE,15.07,,,2160,,,I,
1562,MH09MH1562,MORDE,2001,Local Nallah,Sangneshwar,TE,28.9,327,495.47,2090.68,221.78,2045.45,I,58.9
1563,MH09MH1563,PATANE,2001,Local Nallah,Chandgad,TE,27.39,364,491,4550,390,4449,I,78.75
1564,MH09HH1564,BHOLAWALI,2001,Local Nallah,Mandangad,TE,35.32,490,1425,8085,300.8,7655,I,91.39
1565,MH09MH1565,PANHALGHAR,2001,Local Nallah,Mangaon,TE,19.25,658,397.74,3223,545.64,3150,I/S,95.5
1566,MH09MH1566,SAKHARPA,2001,Local Nallah,Sangneshwar,TE,29.52,346,711.63,3857,352.69,3692,I,104.22
1567,MH09HH1567,PANHALE,2001,Local Nallah,Lanja,TE,36.5,200,587.75,3526,259.15,3447,I,104.3
1568,MH09HH1568,HATEGHAR,2001,Local Nallah,Javali,TE,38.65,1048,,7371,771,7371,I/H,150
1569,MH09MH1569,KUNDANPADA,2001,Local Nallah,Shahapur,TE,20,210,98.19,1560,210.48,1290.73,I/S,150.5
1570,MH09MH1570,ASANE,2001,Local Nallah,Radhanagari,TE,20.5,590,771.4,1953.5,401.5,1883,I,161.52
1571,MH09MH1571,KALWATI,2001,Local Nallah,Ambejogai,TE,17.04,292,,1410,,1240,I,163.72
1572,MH09MH1572,UTCHIL,2001,Local Nallah,Junnar,T.E.,17.01,454,3120,3060,860,2940,I,201
1573,MH09MH1573,DHARUR,2001,Local Nallah,Dharur,TE,20.3,255.24,,1490,18.8,1330,I,201.9
1574,MH09MH1574,WAGAJWADI,2001,Local Nallah,Bhor,T.E.,20.47,370,1660,1660,269,1583,I,215
1575,MH09MH1575,PANGARKHED,2001,Local Nallah,--,TE,20.75,290,,147,,,I,219
1576,MH09MH1576,VINHERE,2001,Local Nallah,Mahad,TE,21.94,225,432,1880,161.71,1599.49,I/S,220.5
1577,MH09MH1577,SAKUD,2001,Local Nallah,Ambejogai,TE,16.19,315,,1910,,1690,I,224.91
1578,MH09MH1578,KHEMKUND,2001,Local Nallah,Ralegaon,TE,17.13,555,253,3730,729,3560,I,266
1579,MH09HH1579,BERDEWADI,2001,Local Nallah,Lanja,TE,61.19,656,1796.2,15841,871,15356,I,296
1580,MH09HH1580,WAGH,2001,Wagh river,Mokhada,TE,30.8,1216,1079.68,1030,1553,1000,I/S,315
1581,MH09MH1581,KAUDGAON,2001,Local Nallah,Ahmedpur,TE,15.28,900,,2517,,2286,I,374.54
1582,MH09HH1582,CHIKOTRA,2001,Chikotra,Ajara,TE,64.8,983,5109,4311,2593,4305,I,393
1583,MH09MH1583,CHARDARI,2001,Local Nallah,Wadwari,TE,21.82,,,1510,29.1,1240,I,417.67
1584,MH09MH1584,CHIKHALBEED,2001,Local Nallah,Wadwari,TE,18.2,238,,1300,43.62,840,I,450.18
1585,MH09MH1585,MANJRA,2001,Local Nallah,Kalamb,TE,16.9,760,249,3683,750,3240,I,454
1586,MH09HH1586,CHITRI,2001,Chitri,Ajara,TE,55.1,1710,2606,53414,2931,52359,I,571
1587,MH09HH1587,JADHAVWADI,2001,Sudha,Maval,TE,35.52,1215,1203,1203,15.76,,I,664.14
1588,MH09HH1588,MAHU (KUDAL),2001,Kudali,Javali,TE,54.35,1257,6623,320.3,1657,318.5,I/H,705
1589,MH09MH1589,KUNDALI PICK UP,2001,Kundali,Maval,PG,27.64,205,,6340,70,6340,H,740
1590,MH09HH1590,GADGADI,2001,Gadgali,Sangmeshwar,TE,35.8,532,135,13.52,1097,11.71,I,771
