"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
751,MP08LH0751,KHANDAWAD,1992,Local,Sehore,TE,11.46,1350,-,3030,1140,2833,I,90.33
752,MP08LH0752,MANIKHEDA,1992,Local,Bhopal,TE,13.71,108,1820,3808,1156,3502,I,42.76
753,MP08MH0753,SAHMSHERPURA,1992,Puchi,Biaora,TE,16.1,915,-,7264,1865,6520,I,189
754,MP08MH0754,RAMPURAKHURD,1992,Parwati,Sehore,TE,29.71,948.78,-,13810,3988,11830,I,664
755,MP08MH0755,NAYAKHERA TANK,1992,,,TE,15.96,284,,,,,,
756,MP08MH0756,VERVADA,1993,Local,Barwani,TE,21.65,300,-,2039,29,1841,I,289
757,MP08MH0757,BAMHODI,1993,Local,Seoni,TE,28.4,690,101.5,538,112,511,I,203
758,MP08MH0758,KHAIRWADA,1993,Local,Athner,TE,17.67,686,,1045,257,955,I,52.22
759,MP08LH0759,SHANKARPUR,1993,Local,Khandwa,TE,11.63,585,-,600,274,560,I,56
760,MP08LH0760,AMBARI,1993,Local,Alirajpur,TE,11.9,655,83,1340,444,1146,I,94
761,MP08MH0761,KURSI,1993,Local,Bhainsdehi,TE,22.96,927,,4632,612,4020,I,167.74
762,MP08MH0762,BANGAI,1993,Local,Tamia,TE,27.44,480,138.85,3650,788.3,2877,I,198
763,MP08MH0763,DEORI,1993,,,T E,15.63,420,,554,-,-,I,39
764,MP08MH0764,MUNGATOLA,1994,Local,Anuppur,TE,17.3,510,1457,1457,234,1418,I,43.6
765,MP08LH0765,BHAMKAPURA,1994,Local,Bhamkapur,TE,10.21,870,-,510,245.3,460,I,31.95
766,MP08MH0766,BORLI,1994,Local,Barwani,TE,16.1,315,-,1179.43,278.11,1090.4,I,82.87
767,MP08LH0767,HIWARA,1994,Local,Multai,TE,11.59,456,,1008,295,911,I/F,53.75
768,MP08LH0768,CHIKHLATOLA,1994,Local,,T E,10,1020,129,1350,412,1280,I/F,59
769,MP08MH0769,UPPER CHRAIPANI,1994,Local,Damoh,TE,16.16,568,-,1280,443,1224,I,25.6
770,MP08MH0770,BHADWALI,1994,Local,Kasrawad,TE,20.98,1635,253,2443,585,2201,I,177
771,MP08MH0771,LARPUR,1994,Local,Bhopal,TE,16.1,93,-,6130,3560,6100,I,430
772,MP08MH0772,KOHANI DEORI,1995,Local,,TE,15.6,200,,615,41.42,556,I,
773,MP08LH0773,THARA,1995,,,TE,12.05,396,135,1350,487,-,I,
774,MP08MH0774,GANJARI,1995,Local,Sidhi,TE,15.8,450,2540,2840,520,2547,I,100
775,MP08MH0775,RENJHAI,1995,Local,Guna,TE,17.68,1800,-,1910,866.7,1690,I,118.8
776,MP08MH0776,SALKHEDA,1995,Local,Barwani,TE,18.15,870,-,4460,1434.66,3916,I,428
777,MP08HH0777,BUDHNA NALLA,1995,Local,Kha'dhana,TE,33.8,1980,-,15110,2550,13840,I / WS,660
778,MP08MH0778,BANDIA NALLA,1995,Local,Guna,TE,25.55,1285,-,14760,3104,13430,I,405.96
779,MP08LH0779,BAIRAR,1996,Local,Shivpuri,TE,11.33,1950,-,6450,-,5700,I,180
780,MP08LH0780,GURADIAT PROJECT,1997,Local,Dewas,TE,13.98,267,-,1031,240,811,I,48.41
