"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
631,MP08MH0631,PALADIGWAR,1987,Paladigwar,Anuppur,TE,22.06,215,564,480,109.2,400,I,46.89
632,MP08MH0632,NANI ZIRI,1987,Local,Barwani,TE,15.72,213,-,619.55,144.54,562.2,I,52.33
633,MP08LH0633,TEMORU,1987,Local,Temoru,TE,13.58,609.6,,480,182,443,I,24.98
634,MP08MH0634,RAIPURA,1987,Local,Dindori,T E,22.8,270,,1120,204,1018,I,57.7
635,MP08LH0635,SARAI,1987,Local,Shahpur,T E,14.32,640,_,680,206,648,I,20
636,MP08LH0636,MOHGAON MALI,1987,Local,Mandla,TE,10.13,720,,546,233.2,484,I,38.45
637,MP08LH0637,NAINAWAD,1987,Local,Ujjain,TE,12.19,570,-,830,234,742,I,51
638,MP08MH0638,GANDHWAL,1987,Local,Barwani,TE,17.75,425,-,1229,240,998,I,135.75
639,MP08LH0639,JAMUNIYA (K),1987,Local,Barwaha,TE,12.15,640,-,1292,473.6,1185,I,86.99
640,MP08LH0640,HARRAI,1987,Local,Amarwara,TE,12.5,380,111.16,1749,513,1613,I,115
641,MP08MH0641,NAVEGAON,1987,Local,Tamia,TE,20.37,600,119,1690,640,1548,I,78.12
642,MP08MH0642,TORA,1987,Local,Pohri,TE,15.24,1050,-,1450,656,1276,I,42.47
643,MP08MH0643,UTAWAD,1987,Local,Barwaha,TE,22.39,450,-,8052,1144,5454,I,261
644,MP08LH0644,CHACHUNDRA,1987,Local,Amla,TE,13.85,745,,4346,1201,3934,I,59.36
645,MP08MH0645,TILLAR,1987,Tiller,Shajapur,TE,26.54,2220,1311,52197,9752,45347,I,1430
646,MP08LH0646,BHAIJIYA,1987,Local,Katni,TE,11.9,630,,626,,568,I,36.5
647,MP08MH0647,KUNDUJETA,1988,Local,Dhar,TE,22.15,150,-,685,14.36,618.78,I,554
648,MP08MH0648,NANI BARWANI,1988,Local,Barwani,TE,18,380,-,589,120.8,530,I,75.04
649,MP08MH0649,SILPARI,1988,Local,Shahdol,TE,17.21,1110,-,1357,135,1086,I,54
650,MP08LH0650,KATIYA NALLA,1988,Local,Baihar,TE,11.7,505,,533,185,456,I,34.72
651,MP08MH0651,NANDNA,1988,Local,,TE,21.2,398,100.85,1290,217,1223,I,70.8
652,MP08MH0652,KANTOOR NALLA,1988,Kantoor,Anuppur,TE,18.9,565,1160,1028,218,982,I,28.92
653,MP08MH0653,GURTARA,1988,Local,Shahdol,TE,15.6,633,-,650,229.4,600,I,14
654,MP08LH0654,BUTKI,1988,Local,Anuppur,TE,13.9,535,1125,980,242,875,I,56.46
655,MP08LH0655,SUNDREL,1988,Local,Barwaha,TE,12.6,1035,-,874,280,785,I,60.3
656,MP08MH0656,RANGPURA,1988,Local,Jhabua,TE,15.2,345,-,900,308,800,I,67
657,MP08MH0657,BODWANIA T-2,1988,Local,Dhar,TE,22.8,265,-,415.53,316,374.53,I,59
658,MP08MH0658,ASAWATI,1988,Local,Mandsaur,TE,15.79,412.5,-,1035,342.89,879.58,I,41
659,MP08LH0659,AMJHAR,1988,-,Shahdol,TE,13.94,768,-,1840,345,1579,I,64.17
660,MP08MH0660,BARGONE,1988,Local,Manpur,TE,21.94,780,-,1845,425.8,1590,I,116
