Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
901,MH09MH0901,SONAL,1981,Aran,M Pir,TE,19.6,1114,698,20270,,16920,I,1368
902,MH09MH0902,SIDDHEWADI,1981,Agrani,Tasgaon,TE,18.96,1225,209,8580,,6060,I,1530
903,MH09MH0903,MASOLI,1981,Masoli,Gangakhed,TE,24.84,1086,626,34080,6970,27390,I,2028
904,MH09MH0904,GOKI,1981,Goki,Darwha,TE/PG,23.06,1572,658,50220,11360,42710,I/S,2066
905,MH09MH0905,THANEPADA,1981,Kaparnalla,Nandurbar,TE,19.69,293,102.9,1409,,1311,I,
906,MH09LH0906,MAROLI,1981,Local Nallah,Mangalwadha,TE,11.3,1050,198,1980,,1530,I,
907,MH09LH0907,SARSIBOTH,1981,Local Nallah,Sarsiboth,TE,13.25,890,,,,,I,
908,MH09LH0908,BOBDOH,1982,Local Nallah,Dharni,TE,12.35,406,71,1150,365,1140,I,68
909,MH09MH0909,USRAN,1982,Local Nallah,Panvel,TE,22.93,249,79,2300,274,2240,I,74
910,MH09LH0910,AMBAGAD,1982,Local Nallah,Tumsar,TE,11.88,13.8,,1120,3.67,1060,I,74.09
911,MH09MH0911,PERSODI,1982,Local Nallah,Wardha,TE,20.05,169,63,1110,241,1070,I,81
912,MH09HH0912,BAREWADI,1982,Tr.of Rajapur,Rajapur,TE,33.1,175,193,1969,243,1940,I/S,83.58
913,MH09MH0913,SALAI,1982,Local Nallah,Dharni,TE,16.17,496,120,1450,621,1400,I,87
914,MH09MH0914,ANDUR,1982,Nawachi,Gaganbawada,TE,24.51,430,197,5750,615,5690,I,98
915,MH09LH0915,GANDHARI,1982,Local Nallah,Sakoli,TE,10.08,1002,,1900,6.55,1830,I,128.4
916,MH09LH0916,JALKA,1982,Local Nallah,Chandur Rly,TE,12.3,679,66,950,344,870,I,132.1
917,MH09MH0917,KADWAI,1982,Local Nallah,Sangneshwar,TE,25.5,295,178,1784,243,1658,I,169.9
918,MH09MH0918,GAVANE,1982,Paliehaprya,Gavane,TE,19.63,334,94,1917,461,1818,I/S,192.83
919,MH09LH0919,KARANDALA,1982,Local Nallah,Kuhi,TE,14.6,590,65,3065,101,2969,I,215.2
920,MH09LH0920,PIMPALGAON KOLTA,1982,Local Nallah,Bhokardan,TE,12.6,776,79,1230,42,1110,I,222
921,MH09LH0921,PANDHARI,1982,Local Nallah,Ashti,TE,13.86,71,,1142,121,1009,I,233
922,MH09MH0922,JAKHOD,1982,Local Nallah,Satana,TE,24.16,720,179.33,2210,290,1970,I,235.56
923,MH09LH0923,PIMPERKHED,1982,Local Nallah,Chalisgaon,TE,12.32,1260,,1198,43,1108,I,246
924,MH09LH0924,ARDI,1982,Local Nallah,Bhadgaon,TE,13.5,1020,,1273,55,1179,I,264
925,MH09LH0925,LAGAM,1982,Local Nallah,Charmoshi,TE,12.5,1549.4,,3730,1600,3420,I,277.71
926,MH09LH0926,BHIMALKASA,1982,Local Nallah,Sakoli,TE,11.22,596,,3610,16.14,3470,I,314.7
927,MH09LH0927,KUMBHEJ,1982,Local Nallah,Karmala,TE,10.68,1016,113,1350,,1180,I,339
928,MH09MH0928,BHARAJ,1982,Local Nallah,Jafrabad,TE,15.46,540,,2320,112,,I,352
929,MH09MH0929,SHELBARI,1982,Local Nallah,Sakari,TE,20.7,471,212,1589,,1356,I,403
930,MH09LH0930,AJANG,1982,Nagarohal,Malegaon,TE,11.1,826,111,1390,650,1160,I,410
