"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
61,GJ04LH0061,TARA-MANJAL,1949,Local River,Nakhatrana,TE,11.89,167.68,48,1600,,1600,I,238.26
62,GJ04LH0062,KAPADDHAR,1950,T/Mitti,Kachchh,TE,12.75,853,421,2660,1000,2630,I,472
63,GJ04MH0063,KUAPADHAR,1950,Local Stream,Abdasa,TE,20,975,79,2660,,2630,I,472
64,GJ04LH0064,WANDH,1950,Khari,Wandh,TE,11.19,765.24,236.48,820,165.2,780,I,55.77
65,GJ04LH0065,WANDH-MANDVI,1950,Wand,Mandvi,TE,13,825,93,820,,744,I,71
66,GJ04MH0066,BHUJ,1951,Local River,Bhuj,TE,17.3,1250,990,5210,,5210,I,2449
67,GJ04LH0067,KADOLI,1951,Local River,Naliya,TE,14.02,615,350,4860,,4860,I,593
68,GJ04LH0068,VANOTHI,1951,Local Stream,Mandavi,TE,13.23,1135.35,201.37,2810,776,2590,I,164
69,GJ04MH0069,RANGHOLA,1952,Rangholi,Umrala,PG,24,1952,227,44547,11620,42809,I,2394
70,GJ04LH0070,SINHAN,1952,Sinhan,Khamballa,TE,13,488,,9910,,8500,I,977
71,GJ04MH0071,VEDMATI,1952,Local Voklo,Khambhalia,TE,26.9,121,3380,3380,,3240,I,339.79
72,GJ04MH0072,BHIMDAD,1953,Madhu,Gadhada,TE,21.65,2197.73,1720.9,34435.4,4400,32159,I,975.19
73,GJ04MH0073,BRAHMANI,1953,Brahmani,Halvad,TE/PG,23.42,3626,2726,58332,29070,56293,I,2919
74,GJ04MH0074,GHEE,1953,Ghee,Jamkhambhalia,TE/PG,15,2141,276,10970,3980,10890,I & S,1348
75,GJ04MH0075,LILPAR-II,1953,Local River,Rapar,TE,21.36,368,205,1810,,1810,I,452
76,GJ04LH0076,LOTIYA,1953,Local Stream,Bhuj,TE,14.36,640,187.55,1006,212,856,I,327
77,GJ04MH0077,MAUVANA,1953,Local River,Rapar,TE,16.46,508.97,152.6,456,70.07,413,I,100.76
78,GJ04MH0078,AJI I,1954,Aji,Rajkot,TE/PG,25.9,3426,,26420,7061,25990,S,1785
79,GJ04MH0079,BADARGADH( SHIV),1954,Badargadh,Rapar,TE,20,322,184,5110,,4840,I,657
80,GJ04MH0080,CHHASARA,1954,Chhasara,Mundra,TE,20,1402,278,4560,,4227,I,719
81,GJ04MH0081,FULRA,1954,Local Stream,Abdasa,TE,19,750,71,2722,232,2701,I,512
82,GJ04MH0082,KAKRAPAR,1954,Tapi,Surat,PG,15.5,7315,,51543,442000,36510,"I,S",37780
83,GJ04MH0083,MALAN,1954,Malan,Mahuva,TE,22.56,1441,1845.2,2640,2.28,2530,I,1334
84,GJ04MH0084,PUNA,1954,Puna,Lalpur,TE/PG,18.8,1965,703,8970,2709,8840,I,962
85,GJ04MH0085,SARGUALLA,1954,Naliya,Kachchh,TE,16.88,557,194,194,3600,194,I,513
86,GJ04MH0086,SASOI,1954,Sasoi,Lalpur,TE/PG,20,4803,2080,39650,14680,39490,I & S,2922
87,GJ04MH0087,SHIVLAKHA,1954,Bhadargad,Kachchh,TE,17.8,524,484,5120,1107,4140,I,657
88,GJ04MH0088,SURAJWADI,1954,Surajwadi,Savarkundla,PG,21,1823,,9800,2350,6360,I,1396
89,GJ04MH0089,CHORWADALA,1955,Local Stream,Sihor,TE,18,280,,2100,,2100,I,276
90,GJ04MH0090,GAJOD,1955,Nagmati,Bhuj,TE,21.03,1036.32,28,7715,3860,7370,I,1612.39
