"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
421,GJ04LH0421,VADA-TARAVADA,1983,Local Stream,Anjar,TE,13.43,1115.53,119.5,1008,53,819,I,287.98
422,GJ04LH0422,VAGHVADARADA,1983,Local Stream,Mahuva,TE,10.2,809,290,290,140,290,I,98.9
423,GJ04HH0423,WATRAK,1983,Watrak,Malpur,ER,43.31,325,2096,176202,43850,152783,I,12798
424,GJ04MH0424,DHOLIYA,1984,T Of Banas,BK,TE,16.05,310,,558,1541,508,I,105.63
425,GJ04MH0425,DON,1984,Kharod,Mandvi,TE,22.25,1130,193.45,2275,680,2275,I,999.15
426,GJ04HH0426,KAKADIAMBA,1984,Waghti,Sagbara,TE,31.21,1775,559,9370,1460,8720,I,822
427,GJ04MH0427,KARMAL,1984,Karmal,Kotda Sangdi,TE/PG,17.45,2118,483,12700,1700,10300,I,2431
428,GJ04MH0428,LAKHANKA,1984,Maleshri,Ghogha,TE,19.84,1628.89,188.77,4240,1550,4240,I,1182
429,GJ04MH0429,LIMDI DOLI,1984,Kotar,S'pur,TE,19,599,532.06,1239,3856,879,I,164.5
430,GJ04MH0430,MAZAM,1984,Mazam,Modasa,TE,28.75,2402,1916,43860,13100,36580,I,4512
431,GJ04MH0431,RANGMATI,1984,Rangmati,Jamnagar,TE/PG,15,3820,147,3360,1770,3200,I,1236
432,GJ04LH0432,SANDHIDA,1984,Local Stream,Shihor,TE,13,592.2,,830,150,830,I,1.68
433,GJ04MH0433,VADEKHAN,1984,Localvehla,Lalpar,TE,16,338,,598,,453,I,119
434,GJ04MH0434,VAGDOKYARI,1984,T/Sarasvati,Danta,TE,17,158,57,1136,,1008,I,229
435,GJ04MH0435,VAKDI AJNAVA,1984,Kotar,S'pur,TE,21.2,296,324.42,2150,4500,1596,I,307.3
436,GJ04LH0436,VANDALIA,1984,Vandalia,Khamballa,TE,10.5,740,,410,,343,I,143
437,GJ04LH0437,ZALU,1984,Local Stream,Nakhatrana,TE,13.5,670,,685,,580,I,161
438,GJ04LH0438,ADPUR,1985,Local Stream,Palitana,TE,12.3,604,469,469,140,469,I,87
439,GJ04MH0439,BANGAWADI,1985,T/Aji,Tankara,TE/PG,17.6,2937,393,7670,2080,7580,I,1883
440,GJ04HH0440,BHADAR,1985,Bhadar,Lunawada,TE/PG,45.78,1412,807,46720,5450,4005,I,5932
441,GJ04HH0441,CHOPADVAV,1985,Doman,Sagbara,TE,31.3,1320,559,10150,1740,9400,I,1078.23
442,GJ04LH0442,DEBHARI,1985,Vahela,Virpur,TE,12.63,240,,4117,110,3993,I,218
443,GJ04LH0443,DHANDH,1985,Local Voklo,Kalynapur,TE,14.9,125,,4440,,3480,I,954.26
444,GJ04MH0444,DIWANIYA DUNGER,1985,T Of Banas,BK,TE,22,525,,3250,115.33,3003,I,366.75
445,GJ04LH0445,HAMIRPARA,1985,Utavali,Talaja,TE,14.8,2205,331.95,2400,1221,2270,I,661
446,GJ04MH0446,HATHIDRA,1985,T Of Banas,BK,TE,18.3,268,,1320,37.41,1220,I,188.33
447,GJ04MH0447,INGORALA,1985,Dedumal,Khambha,TE,19.18,492.38,43,890.11,314.6,745.1,I,260.94
448,GJ04MH0448,JADSA,1985,Local River,Bhachau,TE,17,358,250,1100,,1100,I,359
449,GJ04LH0449,KHATA,1985,Vahela,Virpur,TE,14.5,152,,11326,610,10338,I,5850
450,GJ04MH0450,MALGADH,1985,Ghelo,Jasdan,TE,15,2400,1431,6900,,6400,I,760
