"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
391,MP08LH0391,MASNI NALLA,1980,Local,Baihar,TE,14,732,-,1880,524,1790,I,67
392,MP08LH0392,UDIYAPURA,1980,Local,Dhar,TE,11,530,-,1827,578,1497,I,130
393,MP08HH0393,KUSMELI,1980,Local,Sehore,TE,38.7,975,-,2300,668,2153,I,35
394,MP08LH0394,CHICHWARI,1980,Local,H'bad,TE,14.63,732,-,2400,696,2250,I,36
395,MP08LH0395,GOPALDAS,1980,Local,Sidhi,TE,12.2,870,1460,1646,836,1300,I,88
396,MP08LH0396,KOYALKHEDI,1980,Local,Ujjain,TE,13.1,960,-,2675,951,2360,I,189
397,MP08MH0397,BARMANDAL,1980,Local,Dhar,TE,22.65,990,-,3710,980,3010,I,173
398,MP08LH0398,NAKTORA,1980,Local,Satna,TE,14.8,1290,-,3495,1071,3001,I,139.47
399,MP08MH0399,JHIRBHAR,1980,Local,Barwaha,TE,21.33,327,-,5658,1090,4743,I,259
400,MP08LH0400,CHAPPER,1980,Local,Sehore,TE,14.1,743.9,-,3794,1160,3544,I,36.25
401,MP08LH0401,DHABLAMATA,1980,Local,Sehore,TE,10.67,1706.88,-,2755,1370,2549,I,90.33
402,MP08LH0402,NAHARKHEDA,1980,Local,Shajapur,TE,11.4,1425,134,1694.32,1424.5,1497,I,72
403,MP08MH0403,LOWER JHUMKA,1980,Local,Jhabua,TE,15.2,510,-,1543,2602,1355,I,85
404,MP08MH0404,PIPLIYAKUMAR,1980,Local,Shajapur,TE,25.87,894,298,11210,2632,10120,I,340
405,MP08MH0405,AMIYA BAHADURPUR,1980,Gandhi,Mahidpur,TE,18.9,1859,-,25230,8146,22350,I,533
406,MP08HH0406,MAKRODA,1980,Local,Guna,TE,30.5,825.39,-,46593,8470,40983,I,598.19
407,MP08MH0407,THANWER (RAJIVSAGAR),1980,Thanwar,,TE/PG,27.1,2130,_,139200,24666.8,123450,I,3993.2
408,MP08MH0408,PARONCH,1980,Local,Pichhor,TE,27.6,240,-,18980,343530,15710,I,550.92
409,MP08MH0409,DUDIYANKHERA,1980,Local,Tikamgarh,TE,21.09,801,-,2600,NA,2450,I,110.5
410,MP08MH0410,BANNA,1980,Local,Baihar,TE,15.23,732,-,1740,,1686,I,76.41
411,MP08LH0411,SAREKHA,1980,Local,Baihar,TE,12.5,780,-,1190,,1040,I,78.9
412,MP08LH0412,UBHARIA,1981,Local,Betul,TE,13.11,330,,1183,101,1088,I,58.9
413,MP08LH0413,CHIDUA,1981,Local,Satna,TE,12,1060,-,1450,116,1392,I,72
414,MP08LH0414,AMBA,1981,Local,Jhabua,TE,11.2,650,-,640,130,576,I,48
415,MP08MH0415,DHUPSARA,1981,Local,Anuppur,TE,15.69,645,419,330,132,275,I,34.84
416,MP08MH0416,MOHADA,1981,Local,Dindori,T E,21.95,720,,710,200,584,I,57.93
417,MP08LH0417,KALREWA,1981,Local,Javera,TE,11.68,570,-,1360,220,1275,I,48
418,MP08MH0418,SAKALDA,1981,Local,Dhar,TE,20.85,531,-,15660,256,12680,I,500
419,MP08LH0419,KARPUR,1981,Local,Khandwa,TE,10.41,600,-,640,273,600,I,53.21
420,MP08MH0420,DEOPUR,1981,Local,Rajgarh,TE,15.31,603,-,920,281,817,I,54
