"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
91,CG03MH0091,KASANPAL,1982,Local Nalla,Dantewada,TE,16.3,570,,920,260,780,I,43.8
92,CG03MH0092,KATANGI TANK,1982,Local,Baramkela,TE,19.5,309,160,139,110,108,I,42
93,CG03MH0093,KINKARI NALA T.,1982,Kinkari,Baramkela,TE,17.68,293,126,15719,3578,11692,I,180
94,CG03MH0094,LOHAKHAN TANK-1,1982,Local,Kharasia,TE,15.5,420,140,465,210,315,I,252
95,CG03MH0095,LUTI TANK,1982,Local Nalla,Balrampur,TE,16.76,690,81,441,93,371,I,53
96,CG03LH0096,MANIKPUR,1982,Local,Kanker,TE,13.41,671,69,824,211,793,I,38
97,CG03MH0097,NAGOI TANK,1982,Local,Kharasia,TE,18.5,810,380,275,175,185,I,98
98,CG03LH0098,NAWADHI TANK,1982,Local Nalla,Balrampur,TE,12.1,900,189,868,315,798,I,31
99,CG03MH0099,PACHAWAL TANK,1982,Local Nalla,Balrampur,TE,19,660,88,588,97,562,I,14
100,CG03MH0100,PUTKA NALLA TANK,1982,Putka,Sarangarh,TE,20.12,1109,611,6645,1195,6612,I,77
101,CG03MH0101,BELHARI TANK,1983,Local,Kawardha,TE,15.64,400,,412,113,392,I,20
102,CG03MH0102,HATHLEWA TANK,1983,Local,Kawardha,TE,15.18,1350,,1040,143,920,I,83
103,CG03LH0103,KOTARIMAL TANK,1983,Local,Gharghoda,TE,11.9,675,138,980,240,859,I,79
104,CG03HH0104,BANKI  TANK,1984,Banki,Ambikapur,TE,43.6,1134,1889,18400,2249,17055,I,410
105,CG03LH0105,BHORAMDEO TANK,1984,Local,Kawardha,TE,11.24,570,,770,243,686,I,49
106,CG03LH0106,JHINGO TANK,1984,Local Nalla,Rajpur,TE,12.1,690,77,1050,311,890,I,81
107,CG03MH0107,MASARRA TANK,1984,Local Nalla,Sonhat,TE,15.34,585,192,198,130,172,I,50
108,CG03MH0108,SAWLA TANK,1984,Local Nalla,Khadgawan,TE,15.3,990,324,1626,410,1516,I,49
109,CG03LH0109,AMAKHOKHRA T.,1985,Local,Pondi Uprora,TE,10.8,744,57,340,105,306,I,34
110,CG03LH0110,AMHAR TANK,1985,Local Nalla,Surajpur,TE,13.14,1271,312,9067,985,8124,I,139
111,CG03MH0111,CHANTI TANK,1985,Local Nalla,Bharatpur,TE,16.6,208,79,410,113,390,I,19
112,CG03MH0112,GANESHPUR TANK,1985,Local Nalla,Baikunthpur,TE,19,405,348,2688,550,2578,I,54
113,CG03LH0113,GOURI,1985,Local,Kanker,TE,14.02,856,95,839,314,793,I,54
114,CG03MH0114,PANIYAJOB,1985,Local,D garh,TE,19.46,1220,71.22,6580,137,6110,I,96
115,CG03MH0115,SINGHORE TANk,1985,Local Nalla,Sonhat,TE,15.1,255,81,802,240,510,I,89
116,CG03LH0116,UPERWAH,1985,Local,Rajnandgaon,TE,10.05,1737,52.37,1468,510,1349,I,61
117,CG03LH0117,BADRIKA ASHRAM T.,1986,Local Nalla,Ramanujnagar,TE,10.5,690,111,500,467,460,I,48
118,CG03LH0118,BAROTA TANK,1986,Local Nalla,Janakpur,TE,14.15,555,156,502,485,471,I,60
119,CG03LH0119,BHAGWANTOLA,1986,Local,Dongargaon,TE,11.71,411,14.44,1293,334,1214,I,66
120,CG03MH0120,BHULSI TANK,1986,Local Nalla,Kusmi,TE,18.1,720,117,865,297,731,I,26
