"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
181,CG03LH0181,KOKANITARAI  T.,1991,Local,Raigarh,TE,12.9,1500,356,2430,1170,2050,I,820
182,CG03LH0182,KRANTI TANK,1991,Local,Pandaria,TE,11.52,2040,82,2540,891,2187,I,212
183,CG03MH0183,KUMHARTA TANK,1991,Local,Dharamjaygarh,TE,16.4,813,303,3215,2100,2846,I,249
184,CG03LH0184,KUNKUNA TANK,1991,Local,Pondi Uprora,TE,12.1,720,303,710,129,690,I,30
185,CG03LH0185,RIKHI TANK,1991,Local Nalla,Udaypur,TE,14.4,810,129,1011,312,935,I,34
186,CG03LH0186,SAILA TANK,1991,Local,Pali,TE,11.96,1500,265,1492,630,1275,I,54
187,CG03LH0187,SALIHABHATA TANK,1991,Local,Kartala,TE,11.5,690,56,1161,388,942,I,108
188,CG03LH0188,SALIHAPARA TANK,1991,Local,Pali,TE,10.1,960,64,580,160,533,I,26
189,CG03LH0189,SALKHA TANK,1991,Local,Dharmjaigarh,TE,12.5,750,167,1039,304,880,I,79
190,CG03LH0190,SISTRINGA TANK,1991,Local,Dharmjaigarh,TE,12.5,750,167,1092,265,951,I,72
191,CG03MH0191,TUMDIH,1991,Local,Tamnar,TE,19,1200,593,2420,611,2160,I,117
192,CG03LH0192,UDKA TANK,1991,Local,Pandaria,TE,12.5,780,98,1319,404,1207,I,89
193,CG03MH0193,ULIYA TANK,1991,Local Nalla,Rajpur,TE,24.58,600,201,2148,350,2007,I,63
194,CG03HH0194,CHHIRPANI,1992,Local,Kawardha,TE,46.21,450,,70910,5088,51250,I,15
195,CG03LH0195,GHATOI TANK,1992,Local,Dabhra,TE,10.15,1950,73,3458,1627,2076,I,154
196,CG03MH0196,GURSIA TANK,1992,Local,Katghora,TE,17.15,130,440,609,202,565,I,74
197,CG03LH0197,KHALLARI TANK,1992,Local,Pali,TE,11.15,900,48,132,64,116,I,54
198,CG03MH0198,MURWADAND TANK,1992,Local,Pondi Uprora,TE,15.9,210,153,1483,124,1330,I,167
199,CG03LH0199,NEEMGAON TANk,1992,Local,Jashpur,TE,12.7,596,137,1695,394,1124,I,84
200,CG03LH0200,RENGAKHAR,1992,Local,Kawardha,TE,14.85,780,,525,241,506,I,46
201,CG03MH0201,ROCHAND,1992,Local,Kawardha,TE,16.6,1330,,1179,482.22,1136,I,68
202,CG03LH0202,USARITOLA,1992,Local,Dondi,TE,10.25,870,,7806,270,7450,I,106.88
203,CG03MH0203,BHORTOLA TANK,1993,Local,Dallirajhara,TE,15.3,780,,1253,449.4,1042,I,66.27
204,CG03LH0204,KOPRA TANK,1993,Local,Takhatpur,TE,10.96,1680,113,40,210,37,I,271
205,CG03MH0205,DANDGAON TANK,1994,Local Nalla,Uudaypur,TE,17.12,1410,117,2945,716,2676,I,40
206,CG03MH0206,K.C.B.BARRAGE,1994,Mahanadi,Dhamatari,PG,21.7,464,320,449.6,2747,,I,14000
207,CG03MH0207,NARKOLA TANK,1994,Local Nalla,Lakhanpur,TE,17.75,457,188,2603,465,2344,I,93
208,CG03MH0208,DEOKATTA,1996,Local,D garh,TE,18.42,548,30.28,3170,559,3030,I,144
209,CG03MH0209,BARKELA TANK,1999,Local Nalla,Manendragarh,TE,17.56,610,142,1531,276,1433,I,56
210,CG03MH0210,PANDRIDAND TANK,1999,Local Nalla,Ambikapur,TE,16.2,930,181,2501,221,2338,I,52
