Sl   No,Project Identification Code,Name of Dam,Operated & Maintained by,Longitude of dam 'E',Latitude of dam 'N',Year of completion,River,Nearest city,seismic zone,Type of dam,Height above lowest foundation (m),"Length of dam
(m)",Volume content of dam (103 m3),Gross Storage capacity (103 m3),"Reservoir Area
(103 m2)",Effective Storage capacity (103 m3),Purpose,Designed Spillway capacity (m3/sec)
154,AP01LH0161,Akkapalem Tank,,"79? 32' 16""","16? 12' 43""",NA,,Pullalacheruvu,,TE,11.1,433,-,1853,-,1853,I,-
155,AP01LH0162,Ananthasagarm Tank,,"79? 22' 17""","14? 33' 22""",NA,Pennar,Anathasagaram,,TE,14,3500,,2112,--,2112,I,339.32
156,AP01LH0163,"Bandlavagu Project,
Kukkalgudur",,"79? 19' 05""","18? 34' 45""",NA,Godavari,Peddapally,,TE,10,1121,_,8925,200,7586,I,9250
157,AP01MH0165,"Chegaon project,
Chegaon(M)",,"79? 15' 00""","18? 15' 00""",NA,Godavari,Peddapally,,TE,15,1140,_,2290,266,_,I,16616
158,AP01LH0166,"Chennapatnam
Cheruvu",,,,NA,,Somala,,TE,10,950,,1676.34,1156.9,1676,I,
159,AP01LH0167,"Chikkavadiyar,
Anantapur",,"77? 40'135""","14? 40' 15""",NA,,"Bukkarayasamu
dram TE",,,10.54,4476,---,15524.24,2261.73,11942,I,501
160,AP01MH0168,"Chinakandaleru
Reservoir",,"79? 25' 00""","16? 10' 00""",NA,,Nellor,,,17,178,,4817.6,,,I,204
161,AP01MH0169,"Chinnagottigallu
Tank",,"79? 05' 33""","13? 38' 53""",NA,,Tirupati,,TE,18,900,_,2305,669.3,1098,I,168.51
162,AP01LH0170,"Chinna Tippa
Samudram Tank",,"78? 36' 00""","13? 38' 00""",NA,Thettuvanka,Chittor,,TE,12.2,790,,5947,2251,,I,354
163,AP01LH0171,Chintakuntavagu,,"78? 19' 00""","14? 42' 00""",NA,Local Stream,Cuddapah,,TE,13,285,,1982,60000,,I,66
164,AP01LH0172,"Dantakanicheru,
Allapur",,"77? 55' 18""","17? 05' 18""",NA,Lower Krishna,Hyderabad,,TE,12.04,671,,2580,280,,I,59
165,AP01LH0173,"Devathlacheru,
Yeldurthy",,"78? 21' 15""","17? 54' 0""",NA,Local Stream,Medak,,TE,11.01,1189,,,911.1,,I,108
166,AP01LH0174,"Fox Sagar,
Jeedimetla",,"78? 27' 0""","17? 31' 00""",NA,,Hyderabad,,TE,10,1610,-,926,-,-,I,0.53
167,AP01MH0175,"Gandicheruvu,
Verabhadrapuram",,"79? 10' 45""","16? 01' 45""",NA,,,,,19.17,298,-,3052.7,-,-,,255
168,AP01LH0177,"Gattupodichinavagu,
Kothapally(V)",,"78? 35' 00""","18? 40' 00""",NA,Godavari,Armoor,,TE,14,8041,-,1698,_,1450,I,332
169,AP01LH0178,"Gowricheru, Mogili",,"78? 49' 10""","13? 13' 48""",NA,,Chittoor,,TE,10,650,47.99,872,-,730,I,136
170,AP01LH0179,"Gidda cheru,
Yellareddypet (V)",,"79? 39' 32""","18? 23' 08""",NA,,Yellareddypet,,TE,11.28,2372,1920,1632,607,1632,I,215
171,AP01MH0180,Gullur tank,,"79? 31' 30""","13? 28' 48""",NA,,Makavarapalem,,TE,15,1040,_,3456,809.72,3084,I,--
172,AP01MH0181,"Gundlamotu
Reservoir",,"79? 49' 00""","15? 14' 00""",NA,,,,TE,16,605,-,9040,-,-,,652
173,AP01LH0182,"Haresamudram Big
tank",,"77? 19' 50""","13? 54' 40""",NA,,Guntakal,,TE,10,1264,---,3120,236,2925,I,205.8
174,AP01LH0183,Jajigedda Reservoir,,"82? 44' 30""","17? 41' 00""",NA,,Makavarapalem,,TE,14.81,688,-,2293,,2293,I,6230
