"Sl
No",Project Identification Code,Name of Dam,Year of completi on,River,Nearest city,T ype,Height above low est foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillw ay capacity
1,RA11HH0001,RAJSAMAND,1671,Gomti Banas,Rajsamand,TE,39.2,5585.05,NA,107100,18100,98650,I,1621. 00
2,RA11HH0002,JAI SAMAND,1730,Gomti,Udaipur,TE/PG,41.1,457.4,NA,414000,52600,296000,I,5405
3,RA11MH0003,SWAROOP  SAGAR,1795,Berach,Girwa,TE,22,660,NA,13670,4180,9000,I,564
4,RA11MH0004,HINGONIA,1862,Bandi,Phagi,TE,15.5,2000,NA,7523,NA,7523,I,132
5,RA11LH0005,CHANDRANA,1871,Banganga,Dausa,TE,11,3900,NA,4930,4380,4000,I,1188
6,RA11MH0006,KHARAD,1877,Banganga,JPR - Ramgarh,TE,18.3,327.8,NA,9190,2790,9190,I,155.7
7,RA11LH0007,KALAKH SAGAR,1883,Bandi River,Shamber,TE,13,274,NA,20670,5595,20670,I,NA
8,RA11MH0008,TORDI SAGAR,1887,Sohdra,Malpura,TE,15,1722,NA,47100,NA,47100,I,314
9,RA11LH0009,MADHO  SAGAR,1887,Banganga,Sikrai Ramgarh,TE,14.63,2440,NA,22603,7084,22603,I,108
10,RA11MH0010,FATEH SAGAR,1889,Berach,Girwa,TE,21,855,NA,12080,2420,6990,I/S,135
11,RA11MH0011,BUCHRA,1889,Sabi,Kot-putali,TE,16.31,366,NA,16360,12200,16360,I,731
12,RA11HH0012,JASWANT  SAGAR,1889,Luni,Bilara,TE,43.38,11990.87,NA,40830,33650,40630,I,3633
13,RA11LH0013,CHAPARWARA,1894,Banas,Dudu,TE,13,200,NA,35000,13820,35000,I,800
14,RA11MH0014,SAINTHAL  SAGAR,1898,Banganga,Dausa,TE,17,4180,12800,13705,5200,12065,I,811
15,RA11MH0015,SHEEL KI DUNGRI,1900,Banas,Jaipur,TE,19.8,1981,NA,4160,NA,4160,I,99
16,RA11MH0016,RAM GARH,1901,Banqanga,Jamuwa JPR,TE,26,1950,NA,58970,10350,58970,I,2100
17,RA11MH0017,MANDAL,1903,Local Nalla,Bhilwara,TE,22,1957,NA,13877,3950,11895,I/S,1300
18,RA11MH0018,SARDAR SAMAND,1905,Guhiya,Sojat city,TE,15.4,10740,NA,88200,27000,88000,I,2556
19,RA11MH0019,HEMAWAS,1911,Bandi,Pali,TE,16.11,9877,NA,62600,24400,62500,I,2662
20,RA11MH0020,DHEEL,1911,Morel,Bonli,TE,17.52,1585,NA,27750,17700,27750,I,1864
21,RA11MH0021,BHOPAL SAGAR,1936,Berach,Kapasan,TE,28,2387,NA,18540,8190,18400,I,645
22,RA11MH0022,CHITTOLI,1950,Sabi,Virat Nagar,TE,16.31,533,NA,24536,4450,22310,I,26.59
23,RA11MH0023,BHULA,1954,West Banas,Sarupganj,TE,18,427,NA,5500,_,4500,I,736
24,RA11MH0024,GOVTA,ST,Banas,Mandal Garh,PG,15,335,NA,10480,2415,10080,I,895
25,RA11LH0025,NEEDAR,1955,Odher,Mandrayal,TE,12.96,1800,NA,9800,1290,8848,I,148
26,RA11LH0026,KANTRI,1956,Nori,Aspur,TE,14.56,353,NA,2550,540,2500,I,160
27,RA11LH0027,PATAN (DEOSAGAR),1956,Local Nalla,Patan,TE,13.4,1652,NA,6930,2020,6850,I,457.05
28,RA11HH0028,SURWAL,1958,Gambhir,S.Modhopur,TE,10,3779,NA,25960,9850,25540,I,609
29,RA11LH0029,BAGOLIA,1956,Berach,Mavli,TE,12.7,3079,NA,19400,3500,13350,I,827
30,RA11MH0030,KALISIL,1956,Kalisil Banas,Sapotra,TE,24.29,1163,NA,41700,9370,37300,I,889
