Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
871,MH09MH0871,NAREWADI,1981,Local Nallah,Gadhinglaj,TE,23.75,455,85,2220,353,2070,I,282
872,MH09MH0872,NATHALWADI,1981,Local Nallah,Ashti,TE,15.81,439,98,820,270,658,I,288
873,MH09MH0873,KHANDANI,1981,Local Nallah,Wani,TE/PG,18.92,593,183,3227,614,1400,I,302
874,MH09MH0874,RAJDEHARE,1981,Local Nallah,Chalisgaon,TE,16.5,1356,,1941,77,1681,I,313
875,MH09MH0875,PADALI,1981,Local Nallah,Partur,TE,15,1015,137,2910,,2614,I,326
876,MH09LH0876,PIMPALSENDA,1981,Local Nallah,Murtijapur,TE,14.34,960,243,2650,803,2410,I,330
877,MH09MH0877,PAHUCHIBARI,1981,Par,Peth,TE,17.8,500,110.66,1571,310,1427,I,336
878,MH09LH0878,KELI,1981,Local Nallah,Jintur,TE,11.15,1545,,3017,,2820,I,354
879,MH09LH0879,SATGAON,1981,Local Nallah,Pachora,TE,11.22,1770,157,1390,592,1295,I,358
880,MH09MH0880,KALDARI,1981,Local Nallah,Soygaon,TE,16,1222,183,3900,1041,3641,I,360
881,MH09LH0881,NILANJGAON,1981,Local Nallah,Paithan,TE,13,727,,1434,44,1228,I,365
882,MH09LH0882,LONIMAVLA,1981,Local Nallah,Parner,TE,10,958,114,1080,46,880,I,377
883,MH09LH0883,KOLGAONDOLAS,1981,Local Nallah,Shirur,TE,10.46,815,80,1060,,870,I,380
884,MH09LH0884,SHIVANKHED,1981,Local Nallah,Ahmedpur,TE,12,124,,2380,945,2137,I,416
885,MH09LH0885,POKHARAPUR,1981,Local Nallah,Mohol,TE,10.33,1202,104,1860,,1650,I,424
886,MH09LH0886,DAWARVADI,1981,Local Nallah,Paithan,TE,14.26,1615,,1549,,1291,I,440
887,MH09MH0887,WARNI,1981,N.A,Patoda,TE,15.39,862,,,,,I,445
888,MH09LH0888,KHEL,1981,Local Nallah,Ashti,TE,12.25,156,,1724,761,1562,I,518
889,MH09MH0889,KHADKUNA,1981,Kangali,Akkalakuwa,TE,19.53,1162,541,6550,150,5770,I,531.57
890,MH09LH0890,MALGHAR,1981,Local Nallah,Chiplun,TE,14.6,230,44,1996,567,1711,I,549
891,MH09LH0891,INAYATPUR,1981,Local Nallah,Paithan,TE,11.25,,,2045,,1683,I,560
892,MH09LH0892,TAKALI KHANDESHWARI,1981,Local Nallah,Karjat,TE,10.9,1100,82.9,1274,82,960,I,635
893,MH09LH0893,MAHALINGI,1981,Local Nallah,Kandhar,TE,14.32,1061,171,4370,,3440,I,693
894,MH09MH0894,RAJURI,1981,Local Nallah,Karmala,TE,19.3,609,156,2490,,2080,I,694
895,MH09LH0895,BELGAON,1981,Local Nallah,Ashti,TE,14.8,181,,2850,85,2800,I,768
896,MH09HH0896,KELZAR,1981,Aram,Satana,TE,32.5,1236,1622,17100,1660,16210,I,832.4
897,MH09MH0897,SARASWATI,1981,Saraswati,Majalgaon,TE,18.2,1170,,7230,1560,6206,I,855
898,MH09MH0898,DHOKI,1981,Kalu,Parner,TE,17.33,397,92.03,1270,290,1240,I,1046
899,MH09MH0899,UMA,1981,Uma,Murtijapur,TE,20.42,2140,434,14010,2600,11690,I,1340
900,MH09MH0900,BASSAPPAWADI,1981,Local Nallah,Kavathemahakal,TE,16.9,1905,324,7780,,6260,I,1368
