Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
541,MH09MH0541,LAHADEVI,1976,Local Nallah,Lahadevi,TE,16.43,655,70360,,,,I,66.33
542,MH09MH0542,SAWALIKHEDA,1976,Local Nallah,Dharni,TE,16.82,255,107,1240,221,1210,I,72
543,MH09MH0543,RATANWADI,1976,Local Nallah,Manora,TE,19,380,128,1330,,1220,I,72
544,MH09MH0544,RAHUD,1976,Local Nallah,Surgana,TE,17.65,624,40,630,325.36,550,I,85
545,MH09MH0545,NANDA,1976,Local Nallah,Saoner,TE,17.31,345,71,1105,25.48,985,I,97
546,MH09MH0546,HUDI,1976,Local Nallah,Kinwat,TE,15.75,522,132,1650,,1570,I,98
547,MH09MH0547,SHINDGI,1976,Local Nallah,Kinwat,TE,16.64,720,161,1670,,1595,I,104
548,MH09LH0548,RAIBASA,1976,Local Nallah,Saoner,TE,13.3,703,190,1780,40,1470,I,106
549,MH09MH0549,AMBOLI,1976,Kikvi,Nasik,TE,17,697,124,3664,800,2892,I,106.45
550,MH09MH0550,HATERI,1976,Local Nallah,Kudal,TE,15.65,170,50,2109,660,1963,I,122.35
551,MH09LH0551,GAHULA,1976,Local Nallah,Pachora,TE,11.5,1453,87.39,1053,219,985,I,126
552,MH09LH0552,GOTHANGAON,1976,Local Nallah,Kuhi,TE,12.99,1303,-,,,,I,130.35
553,MH09LH0553,ALAND,1976,Local Nallah,Sillod,TE,10.85,563,,703,303,627,I,134
554,MH09MH0554,PIMPALGAON,1976,Local Nallah,Kinwat,TE,15.25,587,124,2250,,2170,I,152
555,MH09MH0555,KALOTE MAKOSHI,1976,Local Nallah,Khalapur,TE,27.5,630,255.19,5000,5.23,4830,I,173
556,MH09LH0556,PIRANJI,1976,Piranji,Pusad,TE,12,460,,1420,452,,I,174
557,MH09LH0557,PARGAON,1976,Local Nallah,Khatav,TE,13.65,1200,15,1080,,900,I,177
558,MH09LH0558,RENGEPAR KOTHA,1976,Local Nallah,Sakoli,TE,10.18,1034,183,3030,9.85,2880,I,178.48
559,MH09LH0559,BORGAON MANJU,1976,Local Nallah,Akola,TE,14.5,578,99,1143,380,1104,I,190
560,MH09LH0560,MOHARI,1976,Local Nallah,M'Pir,TE,10.44,550,86,1530,500,1426,I,199
561,MH09LH0561,KARANJIKHED,1976,Local Nallah,Osmanabad,TE,11.6,555,,2072,,1845,I,200
562,MH09LH0562,AMBAZARI,1976,Local Nallah,Arvi,TE,14.9,726,300,2230,535,2130,I,208.7
563,MH09MH0563,INAMBARI,1976,Damanganga,Peth,TE,25.52,673,240.78,2488,387,2370,I,215
564,MH09LH0564,KUMBHARKINI,1976,Local Nallah,Darwha,TE,12.06,390,,1430,,1380,I,235
565,MH09MH0565,HARKUL,1976,Local Nallah,Kankawali,TE,19.5,240,118,2652,1150,2436,I,237
566,MH09LH0566,KHADKISIM,1976,Local,Chalisgaon,TE,13.37,1290,114,1246,,1095,I,249
567,MH09LH0567,MOYKHEDADIGAR,1976,Local Nallah,Jamner,TE,12.1,962,,1858,,1730,I,249
568,MH09MH0568,GANDHARI,1976,Local Nallah,Lonar,TE,18.03,390,126,2412,423,2279,I,249
569,MH09LH0569,GORADWADI,1976,Local Nallah,Atpadi,TE,11.94,530,51,1099,,950,I,255
570,MH09LH0570,TAKALWADI,1976,Local Nallah,Gangakhed,TE,12.4,1206,113,1510,,1360,I,268
