Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
151,MH09MH0151,KURJE (DHAPCHERI),1967,Local Nallah,Dahanu,TE,22.96,2507.76,846.12,39050,5620,38085,I/S,598
152,MH09MH0152,NALGANGA,1967,Nalganga,Malkapur,TE,29.8,2516,1500,71860,10980,70540,I,2158
153,MH09LH0153,SUWARDHARA,1968,Local Nallah,Parseoni.,TE,13.23,162,29,7937,62,1830,I,143
154,MH09LH0154,MULZARA,1968,Local Nallah,Kinwat,TE,12.18,1244,,1951,,1812,I,235
155,MH09MH0155,YEMAI,1968,Local Nallah,Tuljapur,TE,15,160,,1700,,1570,I,237
156,MH09MH0156,KHARI,1968,Local Nallah,Dharni,TE,19.45,528,152,2550,672,2420,I,240
157,MH09LH0157,KOLEGAON,1968,Local Nallah,Osmanabad,TE,14,92,,2210,710,2050,I,287
158,MH09LH0158,MAUJ,1968,Local Nallah,Beed,TE,14.43,1070,,1700,493,1538,I,288
159,MH09LH0159,KOLEGAON,1968,Local Nallah,Osmanabad,TE,11.6,106,,2291,83,2115,I,300
160,MH09LH0160,KATWAT,1968,Local Nallah,Beed,TE,13.57,527,,1338,174,1219,I,323
161,MH09MH0161,PIMPARALA,1968,Local Nallah,Hadgaon,TE,16.16,975,,2630,,2430,I,344
162,MH09LH0162,PIMPRALA,1968,Local Nallah,Gevrai,TE,10.36,1088,,1500,821,1322,I,369
163,MH09LH0163,DHANORA,1968,Local Nallah,Bhokar,TE,14.48,756,,2819,,2593,I,372
164,MH09LH0164,MOHRIJAMKHED,1968,Mujdul,Jamkhed,TE,14.1,427,123,1770,910,1520,I,408
165,MH09MH0165,BANOTI,1968,Local Nallah,Soygaon,TE,19.5,2573,1871,3220,,3050,I,525
166,MH09MH0166,SAKHARE,1968,Local Nallah,Dahanu,TE,17.37,94.5,,4070,,3420,S,690.4
167,MH09MH0167,TAMBVE,1968,Sharand,Phaltan,TE,18,1310,19,5420,1457,4850,I,961
168,MH09MH0168,SUKHANA,1968,Sukhana,A'bad,TE,16.92,446,68,21340,6782,18480,I,2101
169,MH09MH0169,KURNUR,1968,Bori,Tuljapur,TE,23.7,1206,45,35240,570,32670,I,2190
170,MH09MH0170,MANAR,1968,Manar,Kandhar,TE,27,2592,1557,139000,2559,128700,I,8778
171,MH09HH0171,YELDARI,1968,Purna,Yeldari,TE,51.2,4232,,934310,101540,809660,I&H,10477
172,MH09HH0172,SIDDHESHWAR,1968,Purna,Siddeshwar,TE,38.26,6353.2,907.2,250850,40580,80940,I,10789
173,MH09LH0173,APCHUNDA,1968,Local Nallah,Ausa,TE,11.6,1219,,2229,793,2042,I,
174,MH09LH0174,PANGARI,1968,Local Nallah,Ambad,TE,12.6,770,103,2380,71,2180,I,
175,MH09MH0175,KHAM,1968,Kham,A'bad,TE,21,2560,351,2970,,,S,
176,MH09LH0176,LADAKA,1969,Local Nallah,Kandhar,TE,11.32,1324,,2500,,2300,I,93
177,MH09MH0177,DHANORA,1969,Local Nallah,Jalgaon Jamod,TE,19.24,268,104,978,259,890,I,168
178,MH09MH0178,PINGORI,1969,Local Nallah,Purandar,TE,22.13,221,556,1540,,,I,191.14
179,MH09LH0179,JAMWADI,1969,Local Nallah,JaLocal Nallaha,TE,11.8,622,97,1380,58,1260,I,200
180,MH09MH0180,MUNJALA,1969,Local Nallah,Munjala,TE,16,665,175,2100,,1980,I,230
