Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1111,MH09LH1111,KESAKARWADI,1986,Local Nallah,Udgir,TE,13,,,1426,374,1332,I,161
1112,MH09MH1112,LINGWANE,1986,Local Nallah,Peth,TE,24,487,208.35,1870,380,1820,,172
1113,MH09LH1113,AMBA,1986,Local Nallah,Kannad,TE,13.37,898,78,995,35,894,I,182
1114,MH09MH1114,RUI,1986,Local Nallah,Manora,TE,19.15,326,,952,183,849,I,206
1115,MH09LH1115,GANJUR,1986,Local Nallah,Latur,TE,11.29,838,,1498,533,1354,I,247
1116,MH09LH1116,SHINDEWADI (M),1986,Local Nallah,Majalgaon,TE,13.03,1160,,1270,,1135,I,267
1117,MH09MH1117,ANJI,1986,Local Nallah,Ralegaon,TE,20.37,385,230,2800,,2680,I,290
1118,MH09MH1118,SANDHERI,1986,Local Nallah,Mahasala,TE/PG,27.52,380,248.6,2508,36,2330,H,291
1119,MH09MH1119,NANDWAL (SATARA),1986,Vasana,Koregaon,TE,20.25,886,16,1790,385,1620,I,298
1120,MH09MH1120,GHANAND,1986,Local Nallah,Atpadi,TE,15.46,812,106,1.44,3.86,1.25,I,341
1121,MH09MH1121,KHOLGHAR,1986,Shivar river,Navapur,TE,26,675,381,4314,68,3815,I,470.99
1122,MH09LH1122,GHONGA,1986,Local Nallah,Barshi Takali,TE,11.7,790,141,1580,607,1420,I,474
1123,MH09MH1123,ANTARGAON,1986,Khuni,Yavatmal,TE/PG,17.42,1078,674,7202,1437,6280,I,517
1124,MH09MH1124,KASARI II,1986,Chandeshwari,Nandgaon,TE,15,778,117,1689,615,1529,I,530
1125,MH09MH1125,SARADWADI,1986,Shiv,Sinnar,TE,15.32,970,97.46,2180,,1850,I,544
1126,MH09MH1126,KADUS,1986,Kamdndula,Khed,TE,18.5,890,107,2630,263,225,I,607
1127,MH09LH1127,KANADGAON,1986,Local Nallah,Ambad,TE,10.85,2308,196,2870,122,2450,I,626
1128,MH09LH1128,RAKSHASWADI BK,1986,Local Nallah,Karjat,TE,12.27,840,87.7,1230,64,1060,I,660
1129,MH09LH1129,TIKONDI (II),1986,Local Nallah,Jath,TE,14.45,879,83,2450,92.81,2203,I,670
1130,MH09MH1130,LONI,1986,Local Nallah,Kinwat,TE,21.6,1279,346,9217,1849,7817,I,759
1131,MH09MH1131,DEOGAON,1986,Local Nallah,Arni,TE,15.91,840,171,7310,240,6450,I,764
1132,MH09MH1132,BHIRA (PICKUP),1986,Bhira,Raigad,TE/PG,28,613,1013,9090,8080,5500,H,911
1133,MH09MH1133,SHIRPUR,1986,Local Nallah,Kinwat,TE,28.4,1487,,6050,,3800,I,975
1134,MH09HH1134,TILLARI (MAIN),1986       Tillari                   Chandgad                    PG             38.05                485.00         250.00     113266.00           9290.00       92020.00         H                     1028.00,,,,,,,,,,,
1135,MH09MH1135,ABHORA,1986,Bhokar,Raver,TE,27.33,1235,600,6440,154,5020,I,1048
1136,MH09MH1136,DODDANALLA,1986       Bor                      Jath                              TE              16.20              2000.00            30.00         6500.00             198.00         4780.00          I                      1211.00,,,,,,,,,,,
1137,MH09MH1137,NIMBAWADE,1986,Local Nallah,Atpadi,TE,16.13,1070,198,6680,2298,5680,I,1233
1138,MH09MH1138,KALYAN,1986,Kalyan,JaLocal Nallaha,TE,16.49,1554,492,15360,533,10360,I,1315
1139,MH09MH1139,GIRIJA,1986,Girija,Khultabad,TE,19.1,3060,70,24500,775,21230,I,1649
1140,MH09MH1140,KUNDLIKA,1986,Kundlika,Majalgaon,TE,28.45,1403,,46350,6850,,I,2751
