"Sl
No",Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur pose,Designed Spillway capacity
41,KL29HH0041,MOOZHIYAR (EB),1990,Moozhiyar,Vadasserikara,PG,34.17,176.5,52.16,1500,145.7,1160,H,730.25
42,KL29MH0042,VELUTHODE (EB),1990,Veluthode,Vadasserikara,PG,22,107,14.56,670,63.5,607,H,216.65
43,KL29LH0043,KOSANI SADDLE  (EB),1991,Karamenthodu,Kalpetta,TE,13.8,111,110,209250,12770,185500,H,?
44,KL29HH0044,KUTTIYADI (AUGMENTATION) (EB),2004,Karamenthodu,Kalpetta,TE,38.5,628,31000,209250,12770,185500,H,?
45,KL29MH0046,MEENAR I (EB),1991,Meenar,Vandiperiyar,PG,17.2,65,7.1,30,?,30,H,?
46,KL07MH0047,MEENAR II (EB),1991,Meenar,Vandiperiyar,PG,15.5,97,8,60,?,60,H,?
47,KL29MH0048,KUTTIYADI SADDLE (EB),1992,Karamenthodu,Kalpetta,PG,18,111.5,8.4,209250,12770,185500,H,?
48,KL07MH0049,MALANKARA  (ID),1994,Thodupuzha,Muvattupuzha,PG,23,460,46,37000,5660,10000,I,1444.32
49,KL07HH0050,CHIMONI  (ID),1996,Chimoni(Tributory of Karuvannur),Thrissur,TE/PG,52.82,1211.34,667,179390,10100,172640,I,1680
50,KL29HH0051,PAMBALA (EB),1997,Periyar,Adimali,PG,32.36,284,54,5300,445,4500,H,11200
51,KL07MH0052,KARAPUZHA (ID),2004,Karapuzha,Kozhikode,TE,28,625,?,76500,8550,72000,I,969
52,KL07HH0053,ATTAPADY (ID),UC,Siruvani,Palakkad,PG,50.77,450,?,65000,3500,60700,I,1051
