Sl    No,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
1,KA06MH0001,Thonnur Tank,1000,Hebballa Valley,Pandava pura,TE,24.38,118.8,15850,13660,4191.75,12420,I,400
2,KA06LH0002,Madaga Tank (old),1867,Veda series,Kadur,TE,14.5,950,150,1750,720,1600,I,10.75
3,KA06MH0003,Kottur Tank,1888,Krishna /T.Bhadra,Kudligi,TE,15,1777,39900,4912,2661.6,4870,I,182
4,KA06MH0004,Boranakanive Tank,1892,Suvarnamuki SS VI,C.N.Halli,PG,24,39.6,2440,6425,13466,6181,I,941.58
5,KA06LH0005,Maidal Amanikere Tank,1895,Agasarahalli nala,Tumkur,TE,13.8,810,147.65,7400,2137.51,6970,"I,S",208.8
6,KA06LH0006,Hesaraghatta Reservoir,1896,Arkavathy,Bangalore,TE,14.78,1560,NA,29591,4955.4,114.4,S,274.67
7,KA06**0007,Bijawara Tank,1906,Dodda Halla,Tumkur,TE,9.1,1590,215.06,5590,1753,5040,I,192
8,KA06MH0008,Deepambudikere Tank,1906,Nagini,Kunigal,TE,15,600,252.45,12106,2070,9687,I,37.64
9,KA06**0009,Hanumanthapura Tank,1906,Gondahalla,Tumkur,TE,8.8,1320,167.98,3464,1200,3120,I,64
10,KA06LH0010,Kadaba Tank,1906,Shimsha Valley,Gubbi,TE,10.5,1680,357.2,16530,6790,15700,I,146.5
11,KA06LH0011,Kunigal Dodakere Tank,1906,Nagini,Kunigal,TE,11,2000,5170,15070,416,13700,I,224.6
12,KA06LH0012,Nidasale  Tank,1906,Nagini,Kunigal,TE,11,870,198.57,6632,1248,5306,I,111.68
13,KA06LH0013,Nittur Tank,1906,Shimsha Valley,Gubbi,TE,10.5,1350,286,5410,2520,5410,I,65.35
14,KA06LH0014,Ranikere Tank,1907,Garnihalla,Challakere,TE,12.19,960,106,15260,5827.6,14260,I,274.6
15,KA06HH0015,Vanivilasa Sagar Dam,1907,Vedavathy,Hiriyur,"PG,TE",43.28,405.4,47800,850300,87630,802500,I,991
16,KA06HH0016,Madagamasur Tank,1908,Kumadavati,Hirekerur,TE,32.87,950,2146,1595,1940,1472.3,I,37.37
17,KA06LH0017,Mavathur Tank,1908,Garudachala halla,Tumkur,TE,14,1380,799,2100,3566,2047,I,204.36
18,KA06MH0018,Mavinahole Tank,1928,Local Halla,Channagiri,TE,20.11,585,461.45,1840,402,1540,I,1586
19,KA06LH0019,Sowlanga Tank,1928,Hirehalla,Honnali,TE,12,900,131.4,9440,1762,8990,I,478
20,KA06HH0020,K.R.Sagara Dam,1931,Cauvery,Mysore,PG,42.62,2621,849.45,1400000,10619,1275690,"I,S",No Spillway
21,KA06LH0021,Doddaladahalli Tank,1934,Arkavathy,Kanakapura,TE,14.95,330,14.8,4353,742.47,3190,I,37
22,KA06HH0022,Tippagondana Hally,1934,Arkavathy & Kumudavathy,Bangalore,PG,49.68,451.1,120.16,94719,6837.57,19713,S,1168.04
23,KA06MH0023,Anjanapura Tank,1936,Kumudavathy,Shimoga,TE,21.33,1600,NA,39770,1134,39770,I,1105
24,KA06MH0024,Maralvadi Dam,1938,Arkavathy,Kanakapura,TE,16.5,480,162.9,74040,690,67350,I,453.06
25,KA06LH0025,Tumbodi Amanikere Tank,1939,Dodda Halla,Koratagere,TE,12.6,480,172,4160,867,3960,I,229.84
26,KA06LH0026,Ballasamudra Tank,1940,Toddahalla,Hosadurga,TE,12,785,125,5090,2000,4750,I,421.74
27,KA06MH0027,Marconahally,1940,Shimsha Valley,Kunigal,"PG,TE",22.4,1609,1180,68000,14560,64000,I,1700
28,KA06MH0028,Markandeya Tank,1940,Markandeya,Kolar,PG,18.6,206.5,NA,5940,1490,5010,I,231
29,KA06MH0029,Nelligudda Tank,1940,Bidadi Halla,Ramanagara,TE,17.07,740,362.6,6130,1560,5680,I,117.24
30,KA06MH0030,Byramangala Tank,1943,Vrishabhavathy,Ramanagara,TE,22.85,2286,1711.84,24100,4122,22010,I,229.36
