Sl    No,Project Identification Code,Name of Dam,Operated & Maintained by,Longitude of dam,Latitude of dam,Year of completion,River,Nearest city,seismic zone,Type of dam,"Height above
lowest foundation (m)",Length of dam (m),Volume content of dam (103 m3),Gross Storage capacity (103 m3),"Reservoir
Area (103 m2)",Effective Storage capacity (103 m3),Purpose,Designed Spillway capacity (m3/sec)
162,OR10LH0162,CHHAMUNDA M.I.P.(GANJAM),,,,1972,Rushikulya Basin,Barhampur,-,TE,14.5,990,,3000,0.152,2123,I/F,248.69
163,OR10MH0163,MODANALLA M.I.P,,,,1975,Modanalla,Khandapada,-,TE,17.68,412.5,,3646,817,2844,I,231.78
164,OR10LH0164,SINDHEI M.I.P,,,,1976,Sindhei river,Ghasipura,-,TE,12.08,1645.92,,5338,1.475,5031,I,302.87
165,OR10LH0165,TARADIA M.I.P,,,,1978,Taradia nalla,Anandapur,-,TE,10.5,330,,1361,,1203,I,200.49
166,OR10LH0166,BAGHUA M.I.P,,,,1979,Baghua,Nayagarh,-,TE,13.5,345,,1100,278,8220,I,186.77
167,OR10MH0167,KALANAJU M.I.P,,,,1982,Localnalla,G.Udayagiri,-,TE,19.81,189,,1203,820,1090,I,92.57
168,OR10LH0168,JAMUNA SAGAR M.I.P,,,,1985,Jamuna sagar nalla,Bhawanipatna,-,TE,12.3,520,,735,0.204,523,I,180
169,OR10MH0169,KARKATA  M.I.P,,,,1985,Karkata,Bhawanipatna,-,TE,17.35,520,,1235,0.195,1146,I,190
170,OR10MH0170,KARADA,,"850 - 24' - 00"" E","200 - 27' - 30"" N",1988,Dobhani nalla,Baramba,-,TE,19.94,434.7,,760,16.4,650,I,101.1
171,OR10LH0171,GHATAPADA M.I.P,,,,1990,Giderjore,Kesinga,-,TE,13.19,721,,1150,4300,871,I,106
172,OR10LH0172,KUMARKHUNTI M.I.P,,,,1992,Keonjhar nalla,Chandaka,-,TE,13.25,921.97,,1400,268.68,1064,I,172.67
173,OR10MH0173,SILTIGUDA M.I.P,,,,1993,Localnalla,Rayagada,-,TE,20.05,1295.5,,2240,3500,1480,I,325
174,OR10LH0174,OSTALI M.I.P,,,,1994,Ostali nalla,Patnagarh,-,TE,11,1067,,4890,1530,4240,I,290
175,OR10MH0175,SAPUA(Minor),,"850 - 37' - 30"" E","210 - 20' - 30"" N",1996,Sapua nalla,Keonjhar,-,TE,18,578,303,1280,240,950,I,243
176,OR10MH0176,GOPALAGANDA M.I.P,,,,1996,Rautara nalla,Podamari,-,TE,20.6,1143,,2400,513.6,1800,I,197.06
177,OR10LH0177,JHARIANALLA M.I.P,,,,1996,Jharianalla,Banki,-,TE,11.9,685.8,,445,178,346,I,67.4
178,OR10MH0178,SINDHUA M.I.P,,,,1996,Hatikholi nalla,Soro,-,TE,16.76,330,,61500,8.25,4950,I,81
179,OR10MH0179,HATIANALLA M.I.P,,"840 - 16' - 00"" E","210 - 57' - 00"" N",1997,Hatia,Jharsugada,-,TE,15.7,137.16,,,,,I,722.53
180,OR10LH0180,KULIARIJORE M.I.P,,,,1997,Localnalla,Bhartli,-,TE,13.05,1345,,4140,1.1,3440,I,287
181,OR10LH0181,BADJORE M.I.P,,,,1998,Badjorenalla,Bonai,-,TE,13.75,1070,,1500,38,1200,I,140
182,OR10MH0182,BISHNUGUDA M.I.P,,,,2000,Bishnugudanalla,Rayagada,-,TE,17,767,,1430,300,1230,I,113
183,OR10LH0183,KANKADAJHARA M.I.P,,,,2000,Localnalla,Kamakhyanag,-,TE,11.35,1020,,773,295,649,I,125.73
184,OR10LH0184,BISRAPADA M.I.P,,,,2001,Bisrapada  nalla,Kuamunda,-,TE,14.02,1810,,2379,47.39,1917,I,180
185,OR10LH0185,KUSUMIJORE M.I.P,,,,2001,Kusumijore  nalla,Nawarangpur,-,TE,11.24,1060,,3715,108.6,3439,I,120.37
186,OR10LH0186,VICTORIASAGAR M.I.P,,,,2001,Badhaghat nalla,Padampur,-,TE,11.65,145,,2750,4.47,2600,I,188.55
187,OR10LH0187,TURLA M.I.P,,,,2002,Dherenjore,Kesinga,-,TE,12.12,2320,,3418,12000,3030,I,195.57
188,OR10MH0188,DALIKUPA M.I.P,,,,2002,Bansadhara,Lanjigarh,-,TE,18.33,559.8,,505,,315,I,
189,OR10HH0189,SANAMULIGAON M.I.P,,,,2003,Benderi nalla,Ramagunda,-,TE,30.5,702.5,,3030,407,2670,I,269
190,OR10MH0190,CHAHAKA M.I.P,,,,2003,Ramachandrapura,Bhawanipatna,-,TE,17.1,1005,,1250,42,950,I,152
