"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillway capacity
572,GJ04LH0572,RUPAVATI,2001,Ozat,Shapur,PG,14,233,189,1950,1350,1878,I,10581
573,GJ04LH0573,VEARDI 1,2001,Bhadthari,Jamkhambhalia,TE/PG,13.76,2060,172,5620,830,4990,I,1090
574,GJ04LH0574,DHATARWADI,2002,Panna,Lalpur,TE,13.78,143,2130,2130,,1610,I,478.8
575,GJ04LH0575,KABARKA,2002,Dhatarwadi,Rajula,TE,13.12,3511,669.79,10190,4347,7440,I,8370
576,GJ04LH0576,SABURI,2002,T/Vartu,Lalpur,TE/PG,11.35,2400,240,4300,1860,4064,I,917
577,GJ04LH0577,BANDI,2003,Saburi,Muli,TE/PG,13.9,3720,540,4500,1630,3910,I,1013
578,GJ04LH0578,BHADAR II,2003,Bandi,Bhuj,TE,12.15,1350,2373.1,2373.1,1045.15,1479.88,I,814
579,GJ04MH0579,DONDO,2003,Dhoraji,Rajkot,TE,20.74,3527,70,49000,8500,41850,I&S,26380
580,GJ04MH0580,GOVANA,2003,Rajkot,Rajkot,TE,15.74,2461,6,3800,1930,2910,I,948
581,GJ04MH0581,ZAKASHIYA,2003,Jetpur,Rajkot,TE,21.34,2790,27,13900,4510,13660,I,4999
582,GJ04HH0582,GADHKI,2004,Saraswati,Vadgam,TE/PG,36,2560,33.5,40000,5770,32810,I,4698
583,GJ04HH0583,MUKTESHWAR,2004,Meshwo,Jawanpura,PG,35.94,251,26,82000,1065,77000,I,5211
584,GJ04MH0584,PEDCHOLI,2004,Saraswati,Patan,TE/PG,15,298,5810,823100,60745,735040,S,16225
585,GJ04MH0585,PREMPARA,2004,Utavali,Palitana,TE,18.35,1565.9,230.74,2114.9,932,1847.9,I,1060.74
586,GJ04MH0586,RASKA WEIR,2004,Dhrabad,Visvadar,TE/PG,15.8,1290,272,1330,362,1270,I,130
587,GJ04MH0587,SARASWATI BARRAGE,2004,Sarasvati,patan,TE,15,9887,180,1420,,1420,I,253.12
588,GJ04MH0588,KARNUKI,2005,Gadhki,Khambhalia,TE/PG,22.66,2260,527,9340,4270,9040,I,1046
589,GJ04MH0589,RATADA,2005,Koliari,Morra,PG,27.26,160,91,10980,,10980,I,1695
590,GJ04MH0590,RUPAREL,2005,Vartu,Bhanvad,TE/PG,24.34,3476,1075,25600,6950,24020,I,1081
591,GJ04MH0591,SODVADAR,2006,Ruparel,Jamnagar,TE/PG,18.96,28708,458,4270,1957,3420,I,898
592,GJ04MH0592,SUKHPAR,2006,Upleta,Rajkot,TE,25.21,2440,,4840,1680,4580,I,828
593,GJ04MH0593,KHOKHALA,N.A.,Local,Kadi,TE,15,2640,,1197,,1197,I,
594,GJ04MH0594,MOBHNESS,N.A.,Malan,Khambha,TE,21.73,1450,96,16170,9000,15420,I,1334
595,GJ04MH0595,ORVADA,N.A.,Local Kotar,Chansama,TE,15,5000,,3000,,3000,I,
596,GJ04MH0596,RAMPURI,N.A.,Dhatarvadi,Khambha,TE,20.4,1273,163,2832.62,619.7,2120.1,I,845.36
597,GJ04LH0597,ANGANGA,NA,Kotar,Godhra,TE,12.4,1333.3,527.4,1144,52.11,1144,I,137.47
598,GJ04LH0598,RAVANA,NA,Rampuri,Babara,TE,12.5,250.91,112,1141.3,643.4,989.5,I,351.17
599,GJ04MH0599,DHINGALVADA,U/C,Dipadia,Rajula,TE,17,900,,790,,670,I,200
600,GJ04MH0600,DUNDELAV,U/C,Kotar,Kadana,TE,21.8,499,557.08,3301,7600,3113,I,289.4
601,GJ04MH0601,SURAKADIA,U/C,Unmatia,Dhari,TE,16.5,335,,514,,458,I,5964
