"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
421,MP08LH0421,PHALIAMAO,1981,Local,Alirajpur,TE,13.61,337,-,1059,293,1044,I,63
422,MP08MH0422,PONGRI,1981,Local,Shahdol,TE,15.65,570,-,900,295.2,810,I,45
423,MP08LH0423,AMANPURA,1981,-,-,TE,14.33,490,,1001,317.5,882,I,105.57
424,MP08MH0424,AGAR,1981,Local,Dhar,TE,16.79,210,-,1576,321,1373.65,I,97
425,MP08LH0425,CHITHARA,1981,Local,Satna,TE,13.02,720,-,1462,417,1370,I,51.21
426,MP08LH0426,DAGARKOT,1981,Local,Khandwa,TE,12.19,840,-,1227,430,1104,I,63.49
427,MP08LH0427,JOGLI,1981,Local,Chicholi,TE,11.96,613,,1343,430,1207,I,57.35
428,MP08LH0428,SALIMATI,1981,Local,Shahpur,TE,12.19,780,,1340,432,1242,I,48.3
429,MP08LH0429,BAROTHA TANK,1981,Local,Dewas,TE,10.09,1830,-,1140,446.3,1048,I,59
430,MP08LH0430,PATAJAN,1981,Local,Khandwa,TE,12.93,451,-,1279,450,1139,I,72.09
431,MP08LH0431,HARITHONE,1981,Local,Kha'dhana,TE,12.19,732,-,1000,460,9929,I,69
432,MP08MH0432,MORZIRA,1981,Local,Khandwa,TE,15.55,770,-,1943,483,1718,I,117
433,MP08LH0433,DHAMNOD,1981,Local,Ratlam,TE,12.21,540,-,1520,490,1341,I,90
434,MP08LH0434,PARSHUKHEDI,1981,Local,Shajapur,TE,14.24,510,40,1370,505.6,1212,I,104
435,MP08LH0435,MAGJIPADA,1981,Local,Dhar,TE,13.5,980,-,1471,506,1306,I,80
436,MP08LH0436,GANGAJALI,1981,Local,Dhar,TE,13.78,250,-,2115,593,1882,I,93.33
437,MP08LH0437,ICHHAWAR,1981,Local,Sehore,TE,14.47,1890,-,2090,650,1840,I,32.48
438,MP08LH0438,PETLAWAD,1981,Local,Dhar,TE,13,1075,-,2543.89,801,2263,I,228
439,MP08MH0439,MARHI,1981,Local,Sidhi,TE,29,555,12720,14243,865,12723,I,132
440,MP08LH0440,BELHARA,1981,,,TE,12.53,1188,-,3500,915,3320,I,62.47
441,MP08LH0441,JAMUNIA,1981,Local,Damoh,TE,14.06,1740,-,4210,1620,3920,I,60.8
442,MP08MH0442,MEHGAONTOLA,1981,Bindri,Jabalpur,TE,17.52,1445,342,4107,2436,3715,I,129.24
443,MP08MH0443,SAHIBKHEDI,1981,Local,Ujjain,TE,18.6,3450,-,12460,3980,10330,I,200
444,MP08MH0444,JARMORA,1981,Local,Rewa,TE,17.54,2130,476,1875,5000,1753,I,176.21
445,MP08MH0445,NAREN,1981,Naren,Vidisha,TE,29.85,3567,479,20550,8217,18328,I,430
446,MP08LH0446,BHAWANIPUR,1981,,,TE,12.93,1116,,250,,210,I,112.32
447,MP08MH0447,PANKUA 1,1981,Local,Dewas,TE,20,430,,987,,,I,64.67
448,MP08LH0448,WARDHA,1982,Local,Multai,TE,12.5,372,,1578,23.5,1437,I/F,74.05
449,MP08MH0449,ANJARDA NO.1 T.,1982,Local,Barwani,TE,15.09,347.47,-,455,117,358,I,110.43
450,MP08MH0450,AMLABARDIA,1982,Local,Shajapur,TE,16.6,175.5,33,441,141.7,389.4,I,34
