Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1711,MH09MH1711,PATIA,UC,Local Nallah,Patia,TE,16.07,540,,1530,,1230,I,137
1712,MH09MH1712,PILANDRI,UC,Local Nallah,Bhandara,TE,16.42,1344,96.15,1570,310,1520,I,141.14
1713,MH09LH1713,KANJKHEDA,UC,Local Nallah,Hingana,TE,12,902,103,1050,37,970,I,142
1714,MH09LH1714,KHURSAPUR,UC,Local Nallah,Bhandara,TE,13.24,824,56.02,2100,1164,2010,I,148.07
1715,MH09MH1715,PANCHPAHUR,UC,Local Nallah,Kawada,TE,15.57,813,,2080,,2000,I,150
1716,MH09HH1716,PALIBHUTAWALI,UC,Local Nallah,Karjat,PG,32,675,1214,1307,1099,1275,I/S,161.7
1717,MH09LH1717,MASALA KD,UC,Local Nallah,Risod,TE,11.14,790,,1570,,1420,I,167
1718,MH09LH1718,WADNER,UC,Local Nallah,Wani,TE,11.35,978,,2480,,2370,I,167
1719,MH09LH1719,BHATKHEDA,UC,Local Nallah,Ambad,PG,10.05,775,66,810,382,710,I,170
1720,MH09LH1720,YELEGAON,UC,Local Nallah,Bhokar,TE,12.06,657,94,1650,,1550,I,171
1721,MH09LH1721,CHINDA,UC,Local Nallah,Umred,TE,10.05,910,75,1950,1015,1660,I,172.71
1722,MH09LH1722,UPRALE,UC,Local Nallah,Jawhar,TE,13.19,1045,97,,44,,I,180
1723,MH09LH1723,AMBHORA,UC,Local Nallah,Lonar,TE,13.59,625,81,1240,374,930,I,184
1724,MH09LH1724,DONGAON,UC,Local Nallah,Billoli,TE,10.93,645,84,1350,,1220,I,202
1725,MH09LH1725,IBRAHIMPUR,UC,Local Nallah,Degloor,TE,10.25,1075,95,1370,,1260,I,202
1726,MH09LH1726,LOHAMANDVA,UC,Local Nallah,Hadgaon,TE,11.8,892,144,1430,,1320,I,202
1727,MH09LH1727,RUIKHEDA,UC,Local,Bhusawal,TE,10.98,1068,111,1000,39,990,I,204
1728,MH09LH1728,SAOD,UC,Local Nallah,Jath,TE,10.2,1260,,1720,,1610,I,204
1729,MH09LH1729,DHORMAL,UC,Local,Bhusawal,TE,12.79,570,,1100,,1050,I,209
1730,MH09MH1730,KUNALWALI,UC,Local Nallah,Khed,TE,23.14,449.5,267,,200,,I,213
1731,MH09LH1731,DHANIKWADA,UC,Local Nallah,Hadgaon,TE,14.9,764,215,2170,,2050,I,219
1732,MH09LH1732,MANDWA,UC,Local Nallah,Kinwat,TE,12.34,518,60,1170,,1000,I,222
1733,MH09LH1733,POHNER,UC,Local Nallah,Osmanabad,TE,14.8,636,,1170,370,1040,I,226
1734,MH09MH1734,MAHAJANTOLA,UC,Local Nallah,Gondia,TE,26.79,489,110.24,1860,453,1370,I,226
1735,MH09MH1735,KHARIYAGUTIGHAT,UC,Behadi,Kalwan,TE,19.7,680,,,,1470,I,227.75
1736,MH09MH1736,ASEGAONBANDH,UC,Local Nallah,Asegaon,TE,15.2,,,1460,,,I,228
1737,MH09LH1737,CHINCHKHEDA,UC,Local Nallah,Jafrabad,TE,11.4,780,62,1050,562,920,I,232
1738,MH09LH1738,MUNGALA,UC,Local Nallah,Risod,TE,12.4,854,,2060,69,1860,I,232
1739,MH09MH1739,MURDOLI,UC,Tatekasa,Gondia,TE,23.93,926,169.27,2860,1354,2620,I,240.11
1740,MH09MH1740,NARIVALI,UC,Local Nallah,Murbad,TE,19.56,915,179,,379,,I,245
