"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
871,MP30HH0871,OMKARESHWAR (NHPC),2007,Narmada,Khandwa,PG,64,949,,987000,,,IHC,88315
872,MP39HH0872,UPPERBEDA(NVDA),N/C,Beda,Bhikamgaon,PG,35,2414,28840,98840,11450,76240,-,9200
873,MP39HH0873,MAN (NVDA),N/C,Man,Manawar,PG,53,1804,145030,145030,11687,127870,,10254
874,MP39HH0874,JOBAT (NVDA),N/C,Hathni,Jobat,PG,38.6,462.5,77840,77840,13101,70040,I,9980
875,MP08MH0875,AMALYA,NA,,,TE,21,288,3120,3553,399,3217,I,133
876,MP08LH0876,HINOUTI,NA,,,TE,11.94,1052,-,1330,459,1050,I,131
877,MP08MH0877,SEHRA,NA,Local,Sidhi,TE,25.24,165,7000,7730,1263,6969,I,184.24
878,MP08MH0878,KOLWAKHEDI,NA,Local,Ratlam,TE,19.03,1690,315,580,1403,515,I,239.59
879,MP08LH0879,BHENSROD,NA,Local,Shajapur,TE,10.06,1860,NA,2550,1705,2311,I,47
880,MP08LH0880,MAHENDRA SAGAR,NA,,,TE,12,1210,,,2945,,I,
881,MP08MH0881,NANUKHEDI,NA,Local,Shajapur,TE,22.18,808,-,1473,-,1473,I,68
882,MP08LH0882,GHOORA,NA,Local,Tikamgarh,TE,10.97,854,-,3499,NA,3123,I,95
883,MP08MH0883,AMHA TANK,NA,,,TE,18.2,,,,,,,
884,MP08LH0884,DEEP SAGAR,NA,Local,Tikamgarh,TE,12.02,400,-,1560,,410,I,69.95
885,MP08LH0885,DERI,NA,Local,Tikamgarh,TE,10.07,750,-,2370,,1470,I,11
886,MP08MH0886,KATRA,NA,,,TE,15.81,,,2570,,,,162.3
887,MP08MH0887,SADWA,NA,,,TE,20.48,387,135,1960,,,,86.4
888,MP08MH0888,BAGADIH,NC,Local,Sidhi,TE,15.55,330,2005,2005,112,1766,I,150
889,MP08MH0889,POKHARIDUL,NC,Local,Sidhi,TE,19.99,120,1050,1130,164,,I,184
890,MP08MH0890,LASHUNA,NC,Local,Shahdol,TE,19.16,595,-,1579,267,1449,I,-
891,MP08LH0891,CHHOTAKIDHAR,NC,Local,Sidhi,TE,14.17,1020,2850,1070,675,695,I,2536
892,MP08MH0892,DEORI,NC,Local,Sidhi,TE,18.25,360,3360,4760,1220,4000,I,133
893,MP08MH0893,JHIRRYA,NC,Local,Sidhi,TE,23.57,560,8430,9800,1664,8400,I,2134
894,MP08LH0894,HARIDI,NC,Local,Shahdol,TE,13,691,100,2182,6165,2006,I,86.92
895,MP08LH0895,KUNI,NC,Local,Shahdol,TE,10.2,870,79,2014,7043,1720,I,91.7
896,MP08LH0896,BARKA,NC,Local,Sidhi,TE,12.3,830,3140,3770,9475,3450,I,132
897,MP08MH0897,MITHORI,NC,Local,Shahdol,TE,18.06,930,483,3599,9730,3259,I,148.73
898,MP08HH0898,MAHAN,NC,Mahan,Sidhi,PG,46,182.5,165,104000,16885,100000,I,4017
899,MP08HH0899,BAN SAGAR,NC,Sone,Shahdol,PG/TE,67.5,405,,637000,-,-,I/WS/Hy,47742
900,MP08MH0900,MUDIAKHERI,U/C,Local,O'ganj,TE,18.1,716,-,4736,815,4408,I,62
