"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
1,PB26MH0001,NANGAL,1954,Satluj,Nangal township,PG,29,305,2322,19736,,14800,I/H,9203
2,PB26MH0002,MAILI,1986,Maili,Hoshiarpur,TE,23.5,334,256,4550,728.8,3697,I&C,275
3,PB26HH0003,DHOLBAHA,1987,Dholbaha,Hoshiarpur,TE,38.83,358,758,11380,3261.1,10360,I&C,453
4,PB26HH0004,JANAURI,1988,Janauri,Hoshiarpur,TE,31.5,125,195,2100,422.5,1680,I&C,145
5,PB26MH0005,DAMSAL,1990,Damsal,Hoshiarpur,TE,26.5,210,358,6600,682.7,6250,I&C,730
6,PB26MH0006,CHOHAL,1993,Chohal,Hoshiarpur,TE,28.6,330,365,4400,554.4,2990,I&C,258
7,PB26MH0007,PERCH,1993,Perch,Chandigarh,TE,22.2,286.75,182,1250,347.6,950,I&C,8
8,PB26HH0008,SALERAN,1995,Saleran,Hoshiarpur,TE,32.5,96,129,1499,376.3,1200,I&C,14
9,PB26MH0009,MIRZAPUR,1996,Budki,Chandigarh,TE,22.4,210,213,4300,678.6,3150,I&C,7.36
10,PB26MH0010,SISWAN,1998,Siswan,Chandigarh,TE,24,435,417,4800,862.7,3430,I&C,66
11,PB26VH0011,RANJIT SAGAR,1999,Ravi,Pathankot,TE,145,617,14260,3280,87.6,2344,I&C,20678
12,PB26MH0012,JAINTI,2001,Soonk,Chandigarh,TE,19.75,256,184,2872,550.8,2617,I&C,14
13,PB26HH0013,PATIARI,2002,Patiari,Hoshiarpur,TE,37,226,679,3460,451,3292,I&C,16
14,PB26MH0014,THANA,2008,Khwaja,Hoshiarpur,TE,28.4,400,540,3827,432.9,3637,I&C,331
15,PB26HH0015,SHAHPUR KANDI,UC,Ravi,Gurdaspur,PG,54.5,,,402.5,,15.38,,
