Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
601,MH09MH0601,KHEKADA,1977,Bhangari nalla,Navapur,TE,19.2,447,440,1480,39,1440,I,67
602,MH09MH0602,TAKALIBHAN,1977,Local Nallah,Shrirampur,TE,16.6,2315,,,,5490,I,81
603,MH09LH0603,WASUR,1977,Local Nallah,Mukhed,TE,10.97,520,,950,,880,I,112
604,MH09MH0604,THAKURWADI,1977,Local Nallah,Murbad,TE,18,635,221,3740,560,3657,I,112
605,MH09LH0605,ANJI BORKHEDI,1977,Local Nallah,Wardha,TE,14.28,655,205,2260,440,2140,I,115
606,MH09MH0606,DUDHANA,1977,Local Nallah,Yavatmal,TE,15,310,105,1044,254,740,I,148
607,MH09MH0607,SUTARWADI,1977,Local Nallah,Rewa,TE,16.39,300.8,18,2319,,2250,I,148
608,MH09MH0608,SHIRWAL,1977,Karul,Sawantwadi,TE,25.25,185,153,3752,453,3680,I,159.14
609,MH09LH0609,MONDALA,1977,Local Nallah,Bhusawal,TE,12.3,822,101.45,1085,352,1005,I,167
610,MH09MH0610,MUCHI,1977,Local Nallah,Pandharkawada,TE,15.55,500,315,1410,287,1330,I,183
611,MH09LH0611,GHATSHIRAS,1977,Local Nallah,A'nagar,TE,13.65,780,120,820,310,729,I,193
612,MH09MH0612,ROZWA,1977,Local Nallah,Taloda,TE,26.7,1080,,1738,,0.74,I,198.75
613,MH09LH0613,KHARABWADI,1977,Local Nallah,Patoda,TE,14.65,675,,1220,,1110,I,199
614,MH09MH0614,USGAON,1977,Local Nallah,Bhiband,TE,19.57,634,267,5160,860,5000,I,215
615,MH09LH0615,PIMPALGAON,1977,Local Nallah,Pachora,TE,10.23,1770,132,1355,544,1262,I,216
616,MH09LH0616,KHOKARMOHA,1977,Local Nallah,Patoda,TE,11.44,955,,1415,55,1288,I,226
617,MH09LH0617,JOGAIWADI,1977,Local Nallah,Ambejogai,TE,10.55,1950,,1575,1017,1446,I,227
618,MH09LH0618,JUNONE,1977,Local Nallah,Bhusawal,TE,14.97,819,129.28,1371,391.2,1242,I,228
619,MH09LH0619,UMARDAI,1977,Local Nallah,Darwha,TE,14.02,309,,2950,199,2635,I,236
620,MH09MH0620,FATTEPUR,1977,Local Nallah,Chamgaon,TE,15.45,900,131,1782,148,1657,I,242
621,MH09MH0621,ARABWADI,1977,Baba,Koregaon,TE,17.95,870,135,1890,400,1750,I,246
622,MH09LH0622,KHANDALA,1977,Local Nallah,Manora,TE,14.6,590,,1469,47,1336,I,258
623,MH09LH0623,AURALA,1977,Local Nallah,Kannad,TE,11.55,1830,,1587,,1413,I,294
624,MH09MH0624,KHADAKDOH,1977,Local Nallah,Wani,TE,17.3,390,167,2659,722,2479,I,313
625,MH09LH0625,TAKALI,1977,Local Nallah,Chandur Rly,TE,11.17,780,273,1390,567,1210,I,315
626,MH09LH0626,JAMWADI,1977,Local Nallah,Ner,TE,12.95,398,,2360,,2160,I,315
627,MH09LH0627,WASANGAON,1977,Local Nallah,Latur,TE,11.33,1674,155,2000,85,1790,I,354
628,MH09LH0628,PARADGAON,1977,Local Nallah,Umrer,TE,14.28,500,129,4094,65,3770,I,355
629,MH09MH0629,VIKHARAN,1977,Arunavati,Shirpur,TE,24.9,465,251,2644,44,2275,I,361
630,MH09MH0630,GANESHPUR,1977,Local Nallah,Kannad,TE,15,1984,207,2720,,2488,I,391
