"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
781,MP08LH0781,MACHHALGAON,1997,Local,Khargone,TE,14.65,405,90,1274,307,1203,I,80
782,MP08MH0782,JHALPIPLI,1997,Local,Sehore,TE,21.27,274.32,,1250.57,313.07,1142.57,I,56.37
783,MP08MH0783,RUPANIYAKHAL,1997,Local,Ratlam,TE,18.3,820,1900,13570,395.98,11305,I,324.41
784,MP08MH0784,CHIKHALIA,1997,Local,Barwani,TE,20.15,357,-,2591,483,2260,I,287
785,MP08MH0785,GURADIA SURDAS,1997,Local,Dewas,TE,16.58,425,-,3180,532,2911,I,110
786,MP08LH0786,CHIRKHAN,1997,Local,Khandwa,TE,11.92,650,-,1821,716,1581,I,110
787,MP08MH0787,MOGA,1997,Khand,Deori,TE,20.7,210,216,8623,1760,8316,I,235
788,MP08MH0788,PANKUA 2,1997,Local,Dewas,TE,16.97,426,,567,,,I,36.47
789,MP08MH0789,PIPLAI,1998,Local,Raisen,TE,17.04,418,143,1920,347,1800,I,60.62
790,MP08MH0790,HATHANI,1998,Local,Alirajpur,TE,18.1,220,63,1470,354,1229,I,124.92
791,MP08MH0791,BAMERA,1998,Local,Umariya,TE,23.7,225,-,2830,559,2749,I,69.15
792,MP08MH0792,JUNEWANI,1998,Local,Pandurna,TE,18.13,520,74.95,2641,619.88,2445,W/S,91.95
793,MP08LH0793,SINGHANPURI,1998,Local,,TE,10.26,630,-,520,,489,I,24
794,MP08MH0794,MANDEVI,1999,Local,Athner,TE,15.05,645,,1672,332,1518,I,
795,MP08MH0795,SANGVI,1999,Local,Kasrawad,TE,15,480,-,5680,1232,3680,I,313.1
796,MP08LH0796,MAHUWA KHERA,1999,,,TE,11.8,1280,,,,,,
797,MP08MH0797,TAMIA,2000,Local,,TE,21.59,365,55.56,410,20.13,373,I,45.6
798,MP08LH0798,RAMPURA,2000,Local,Silwani,TE,11.11,619,94.65,1430,296,1309,I,48
799,MP08MH0799,INDIRA GANDHI T,2000,Local,Dhar,TE,25.6,280,307.84,3206,435.7,2800,I,156.14
800,MP08LH0800,IMLIKHEDA,2000,Local,Shajapur,TE,11.7,1020,77,1519,546,1394,I,55
801,MP08LH0801,BIRMAWAL,2000,Local,Ratlam,TE,14.32,1990,84,1990,601,1761,I,98.13
802,MP08LH0802,JOJHARPUR,2000,Local,G/Ganj,TE,11.95,927,119,2730,830,2576,I,37
803,MP08LH0803,MUNDRI,2000,Local,Mandsaur,TE,12.75,960,-,3554,998,2421,I,146.25
804,MP08MH0804,LAKHUNDAR,2000,Local,Shajapur,TE,23.3,2385,830,32150,7800,30650,I,632
805,MP08LH0805,GHOORA TANK,2000,,,TE,11,840,,3294,,,,95.15
806,MP08LH0806,SASYA KHEDI,2001,Local,Gogawa,TE,10.54,510,-,831,26.13,486,I,42.58
807,MP08LH0807,AHIRKHEDA,2001,Local,Gogawa,TE,12.35,460,-,1200,32.8,905,I,66.66
808,MP08LH0808,BALIA TANK,2001,Local,M'leshwar,TE,12.7,155,-,1985,41.54,1455,I,96.55
809,MP08MH0809,KOHPANI,2001,Local,Tamia,TE,16.63,888,84.65,2580,71.69,2340,I,96.56
810,MP08LH0810,KATHOTIA,2001,Local,Shahdol,TE,10.6,600,64.66,1115,96,926,I,15
