"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
1,UA25MH0001,TUMARIA,1961,Dhela,Kashipur,TE,23.32,10.4,2024,91050,21040,81774,I,283.17
2,UA13MH0002,NANAK SAGAR  (UP),1962,Deoha,Nainital,TE,16.5,19200,209690,209000,50000,200550,I,1600
3,UA25MH0003,BOUR,1967,Baur Kakrala,Gaderpur Bazpur,TE,17.98,9.5,8252,103368,16258,102510,I,1416
4,UA13LH0004,BAIGUL  (UP),1968,Baigul,Nainital,TE,13.7,15300,85000,70725,21700,66225,I,567
5,UA25MH0005,TUMRIA EXTENSION,1969,Phika,Kashipur,TE,15.29,10,4290,80820,6090,69924,I,283.17
6,UA25HH0006,ICHARI,1972,Tons,Dehradun,#,59.25,155,181.9,8930,812.5,5110,H,13500
7,UA13VH0007,RAM GANGA  (UP),1974,Ram Ganga,Pauri Garhwal,TE/PG/ER,128,715,10000,244960,19720,218770,I/H,8467
8,UA13HH0008,RAM GANGA SADDLE   (UP),1974,Chuisot,Pauri Garhwal,TE/PG/ER,71,552,2700,,,,I/H,1926
9,UA25LH0009,HARIPURA,1975,Bhakhara Khazia,Gaderpur Bajpur,TE,10.97,7.9,2546,28320,11613,27600,I,877.8
10,UA25HH0010,MANERI Stage I,1990,Bhagirathi,Uttarkasi,#,39,127,13.7,600,180,510,H,5000
11,UA25VH0011,JAMRANI Phase I,1990,Gola,Kathgodam,PG,140,765,,206600,,,I/H,3630
12,UA34VH0012,TEHRI  (THDC),2005,Bhagirathi,Tehri,TE/PG/ER,260.5,592.7,27980,3540000,42000,2615000,I/H,13025
13,UA43MH0013,VISHNUPRAYAG (Jaypee),2006,Alaknanda,Joshimath,PG,23,69.75,72.6,148.18,21.17,75.6,H,2050
14,UA25MH0014,BIRPUR  (UP),U/C,Arjun,Nainital,TE,16,10461,4157,70630,,,I/H,1926
15,UA34HH0015,KOTESHWAR HEP  (THDC),U/C,Bhagirathi,Tehri,PG,97.5,300.5,560,88900,29000,35000,I/H,13240
16,UA35VH0016,LAKHWAR   (UJVN),U/C,Yamuna,Dehradun,PG,204,481.5,700,587840,9570,330.66,Multi,8850
17,UA36HH0017,SRINAGAR (U'khand Pwr Cpn),U/C,Alakhnanda,Srinagar,PG,90,248,,78000,4500,8000,H,19200
18,UA35HH0018,VYASI (UJVN),U/C,Yamuna,Dehradun,PG,86,207.2,325,13690,729,3710,H,8850
19,UA32MH0019,LATA TAPOVAN (NTPC),UC,Dhauliganga,Joshimath,Barrage,24.5,85.5,,ROR,,,H,
