"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
271,MP08LH0271,SIMARIYA NO.1,1976,Local,Dabra,TE,14.17,2610,-,4308,9710,4150,I,250
272,MP08MH0272,TALWARA,1976,Local,Dhar,TE,21.72,447,-,409,9840,279,I,72
273,MP08MH0273,PINDARAIKALA,1976,Local,Chhindwara,TE,20.35,379,-,350,-,-,I,708.73
274,MP08LH0274,RAGURA,1976,Local,Tikamgarh,TE,12.05,1189,-,2840,NA,2590,I,28.34
275,MP08MH0275,NAGDA,1977,Local,Dewas,TE,17.68,1590,-,2586,80,2328,I,30
276,MP08MH0276,KOSANIA,1977,Local,Alirajpur,TE,20.02,293,-,1208,214,1048,I,86.66
277,MP08MH0277,BADALPUR,1977,Local,Badalpur,TE,16.77,644.5,,929,271.1,852,I,42.58
278,MP08LH0278,SABRI,1977,Local,Multai,TE,13.25,570,,999,316,889,I/F,55.66
279,MP08LH0279,RAWANWARI,1977,Local,Betul,TE,10.83,728,,955,324,884,I,20.62
280,MP08LH0280,KOTABARDI,1977,Local,Amarwara,TE,14.75,335,48.17,1170,348.5,1085,I,44.5
281,MP08LH0281,KHITOLI,1977,,,TE,13.88,686,-,1600,358,1538,I,491
282,MP08MH0282,TEMNI,1977,Local,,TE,24.22,200.7,-,1951,392,1775,I,80.71
283,MP08MH0283,RAMPA,1977,Local,Sidhi,TE,15.83,990,1020,1028,435,1000,I,39.92
284,MP08LH0284,JAMBARI,1977,Local,Multai,TE,14.3,472,,2343,482,2100,I,122
285,MP08LH0285,DATODA,1977,Local,Indore,TE,13.11,1110,-,1116,608,1006,I,60.3
286,MP08MH0286,PONDI,1977,Local,Javera,TE,15.99,1128,-,3620,648,3130,I,48
287,MP08LH0287,BHIMORI,1977,Local,Baihar,TE,14,1158,-,2433,677,2003,I,63
288,MP08MH0288,PADHAR,1977,Local,Betul,TE,15.85,655,,2478,721,2287,I,57.7
289,MP08LH0289,KHADKHALI,1977,Local,Manawar,TE,10.9,615,-,217,729,205,I,50.8
290,MP08MH0290,KARHI,1977,Local,Panna,TE,17.38,540,-,4760,736,4528,I,345.5
291,MP08LH0291,DEORI,1977,,,TE,11.85,1500,,1790,808,1484,I,141.52
292,MP08LH0292,KOOP TANK,1977,Local,Dewas,TE,11.5,1500,-,2476,836,2343,I,100
293,MP08MH0293,NADIA,1977,Local,Narsinghpur,TE,15.07,119,131,2385,910,2182,I,27.75
294,MP08MH0294,SOMLA,1977,Local,Karera,TE,18.58,652,-,1630,940,1427,I,96.88
295,MP08LH0295,KOSHMI,1977,Local,Betul,TE,13.89,690,,3227,1017,3005,I,32
296,MP08MH0296,DATIA,1977,Local,Hata,TE,19.45,75,-,2700,1120,2440,I,85
297,MP08HH0297,BIJANA,1977,Local,,TE,31.7,810,331.3,9517,1790,8557,I,89.71
298,MP08LH0298,JHAGARIYA,1977,Local,Betul,TE,10.25,540,,703,-,-,I,40.79
299,MP08MH0299,PIPARIYA KALA,1977,Local,Chhindwara,TE,15.4,226,-,434,-,-,I,25.31
300,MP08LH0300,SILKUWA,1978,Local,Dhar,TE,12.3,540,-,945.22,28.77,843.34,I,22
